scenario,scenario_name,pressure,condition,policy_name,mean_reward,mean_survival,mean_task_success,mean_progress,mean_energy,mean_integrity,mean_stress,mean_dependent_health,mean_dependent_energy,mean_dependent_skill,mean_dependent_safety,mean_dependent_trust,mean_resource_level,mean_shelter_safety,mean_promise_standing,mean_social_access,mean_protection_actions,mean_sharing_actions,mean_repair_actions,mean_teaching_actions,mean_shelter_actions,mean_promise_actions,mean_arbitration_actions,mean_neglect_events,mean_dependent_failures,mean_care_misses,mean_continuity_resets
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,full_control,self_only_baseline,250.01064271690345,1.0,1.0,146.55259144869032,0.6768812252919151,0.9625394789713987,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,no_dependent_state,self_only_baseline,249.9854214272561,1.0,1.0,146.54910746528972,0.6766570307358905,0.9614050918870035,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,no_identity_memory,self_only_baseline,250.00173458241792,1.0,1.0,146.54514254599388,0.6764018879240608,0.9629276143524375,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,no_protection_planning,self_only_baseline,249.9698272395323,1.0,1.0,146.5361861280738,0.6758255418545587,0.9620695276115923,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,no_resource_sharing,self_only_baseline,249.99082999089583,1.0,1.0,146.53975534632067,0.6760552212784229,0.9629294440075213,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,no_repair_care,self_only_baseline,249.97421870274945,1.0,1.0,146.53579710379952,0.6758005081174724,0.9623933418168948,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,no_teaching_support,self_only_baseline,249.98363691981572,1.0,1.0,146.53810365506155,0.6759489348396128,0.9626893942075189,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,no_shelter_coordination,self_only_baseline,249.995057841173,1.0,1.0,146.54490281071512,0.676386460943445,0.9625407284601702,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,no_promise_commitment,self_only_baseline,249.9873923536163,1.0,1.0,146.540185395951,0.6760828949998091,0.9626600398542658,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,no_dependent_control,easy stable task with no fragile companion; care machinery should be rejected,no_social_trust,self_only_baseline,250.00947322941047,1.0,1.0,146.54969643230564,0.676694930801264,0.9628336190177853,0.1645399999999971,0.98,0.98,0.96,0.98,0.98,0.718,0.82,0.88,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
