tick,day,scene_id,mutation_id,avatar_x,avatar_y,selected_agent,selected_object,ceremony_phase,mutation_version,state_changed,scene_bounds_valid
0,1,v21-scene-d01,v21-mutation-0000,6.0,4.0,Keth,path cord,prompt,21,1,1
1,1,v21-scene-d01,v21-mutation-0001,6.28,4.0,Melo,tally beads,prompt,21,1,1
2,1,v21-scene-d01,v21-mutation-0002,6.28,4.0,Nari,ink ledger,prompt,21,1,1
3,1,v21-scene-d01,v21-mutation-0003,6.28,4.24,Ori,none,prompt,21,1,1
4,1,v21-scene-d01,v21-mutation-0004,6.28,4.24,Vonn,listening shell,prompt,21,1,1
5,1,v21-scene-d01,v21-mutation-0005,6.28,4.0,Sova,ember bowl,prompt,21,1,1
6,1,v21-scene-d01,v21-mutation-0006,6.28,4.0,Keth,path cord,handoff,21,1,1
7,1,v21-scene-d01,v21-mutation-0007,6.28,4.0,Melo,tally beads,restored,21,1,1
8,1,v21-scene-d01,v21-mutation-0008,6.0,4.0,Nari,ink ledger,prompt,21,1,1
9,1,v21-scene-d01,v21-mutation-0009,6.0,4.0,Ori,none,restored,21,1,1
10,1,v21-scene-d01,v21-mutation-0010,6.0,4.0,Vonn,listening shell,prompt,21,1,1
11,1,v21-scene-d01,v21-mutation-0011,6.0,3.76,Sova,ember bowl,prompt,21,1,1
12,1,v21-scene-d01,v21-mutation-0012,6.0,3.76,Keth,path cord,prompt,21,1,1
13,1,v21-scene-d01,v21-mutation-0013,6.0,3.76,Melo,tally beads,prompt,21,1,1
14,1,v21-scene-d01,v21-mutation-0014,6.0,3.76,Nari,ink ledger,prompt,21,1,1
15,2,v21-scene-d02,v21-mutation-0015,6.0,3.52,Vonn,none,prompt,21,1,1
16,2,v21-scene-d02,v21-mutation-0016,6.0,3.52,Sova,ember bowl,handoff,21,1,1
17,2,v21-scene-d02,v21-mutation-0017,6.0,3.28,Keth,path cord,prompt,21,1,1
18,2,v21-scene-d02,v21-mutation-0018,6.0,3.28,Melo,tally beads,restored,21,1,1
19,2,v21-scene-d02,v21-mutation-0019,6.0,3.28,Nari,ink ledger,prompt,21,1,1
20,2,v21-scene-d02,v21-mutation-0020,6.0,3.28,Ori,none,restored,21,1,1
21,2,v21-scene-d02,v21-mutation-0021,6.28,3.28,Vonn,none,prompt,21,1,1
22,2,v21-scene-d02,v21-mutation-0022,6.28,3.28,Sova,ember bowl,prompt,21,1,1
23,2,v21-scene-d02,v21-mutation-0023,6.28,3.04,Keth,path cord,prompt,21,1,1
24,2,v21-scene-d02,v21-mutation-0024,6.28,3.28,Melo,tally beads,prompt,21,1,1
25,2,v21-scene-d02,v21-mutation-0025,6.28,3.28,Nari,ink ledger,prompt,21,1,1
26,2,v21-scene-d02,v21-mutation-0026,6.0,3.28,none,none,idle,21,1,1
27,2,v21-scene-d02,v21-mutation-0027,5.72,3.28,Vonn,listening shell,prompt,21,1,1
28,2,v21-scene-d02,v21-mutation-0028,5.72,3.04,Sova,ember bowl,prompt,21,1,1
29,2,v21-scene-d02,v21-mutation-0029,5.44,3.04,Keth,path cord,prompt,21,1,1
30,3,v21-scene-d03,v21-mutation-0030,5.44,3.04,Nari,ink ledger,handoff,21,1,1
31,3,v21-scene-d03,v21-mutation-0031,5.44,3.04,none,none,repair,21,0,1
32,3,v21-scene-d03,v21-mutation-0032,5.72,3.04,Vonn,listening shell,prompt,21,1,1
33,3,v21-scene-d03,v21-mutation-0033,5.72,3.04,Sova,ember bowl,prompt,21,1,1
34,3,v21-scene-d03,v21-mutation-0034,5.72,3.04,Keth,path cord,handoff,21,1,1
35,3,v21-scene-d03,v21-mutation-0035,5.72,3.04,Melo,tally beads,prompt,21,1,1
36,3,v21-scene-d03,v21-mutation-0036,5.72,3.04,Nari,ink ledger,prompt,21,1,1
37,3,v21-scene-d03,v21-mutation-0037,6.0,3.04,Ori,none,prompt,21,1,1
38,3,v21-scene-d03,v21-mutation-0038,6.28,3.04,Vonn,none,prompt,21,1,1
39,3,v21-scene-d03,v21-mutation-0039,6.0,3.04,Sova,ember bowl,prompt,21,1,1
40,3,v21-scene-d03,v21-mutation-0040,6.0,3.04,Keth,path cord,handoff,21,1,1
41,3,v21-scene-d03,v21-mutation-0041,6.28,3.04,Melo,none,prompt,21,1,1
42,3,v21-scene-d03,v21-mutation-0042,6.28,3.04,Nari,ink ledger,prompt,21,1,1
43,3,v21-scene-d03,v21-mutation-0043,6.56,3.04,Ori,none,prompt,21,1,1
44,3,v21-scene-d03,v21-mutation-0044,6.56,3.04,Vonn,none,restored,21,1,1
45,4,v21-scene-d04,v21-mutation-0045,6.56,3.04,Keth,path cord,prompt,21,1,1
46,4,v21-scene-d04,v21-mutation-0046,6.56,3.04,Melo,tally beads,restored,21,1,1
47,4,v21-scene-d04,v21-mutation-0047,6.56,3.04,Nari,none,restored,21,1,1
48,4,v21-scene-d04,v21-mutation-0048,6.56,3.04,Ori,sap hook,prompt,21,1,1
49,4,v21-scene-d04,v21-mutation-0049,6.56,2.8,Vonn,none,prompt,21,1,1
50,4,v21-scene-d04,v21-mutation-0050,6.56,2.8,Sova,ember bowl,prompt,21,1,1
51,4,v21-scene-d04,v21-mutation-0051,6.84,2.8,Keth,path cord,prompt,21,1,1
52,4,v21-scene-d04,v21-mutation-0052,6.84,3.04,Melo,tally beads,prompt,21,1,1
53,4,v21-scene-d04,v21-mutation-0053,6.84,3.28,Nari,none,prompt,21,1,1
54,4,v21-scene-d04,v21-mutation-0054,6.84,3.28,Ori,sap hook,prompt,21,1,1
55,4,v21-scene-d04,v21-mutation-0055,6.84,3.04,Vonn,none,prompt,21,1,1
56,4,v21-scene-d04,v21-mutation-0056,6.84,3.04,Sova,ember bowl,prompt,21,1,1
57,4,v21-scene-d04,v21-mutation-0057,6.56,3.04,Keth,path cord,prompt,21,1,1
58,4,v21-scene-d04,v21-mutation-0058,6.56,3.04,Melo,tally beads,prompt,21,1,1
59,4,v21-scene-d04,v21-mutation-0059,6.56,2.8,Nari,none,prompt,21,1,1
60,5,v21-scene-d05,v21-mutation-0060,6.84,2.8,Vonn,listening shell,prompt,21,1,1
61,5,v21-scene-d05,v21-mutation-0061,6.84,2.8,Sova,ember bowl,restored,21,1,1
62,5,v21-scene-d05,v21-mutation-0062,6.84,2.8,Keth,path cord,prompt,21,1,1
63,5,v21-scene-d05,v21-mutation-0063,7.12,2.8,Melo,none,prompt,21,1,1
64,5,v21-scene-d05,v21-mutation-0064,7.12,2.56,Nari,none,prompt,21,1,1
65,5,v21-scene-d05,v21-mutation-0065,7.12,2.8,Ori,none,prompt,21,1,1
66,5,v21-scene-d05,v21-mutation-0066,7.12,2.56,none,listening shell,approach,21,1,1
67,5,v21-scene-d05,v21-mutation-0067,6.84,2.56,Sova,ember bowl,prompt,21,1,1
68,5,v21-scene-d05,v21-mutation-0068,6.56,2.56,Keth,path cord,prompt,21,1,1
69,5,v21-scene-d05,v21-mutation-0069,6.56,2.56,Melo,none,restored,21,1,1
70,5,v21-scene-d05,v21-mutation-0070,6.56,2.56,Nari,ink ledger,prompt,21,1,1
71,5,v21-scene-d05,v21-mutation-0071,6.56,2.8,none,none,repair,21,1,1
72,5,v21-scene-d05,v21-mutation-0072,6.56,2.8,Vonn,listening shell,handoff,21,1,1
73,5,v21-scene-d05,v21-mutation-0073,6.56,3.04,Sova,ember bowl,prompt,21,1,1
74,5,v21-scene-d05,v21-mutation-0074,6.56,3.04,Keth,path cord,prompt,21,1,1
75,6,v21-scene-d06,v21-mutation-0075,6.56,3.04,Nari,ink ledger,prompt,21,1,1
76,6,v21-scene-d06,v21-mutation-0076,6.56,3.04,Ori,sap hook,handoff,21,1,1
77,6,v21-scene-d06,v21-mutation-0077,6.56,3.28,Vonn,none,prompt,21,1,1
78,6,v21-scene-d06,v21-mutation-0078,6.56,3.28,Sova,ember bowl,handoff,21,1,1
79,6,v21-scene-d06,v21-mutation-0079,6.56,3.28,Keth,path cord,prompt,21,1,1
80,6,v21-scene-d06,v21-mutation-0080,6.56,3.28,Melo,tally beads,restored,21,1,1
81,6,v21-scene-d06,v21-mutation-0081,6.84,3.28,Nari,none,prompt,21,1,1
82,6,v21-scene-d06,v21-mutation-0082,6.84,3.04,Ori,none,prompt,21,1,1
83,6,v21-scene-d06,v21-mutation-0083,6.84,2.8,Vonn,none,prompt,21,1,1
84,6,v21-scene-d06,v21-mutation-0084,6.84,2.8,Sova,ember bowl,prompt,21,1,1
85,6,v21-scene-d06,v21-mutation-0085,6.84,2.56,Keth,path cord,prompt,21,1,1
86,6,v21-scene-d06,v21-mutation-0086,6.84,2.56,Melo,tally beads,prompt,21,1,1
87,6,v21-scene-d06,v21-mutation-0087,7.12,2.56,Nari,none,prompt,21,1,1
88,6,v21-scene-d06,v21-mutation-0088,7.12,2.56,Ori,sap hook,handoff,21,1,1
89,6,v21-scene-d06,v21-mutation-0089,7.12,2.56,Vonn,listening shell,prompt,21,1,1
90,7,v21-scene-d07,v21-mutation-0090,7.12,2.56,Keth,path cord,handoff,21,1,1
91,7,v21-scene-d07,v21-mutation-0091,7.12,2.8,Melo,none,prompt,21,1,1
92,7,v21-scene-d07,v21-mutation-0092,7.12,2.8,Nari,ink ledger,prompt,21,1,1
93,7,v21-scene-d07,v21-mutation-0093,7.12,2.8,Ori,sap hook,prompt,21,1,1
94,7,v21-scene-d07,v21-mutation-0094,7.12,2.56,Vonn,none,prompt,21,1,1
95,7,v21-scene-d07,v21-mutation-0095,7.12,2.32,Sova,none,prompt,21,1,1
96,7,v21-scene-d07,v21-mutation-0096,7.12,2.32,Keth,path cord,prompt,21,1,1
97,7,v21-scene-d07,v21-mutation-0097,7.12,2.32,Melo,tally beads,handoff,21,1,1
98,7,v21-scene-d07,v21-mutation-0098,7.12,2.08,Nari,none,prompt,21,1,1
99,7,v21-scene-d07,v21-mutation-0099,7.12,1.84,Ori,none,prompt,21,1,1
100,7,v21-scene-d07,v21-mutation-0100,7.12,1.84,Vonn,listening shell,prompt,21,1,1
101,7,v21-scene-d07,v21-mutation-0101,7.12,1.84,Sova,none,restored,21,1,1
102,7,v21-scene-d07,v21-mutation-0102,7.12,1.84,Keth,path cord,prompt,21,1,1
103,7,v21-scene-d07,v21-mutation-0103,7.12,1.84,Melo,tally beads,prompt,21,1,1
104,7,v21-scene-d07,v21-mutation-0104,7.12,1.84,Nari,ink ledger,prompt,21,1,1
105,8,v21-scene-d08,v21-mutation-0105,6.84,1.84,Vonn,none,prompt,21,1,1
106,8,v21-scene-d08,v21-mutation-0106,6.84,1.84,Sova,ember bowl,handoff,21,1,1
107,8,v21-scene-d08,v21-mutation-0107,7.12,1.84,Keth,path cord,prompt,21,1,1
108,8,v21-scene-d08,v21-mutation-0108,7.4,1.84,Melo,tally beads,prompt,21,1,1
109,8,v21-scene-d08,v21-mutation-0109,7.68,1.84,Nari,none,prompt,21,1,1
110,8,v21-scene-d08,v21-mutation-0110,7.68,1.84,Ori,sap hook,handoff,21,1,1
111,8,v21-scene-d08,v21-mutation-0111,7.4,1.84,none,none,idle,21,1,1
112,8,v21-scene-d08,v21-mutation-0112,7.12,1.84,Sova,none,prompt,21,1,1
113,8,v21-scene-d08,v21-mutation-0113,7.12,1.84,Keth,path cord,prompt,21,1,1
114,8,v21-scene-d08,v21-mutation-0114,6.84,1.84,Melo,tally beads,prompt,21,1,1
115,8,v21-scene-d08,v21-mutation-0115,6.84,1.84,Nari,ink ledger,handoff,21,1,1
116,8,v21-scene-d08,v21-mutation-0116,6.84,2.08,none,none,restored,21,1,1
117,8,v21-scene-d08,v21-mutation-0117,6.84,2.08,Vonn,listening shell,handoff,21,1,1
118,8,v21-scene-d08,v21-mutation-0118,6.84,2.08,Sova,none,restored,21,1,1
119,8,v21-scene-d08,v21-mutation-0119,6.84,1.84,Keth,path cord,prompt,21,1,1
120,9,v21-scene-d09,v21-mutation-0120,6.84,1.84,Nari,ink ledger,prompt,21,1,1
121,9,v21-scene-d09,v21-mutation-0121,6.84,1.6,none,none,marked,21,1,1
122,9,v21-scene-d09,v21-mutation-0122,6.84,1.6,Vonn,none,restored,21,1,1
123,9,v21-scene-d09,v21-mutation-0123,6.56,1.6,Sova,none,prompt,21,1,1
124,9,v21-scene-d09,v21-mutation-0124,6.56,1.6,Keth,path cord,handoff,21,1,1
125,9,v21-scene-d09,v21-mutation-0125,6.56,1.84,Melo,none,prompt,21,1,1
126,9,v21-scene-d09,v21-mutation-0126,6.56,2.08,none,ink ledger,prompt,21,1,1
127,9,v21-scene-d09,v21-mutation-0127,6.56,2.08,Ori,sap hook,prompt,21,1,1
128,9,v21-scene-d09,v21-mutation-0128,6.84,2.08,Vonn,none,prompt,21,1,1
129,9,v21-scene-d09,v21-mutation-0129,6.84,2.32,Sova,none,prompt,21,1,1
130,9,v21-scene-d09,v21-mutation-0130,6.84,2.32,Keth,path cord,handoff,21,1,1
131,9,v21-scene-d09,v21-mutation-0131,6.84,2.08,Melo,none,prompt,21,1,1
132,9,v21-scene-d09,v21-mutation-0132,6.84,2.32,Nari,ink ledger,prompt,21,1,1
133,9,v21-scene-d09,v21-mutation-0133,6.84,2.32,Ori,sap hook,prompt,21,1,1
134,9,v21-scene-d09,v21-mutation-0134,6.84,2.32,Vonn,listening shell,prompt,21,1,1
135,10,v21-scene-d10,v21-mutation-0135,6.84,2.56,Keth,path cord,prompt,21,1,1
136,10,v21-scene-d10,v21-mutation-0136,7.12,2.56,Melo,none,prompt,21,1,1
137,10,v21-scene-d10,v21-mutation-0137,7.12,2.32,Nari,none,prompt,21,1,1
138,10,v21-scene-d10,v21-mutation-0138,7.12,2.32,Ori,sap hook,prompt,21,1,1
139,10,v21-scene-d10,v21-mutation-0139,7.12,2.32,Vonn,listening shell,prompt,21,1,1
140,10,v21-scene-d10,v21-mutation-0140,7.12,2.08,Sova,none,prompt,21,1,1
141,10,v21-scene-d10,v21-mutation-0141,7.12,2.08,Keth,path cord,prompt,21,1,1
142,10,v21-scene-d10,v21-mutation-0142,7.12,2.32,Melo,none,prompt,21,1,1
143,10,v21-scene-d10,v21-mutation-0143,6.84,2.32,Nari,none,prompt,21,1,1
144,10,v21-scene-d10,v21-mutation-0144,6.84,2.32,Ori,sap hook,prompt,21,1,1
145,10,v21-scene-d10,v21-mutation-0145,6.84,2.56,Vonn,none,prompt,21,1,1
146,10,v21-scene-d10,v21-mutation-0146,6.84,2.56,Sova,ember bowl,prompt,21,1,1
147,10,v21-scene-d10,v21-mutation-0147,7.12,2.56,Keth,path cord,prompt,21,1,1
148,10,v21-scene-d10,v21-mutation-0148,7.12,2.56,Melo,tally beads,prompt,21,1,1
149,10,v21-scene-d10,v21-mutation-0149,6.84,2.56,Nari,none,prompt,21,1,1
150,11,v21-scene-d11,v21-mutation-0150,6.84,2.56,Vonn,listening shell,prompt,21,1,1
151,11,v21-scene-d11,v21-mutation-0151,6.84,2.56,Sova,ember bowl,handoff,21,1,1
152,11,v21-scene-d11,v21-mutation-0152,7.12,2.56,Keth,path cord,prompt,21,1,1
153,11,v21-scene-d11,v21-mutation-0153,7.12,2.56,Melo,tally beads,handoff,21,1,1
154,11,v21-scene-d11,v21-mutation-0154,7.12,2.56,Nari,none,restored,21,1,1
155,11,v21-scene-d11,v21-mutation-0155,7.12,2.56,Ori,none,prompt,21,1,1
156,11,v21-scene-d11,v21-mutation-0156,7.12,2.56,Vonn,listening shell,handoff,21,1,1
157,11,v21-scene-d11,v21-mutation-0157,7.12,2.56,Sova,ember bowl,prompt,21,1,1
158,11,v21-scene-d11,v21-mutation-0158,7.12,2.56,Keth,path cord,prompt,21,1,1
159,11,v21-scene-d11,v21-mutation-0159,7.12,2.56,Melo,tally beads,prompt,21,1,1
160,11,v21-scene-d11,v21-mutation-0160,7.12,2.56,Nari,none,restored,21,1,1
161,11,v21-scene-d11,v21-mutation-0161,7.12,2.56,Ori,sap hook,prompt,21,1,1
162,11,v21-scene-d11,v21-mutation-0162,7.12,2.32,Vonn,listening shell,prompt,21,1,1
163,11,v21-scene-d11,v21-mutation-0163,7.12,2.56,Sova,none,prompt,21,1,1
164,11,v21-scene-d11,v21-mutation-0164,7.12,2.56,Keth,path cord,prompt,21,1,1
165,12,v21-scene-d12,v21-mutation-0165,7.12,2.56,Nari,ink ledger,prompt,21,1,1
166,12,v21-scene-d12,v21-mutation-0166,7.12,2.56,Ori,sap hook,prompt,21,1,1
167,12,v21-scene-d12,v21-mutation-0167,7.12,2.56,Vonn,none,restored,21,1,1
168,12,v21-scene-d12,v21-mutation-0168,7.12,2.32,Sova,ember bowl,prompt,21,1,1
169,12,v21-scene-d12,v21-mutation-0169,7.12,2.08,Keth,path cord,prompt,21,1,1
170,12,v21-scene-d12,v21-mutation-0170,6.84,2.08,Melo,none,prompt,21,1,1
171,12,v21-scene-d12,v21-mutation-0171,7.12,2.08,none,none,approach,21,1,1
172,12,v21-scene-d12,v21-mutation-0172,7.12,2.08,Ori,sap hook,prompt,21,1,1
173,12,v21-scene-d12,v21-mutation-0173,7.4,2.08,Vonn,none,prompt,21,1,1
174,12,v21-scene-d12,v21-mutation-0174,7.4,2.08,Sova,ember bowl,restored,21,1,1
175,12,v21-scene-d12,v21-mutation-0175,7.68,2.08,Keth,path cord,prompt,21,1,1
176,12,v21-scene-d12,v21-mutation-0176,7.96,2.08,none,none,repair,21,1,1
177,12,v21-scene-d12,v21-mutation-0177,7.96,2.32,Nari,none,prompt,21,1,1
178,12,v21-scene-d12,v21-mutation-0178,8.24,2.32,Ori,none,prompt,21,1,1
179,12,v21-scene-d12,v21-mutation-0179,8.24,2.56,Vonn,none,prompt,21,1,1
180,13,v21-scene-d13,v21-mutation-0180,8.24,2.32,Keth,path cord,prompt,21,1,1
181,13,v21-scene-d13,v21-mutation-0181,8.24,2.32,none,none,restored,21,0,1
182,13,v21-scene-d13,v21-mutation-0182,8.24,2.08,Nari,none,prompt,21,1,1
183,13,v21-scene-d13,v21-mutation-0183,8.24,2.08,Ori,sap hook,handoff,21,1,1
184,13,v21-scene-d13,v21-mutation-0184,8.24,2.08,Vonn,listening shell,handoff,21,1,1
185,13,v21-scene-d13,v21-mutation-0185,8.24,1.84,Sova,none,prompt,21,1,1
186,13,v21-scene-d13,v21-mutation-0186,8.24,1.84,Keth,path cord,restored,21,1,1
187,13,v21-scene-d13,v21-mutation-0187,8.24,1.84,Melo,tally beads,handoff,21,1,1
188,13,v21-scene-d13,v21-mutation-0188,8.24,1.84,Nari,ink ledger,prompt,21,1,1
189,13,v21-scene-d13,v21-mutation-0189,8.24,1.84,Ori,sap hook,prompt,21,1,1
190,13,v21-scene-d13,v21-mutation-0190,8.24,1.84,Vonn,listening shell,handoff,21,1,1
191,13,v21-scene-d13,v21-mutation-0191,8.24,1.84,Sova,ember bowl,prompt,21,1,1
192,13,v21-scene-d13,v21-mutation-0192,7.96,1.84,Keth,path cord,prompt,21,1,1
193,13,v21-scene-d13,v21-mutation-0193,7.96,1.6,Melo,none,prompt,21,1,1
194,13,v21-scene-d13,v21-mutation-0194,7.96,1.6,Nari,ink ledger,handoff,21,1,1
195,14,v21-scene-d14,v21-mutation-0195,7.96,1.6,Vonn,listening shell,prompt,21,1,1
196,14,v21-scene-d14,v21-mutation-0196,8.24,1.6,none,none,idle,21,1,1
197,14,v21-scene-d14,v21-mutation-0197,7.96,1.6,Keth,path cord,prompt,21,1,1
198,14,v21-scene-d14,v21-mutation-0198,7.68,1.6,Melo,tally beads,prompt,21,1,1
199,14,v21-scene-d14,v21-mutation-0199,7.96,1.6,Nari,none,prompt,21,1,1
200,14,v21-scene-d14,v21-mutation-0200,7.96,1.6,Ori,sap hook,prompt,21,1,1
201,14,v21-scene-d14,v21-mutation-0201,7.96,1.84,none,none,restored,21,1,1
202,14,v21-scene-d14,v21-mutation-0202,7.96,1.84,Sova,ember bowl,prompt,21,1,1
203,14,v21-scene-d14,v21-mutation-0203,7.96,1.84,Keth,path cord,handoff,21,1,1
204,14,v21-scene-d14,v21-mutation-0204,7.96,1.84,Melo,tally beads,handoff,21,1,1
205,14,v21-scene-d14,v21-mutation-0205,7.96,1.84,Nari,ink ledger,handoff,21,1,1
206,14,v21-scene-d14,v21-mutation-0206,7.96,1.84,Ori,sap hook,handoff,21,1,1
207,14,v21-scene-d14,v21-mutation-0207,7.96,1.84,Vonn,none,restored,21,1,1
208,14,v21-scene-d14,v21-mutation-0208,8.24,1.84,Sova,none,prompt,21,1,1
209,14,v21-scene-d14,v21-mutation-0209,8.24,1.84,Keth,path cord,restored,21,1,1
210,15,v21-scene-d15,v21-mutation-0210,8.24,1.84,Nari,ink ledger,prompt,21,1,1
211,15,v21-scene-d15,v21-mutation-0211,7.96,1.84,none,none,prompt,21,1,1
212,15,v21-scene-d15,v21-mutation-0212,7.96,2.08,Vonn,none,prompt,21,1,1
213,15,v21-scene-d15,v21-mutation-0213,7.96,2.08,Sova,ember bowl,prompt,21,1,1
214,15,v21-scene-d15,v21-mutation-0214,7.96,2.32,Keth,path cord,prompt,21,1,1
215,15,v21-scene-d15,v21-mutation-0215,7.96,2.32,Melo,none,restored,21,1,1
216,15,v21-scene-d15,v21-mutation-0216,7.68,2.32,none,ink ledger,idle,21,1,1
217,15,v21-scene-d15,v21-mutation-0217,7.68,2.32,Ori,none,prompt,21,1,1
218,15,v21-scene-d15,v21-mutation-0218,7.68,2.32,Vonn,listening shell,handoff,21,1,1
219,15,v21-scene-d15,v21-mutation-0219,7.68,2.32,Sova,ember bowl,prompt,21,1,1
220,15,v21-scene-d15,v21-mutation-0220,7.68,2.32,Keth,path cord,prompt,21,1,1
221,15,v21-scene-d15,v21-mutation-0221,7.68,2.32,Melo,tally beads,prompt,21,1,1
222,15,v21-scene-d15,v21-mutation-0222,7.68,2.32,Nari,ink ledger,prompt,21,1,1
223,15,v21-scene-d15,v21-mutation-0223,7.68,2.32,Ori,sap hook,prompt,21,1,1
224,15,v21-scene-d15,v21-mutation-0224,7.96,2.32,Vonn,none,prompt,21,1,1
225,16,v21-scene-d16,v21-mutation-0225,7.96,2.32,Keth,path cord,prompt,21,1,1
226,16,v21-scene-d16,v21-mutation-0226,7.68,2.32,Melo,none,prompt,21,1,1
227,16,v21-scene-d16,v21-mutation-0227,7.4,2.32,Nari,none,prompt,21,1,1
228,16,v21-scene-d16,v21-mutation-0228,7.68,2.32,Ori,sap hook,prompt,21,1,1
229,16,v21-scene-d16,v21-mutation-0229,7.68,2.32,Vonn,listening shell,handoff,21,1,1
230,16,v21-scene-d16,v21-mutation-0230,7.68,2.32,Sova,none,restored,21,1,1
231,16,v21-scene-d16,v21-mutation-0231,7.68,2.08,Keth,path cord,prompt,21,1,1
232,16,v21-scene-d16,v21-mutation-0232,7.68,2.08,Melo,tally beads,handoff,21,1,1
233,16,v21-scene-d16,v21-mutation-0233,7.68,1.84,Nari,none,prompt,21,1,1
234,16,v21-scene-d16,v21-mutation-0234,7.68,1.84,Ori,sap hook,restored,21,1,1
235,16,v21-scene-d16,v21-mutation-0235,7.68,1.6,Vonn,none,prompt,21,1,1
236,16,v21-scene-d16,v21-mutation-0236,7.68,1.6,Sova,ember bowl,prompt,21,1,1
237,16,v21-scene-d16,v21-mutation-0237,7.96,1.6,Keth,path cord,prompt,21,1,1
238,16,v21-scene-d16,v21-mutation-0238,7.96,1.6,Melo,tally beads,handoff,21,1,1
239,16,v21-scene-d16,v21-mutation-0239,7.96,1.84,Nari,none,prompt,21,1,1
240,17,v21-scene-d17,v21-mutation-0240,7.68,1.84,Vonn,listening shell,prompt,21,1,1
241,17,v21-scene-d17,v21-mutation-0241,7.68,1.84,Sova,ember bowl,handoff,21,1,1
242,17,v21-scene-d17,v21-mutation-0242,7.68,1.84,Keth,path cord,handoff,21,1,1
243,17,v21-scene-d17,v21-mutation-0243,7.96,1.84,Melo,none,prompt,21,1,1
244,17,v21-scene-d17,v21-mutation-0244,7.96,1.84,Nari,ink ledger,prompt,21,1,1
245,17,v21-scene-d17,v21-mutation-0245,7.96,2.08,Ori,none,prompt,21,1,1
246,17,v21-scene-d17,v21-mutation-0246,7.96,2.08,Vonn,listening shell,handoff,21,1,1
247,17,v21-scene-d17,v21-mutation-0247,7.96,2.08,Sova,ember bowl,prompt,21,1,1
248,17,v21-scene-d17,v21-mutation-0248,7.96,2.08,Keth,path cord,handoff,21,1,1
249,17,v21-scene-d17,v21-mutation-0249,7.68,2.08,Melo,none,prompt,21,1,1
250,17,v21-scene-d17,v21-mutation-0250,7.68,1.84,Nari,none,prompt,21,1,1
251,17,v21-scene-d17,v21-mutation-0251,7.68,1.84,Ori,sap hook,handoff,21,1,1
252,17,v21-scene-d17,v21-mutation-0252,7.68,1.84,Vonn,listening shell,prompt,21,1,1
253,17,v21-scene-d17,v21-mutation-0253,7.68,1.84,Sova,none,restored,21,1,1
