arc_id,agent_id,day,project_title,milestone,progress_before,progress_after,blocker,craft_dependency,economy_dependency,body_dependency,social_memory,next_commitment,saved_arc_key,frequency_hz,flower_node
arc-fayen-1,fayen,1,public care kit standard,day 1 milestone for public care kit standard,0.0,0.2,none,care-kit cloth,cup refill credit,fatigue recovery,Fayen remembers Gabriel accepts care refusal,continue public care kit standard after day 1,long-arc:fayen:1,120.0,4
arc-fayen-3,fayen,3,public care kit standard,day 3 milestone for public care kit standard,0.2,0.34,none,care-kit cloth,cup refill credit,fatigue recovery,Fayen remembers Gabriel accepts care refusal,continue public care kit standard after day 3,long-arc:fayen:3,124.25,5
arc-fayen-5,fayen,5,public care kit standard,day 5 milestone for public care kit standard,0.34,0.48,cloth wash delay,care-kit cloth,cup refill credit,fatigue recovery,Fayen remembers Gabriel accepts care refusal,continue public care kit standard after day 5,long-arc:fayen:5,128.5,6
arc-fayen-8,fayen,8,public care kit standard,day 8 milestone for public care kit standard,0.48,0.62,none,care-kit cloth,cup refill credit,fatigue recovery,Fayen remembers Gabriel accepts care refusal,continue public care kit standard after day 8,long-arc:fayen:8,132.75,7
arc-fayen-13,fayen,13,public care kit standard,day 13 milestone for public care kit standard,0.62,0.74,cloth wash delay,care-kit cloth,cup refill credit,fatigue recovery,Fayen remembers Gabriel accepts care refusal,continue public care kit standard after day 13,long-arc:fayen:13,137.0,8
arc-fayen-21,fayen,21,public care kit standard,day 21 milestone for public care kit standard,0.74,0.86,none,care-kit cloth,cup refill credit,fatigue recovery,Fayen remembers Gabriel accepts care refusal,continue public care kit standard after day 21,long-arc:fayen:21,141.25,9
arc-ariq-1,ariq,1,cart-safe bridge edge,day 1 milestone for cart-safe bridge edge,0.0,0.16,none,brace timber,shade debt clearance,pain-aware lift,Ariq remembers timed help without shame,continue cart-safe bridge edge after day 1,long-arc:ariq:1,145.5,10
arc-ariq-3,ariq,3,cart-safe bridge edge,day 3 milestone for cart-safe bridge edge,0.16,0.3,none,brace timber,shade debt clearance,pain-aware lift,Ariq remembers timed help without shame,continue cart-safe bridge edge after day 3,long-arc:ariq:3,149.75,11
arc-ariq-5,ariq,5,cart-safe bridge edge,day 5 milestone for cart-safe bridge edge,0.3,0.43,timber review,brace timber,shade debt clearance,pain-aware lift,Ariq remembers timed help without shame,continue cart-safe bridge edge after day 5,long-arc:ariq:5,154.0,12
arc-ariq-8,ariq,8,cart-safe bridge edge,day 8 milestone for cart-safe bridge edge,0.43,0.55,none,brace timber,shade debt clearance,pain-aware lift,Ariq remembers timed help without shame,continue cart-safe bridge edge after day 8,long-arc:ariq:8,158.25,1
arc-ariq-13,ariq,13,cart-safe bridge edge,day 13 milestone for cart-safe bridge edge,0.55,0.66,timber review,brace timber,shade debt clearance,pain-aware lift,Ariq remembers timed help without shame,continue cart-safe bridge edge after day 13,long-arc:ariq:13,162.5,2
arc-ariq-21,ariq,21,cart-safe bridge edge,day 21 milestone for cart-safe bridge edge,0.66,0.78,none,brace timber,shade debt clearance,pain-aware lift,Ariq remembers timed help without shame,continue cart-safe bridge edge after day 21,long-arc:ariq:21,166.75,3
