scenario,latent,target,train_episodes,test_episodes,test_mae,test_r2,baseline_mae
mixed_hidden,constant,true_gain,400,100,0.7702,-0.007071041873826234,0.7702
mixed_hidden,mean_effect,true_gain,400,100,0.7688196524325693,-0.004567994497375771,0.7702
mixed_hidden,three_predictions,true_gain,400,100,4.7528014857078915e-12,1.0,0.7702
mixed_hidden,full_predictions,true_gain,400,100,8.62230287168586e-13,1.0,0.7702
mixed_hidden,constant,true_wind,400,100,1.061475,-0.008760574679113287,1.061475
mixed_hidden,mean_effect,true_wind,400,100,1.7717105568748615e-09,1.0,1.061475
mixed_hidden,three_predictions,true_wind,400,100,5.898151758818099e-10,1.0,1.061475
mixed_hidden,full_predictions,true_wind,400,100,5.708101364359153e-11,1.0,1.061475
self_drift,constant,true_gain,400,100,0.87005,-0.00033383581806090135,0.87005
self_drift,mean_effect,true_gain,400,100,0.87005,-0.00033383581806090135,0.87005
self_drift,three_predictions,true_gain,400,100,4.8726217505290495e-12,1.0,0.87005
self_drift,full_predictions,true_gain,400,100,8.842937493369618e-13,1.0,0.87005
self_drift,constant,true_wind,400,100,0.0,,0.0
self_drift,mean_effect,true_wind,400,100,0.0,,0.0
self_drift,three_predictions,true_wind,400,100,0.0,,0.0
self_drift,full_predictions,true_wind,400,100,0.0,,0.0
static_goal_switch,constant,true_gain,400,100,0.0,,0.0
static_goal_switch,mean_effect,true_gain,400,100,0.0,,0.0
static_goal_switch,three_predictions,true_gain,400,100,0.0,,0.0
static_goal_switch,full_predictions,true_gain,400,100,0.0,,0.0
static_goal_switch,constant,true_wind,400,100,0.0,,0.0
static_goal_switch,mean_effect,true_wind,400,100,0.0,,0.0
static_goal_switch,three_predictions,true_wind,400,100,0.0,,0.0
static_goal_switch,full_predictions,true_wind,400,100,0.0,,0.0
world_drift,constant,true_gain,400,100,0.0,,0.0
world_drift,mean_effect,true_gain,400,100,0.0,,0.0
world_drift,three_predictions,true_gain,400,100,0.0,,0.0
world_drift,full_predictions,true_gain,400,100,0.0,,0.0
world_drift,constant,true_wind,400,100,1.5064,-0.006776534744777241,1.5064
world_drift,mean_effect,true_wind,400,100,1.4731655784139264e-09,1.0,1.5064
world_drift,three_predictions,true_wind,400,100,4.910512452216409e-10,1.0,1.5064
world_drift,full_predictions,true_wind,400,100,4.7521582224874235e-11,1.0,1.5064
