tick,day,slot,selected_resident,scrub_frame,index_frame,memory_debt_frame,schedule_diff_frame,localstorage_snapshot_frame,invariant_frame,causality_frame,audit_ui_frame,audit_layer_attached_to_v58_loop,boundary_visible
0,1,0,Nia,0,0,0,0,0,0,0,0,True,True
1,1,1,Ari,1,1,1,1,1,1,1,1,True,True
2,1,2,Fay,2,2,2,2,2,2,2,2,True,True
3,1,3,Milo,3,3,3,3,3,3,3,3,True,True
4,1,4,Sera,4,4,4,4,4,4,4,4,True,True
5,1,5,Tovan,5,5,5,5,5,5,5,5,True,True
6,1,6,Nia,6,6,6,6,6,6,6,6,True,True
7,1,7,Ari,7,7,7,7,7,7,7,7,True,True
8,1,8,Fay,8,8,8,8,8,8,8,8,True,True
9,1,9,Milo,9,9,9,9,9,9,9,9,True,True
10,1,10,Sera,10,10,10,10,10,10,10,10,True,True
11,1,11,Tovan,11,11,11,11,11,11,11,11,True,True
12,1,12,Nia,12,12,12,12,12,12,12,12,True,True
13,1,13,Ari,13,13,13,13,13,13,13,13,True,True
14,1,14,Fay,14,14,14,14,14,14,14,14,True,True
15,1,15,Milo,15,15,15,15,15,15,15,15,True,True
16,1,16,Sera,16,16,16,16,16,16,16,16,True,True
17,1,17,Tovan,17,17,17,17,17,17,17,17,True,True
18,2,0,Nia,18,18,18,18,18,18,18,18,True,True
19,2,1,Ari,19,19,19,19,19,19,19,19,True,True
20,2,2,Fay,20,20,20,20,20,20,20,20,True,True
21,2,3,Milo,21,21,21,21,21,21,21,21,True,True
22,2,4,Sera,22,22,22,22,22,22,22,22,True,True
23,2,5,Tovan,23,23,23,23,23,23,23,23,True,True
24,2,6,Nia,24,24,24,24,24,24,24,24,True,True
25,2,7,Ari,25,25,25,25,25,25,25,25,True,True
26,2,8,Fay,26,26,26,26,26,26,26,26,True,True
27,2,9,Milo,27,27,27,27,27,27,27,27,True,True
28,2,10,Sera,28,28,28,28,28,28,28,28,True,True
29,2,11,Tovan,29,29,29,29,29,29,29,29,True,True
30,2,12,Nia,30,30,30,30,30,30,30,30,True,True
31,2,13,Ari,31,31,31,31,31,31,31,31,True,True
32,2,14,Fay,32,32,32,32,32,32,32,32,True,True
