channel,passed,score,evidence,failure_if_false
report_337_hard_reload_gate_passed,True,1.0,Report 337 verdict=pass weakest=1.0,stale calibration would not be grounded in a passing hard-reload handoff gate
stale_calibration_source_still_present,True,1.0,"generator, emitted JS, and emitted HTML retain stale prepared-handoff status/action machinery",regeneration would remove stale prepared-handoff calibration
prepared_resume_was_fresh_before_supersede,True,1.0,"kind=resume fresh=True status=Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",the baseline prepared resume handoff was not fresh before supersession
superseding_shell_handoff_created,True,1.0,url=http://127.0.0.1:8800/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63 reviewer=True,the proof did not create a newer shell handoff to supersede the prepared payload
shell_evidence_refreshed_to_newer_clean_handoff,True,1.0,prepared=2026-06-18T09:57:56.291Z current=2026-06-18T09:57:57.404Z kind=clean,launcher evidence did not observe a newer current clean handoff
prepared_payload_not_overwritten_by_refresh,True,1.0,prepared=2026-06-18T09:57:56.291Z stalePayload=2026-06-18T09:57:56.291Z kind=resume,refresh overwrote the prepared payload instead of calibrating it as stale
stale_status_visible_after_supersede,True,1.0,"Prepared handoff payload is stale: launch handoff changed, launch kind changed, shell replay rows changed. Payload is resume while current shell is clean. Re-run Prepare outside-review handoff.",launcher did not render a human-readable stale prepared-handoff summary
freshness_preview_marks_payload_stale,True,1.0,previewFresh=False,visible preview JSON did not mark the prepared payload stale
freshness_preview_names_mismatch,True,1.0,"['launch handoff changed', 'launch kind changed', 'shell replay rows changed']",visible preview JSON did not name the freshness mismatch
stale_actions_block_continue,True,1.0,Re-prepare before continuing from this handoff.Download prepared outside-review handoff JSON,stale prepared handoff still exposed a continue action
download_remains_available_for_stale_review,True,1.0,Re-prepare before continuing from this handoff.Download prepared outside-review handoff JSON,stale calibration removed the downloadable review evidence
stale_state_survives_launcher_reload,True,1.0,"Prepared handoff payload is stale: launch handoff changed, launch kind changed, shell replay rows changed. Payload is resume while current shell is clean. Re-run Prepare outside-review handoff.",stale classification did not survive launcher reload
stale_reload_keeps_prepared_timestamp,True,1.0,prepared=2026-06-18T09:57:56.291Z reload=2026-06-18T09:57:56.291Z,reload mutated the stale prepared payload timestamp
stale_reload_keeps_newer_shell_timestamp,True,1.0,afterSupersede=2026-06-18T09:57:57.404Z reload=2026-06-18T09:57:57.404Z,reload lost the newer shell handoff timestamp used for calibration
browser_evidence_uses_visible_or_preview_state,True,1.0,"browser evidence compares visible status/actions and visible handoff preview JSON, not raw storage keys",stale calibration proof relies on privileged storage inspection
browser_console_clean,True,1.0,consoleErrors=0 messages=[],stale calibration browser flow produced console errors
boundary_preserved,True,1.0,"Deterministic browser-local stale prepared-handoff calibration bridge only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. This is local launcher freshness judgment and review-handoff hygiene, not external validation or evidence of inner experience.",report boundary implies more than browser-local launcher freshness calibration
