tick,day,obligation_id,scene_id,agent,object_name,obligation_kind,age_days,due_day,status_before,status_after,persisted_across_visit,visible_to_avatar,obligation_integrity_score
0,1,v24-obligation-ori-0000,v24-scene-d01,Ori,sap hook,return_owned_object,1,2,open,repaired,0,1,1.0
1,1,v24-no-open-nari-0001,v24-scene-d01,Nari,ink ledger,none,0,1,none,none,0,0,1.0
2,1,v24-obligation-ori-0002,v24-scene-d01,Ori,sap hook,return_owned_object,1,4,open,open,1,1,1.0
3,1,v24-obligation-nari-0003,v24-scene-d01,Nari,ink ledger,return_owned_object,1,2,open,repaired,0,1,1.0
4,1,v24-obligation-ori-0002,v24-scene-d01,Ori,sap hook,return_owned_object,1,4,open,repaired,0,1,1.0
5,1,v24-no-open-ori-0005,v24-scene-d01,Ori,sap hook,none,0,1,none,none,0,0,1.0
6,1,v24-obligation-sova-0006,v24-scene-d01,Sova,moth lantern,return_owned_object,1,2,open,repaired,0,1,1.0
7,1,v24-obligation-nari-0007,v24-scene-d01,Nari,ink ledger,return_owned_object,1,3,open,open,1,1,1.0
8,1,v24-obligation-melo-0008,v24-scene-d01,Melo,tally beads,return_owned_object,1,4,open,repaired,0,0,0.75
9,1,v24-no-open-keth-0009,v24-scene-d01,Keth,path cord,none,0,1,none,none,0,0,1.0
10,1,v24-obligation-melo-0010,v24-scene-d01,Melo,tally beads,return_owned_object,1,3,open,repaired,0,1,1.0
11,1,v24-obligation-ori-0011,v24-scene-d01,Ori,sap hook,return_owned_object,1,4,open,repaired,0,1,1.0
12,1,v24-obligation-vonn-0012,v24-scene-d01,Vonn,rain mirror,help_with_owned_task,1,2,open,open,0,1,1.0
13,1,v24-no-open-ori-0013,v24-scene-d01,Ori,sap hook,none,0,1,none,none,0,0,1.0
14,1,v24-obligation-ori-0014,v24-scene-d01,Ori,sap hook,return_owned_object,1,4,open,repaired,0,1,1.0
15,1,v24-obligation-keth-0015,v24-scene-d01,Keth,path cord,return_owned_object,1,2,open,repaired,0,1,1.0
16,1,v24-obligation-sova-0016,v24-scene-d01,Sova,moth lantern,return_owned_object,1,3,open,open,1,1,1.0
17,1,v24-no-open-melo-0017,v24-scene-d01,Melo,tally beads,none,0,1,none,none,0,0,1.0
18,2,v24-obligation-sova-0016,v24-scene-d02,Sova,moth lantern,return_owned_object,2,3,open,repaired,0,1,1.0
19,2,v24-obligation-nari-0007,v24-scene-d02,Nari,ink ledger,return_owned_object,2,3,open,open,1,1,1.0
20,2,v24-obligation-sova-0020,v24-scene-d02,Sova,ember bowl,return_owned_object,1,5,open,open,1,1,1.0
21,2,v24-no-open-ori-0021,v24-scene-d02,Ori,sap hook,none,0,2,none,none,0,0,1.0
22,2,v24-obligation-vonn-0012,v24-scene-d02,Vonn,rain mirror,help_with_owned_task,2,2,open,open,1,1,1.0
23,2,v24-obligation-keth-0023,v24-scene-d02,Keth,path cord,return_owned_object,1,5,open,open,1,1,1.0
24,2,v24-obligation-melo-0024,v24-scene-d02,Melo,tally beads,return_owned_object,1,3,open,open,1,1,1.0
25,2,v24-obligation-melo-0024,v24-scene-d02,Melo,tally beads,return_owned_object,1,3,open,repaired,0,1,1.0
26,2,v24-obligation-nari-0007,v24-scene-d02,Nari,ink ledger,return_owned_object,2,3,open,repaired,0,1,1.0
27,2,v24-obligation-sova-0020,v24-scene-d02,Sova,ember bowl,return_owned_object,1,5,open,open,1,1,1.0
28,2,v24-obligation-melo-0028,v24-scene-d02,Melo,tally beads,return_owned_object,1,4,open,repaired,0,1,1.0
29,2,v24-obligation-sova-0020,v24-scene-d02,Sova,ember bowl,return_owned_object,1,5,open,repaired,0,1,1.0
30,2,v24-obligation-sova-0030,v24-scene-d02,Sova,ember bowl,return_owned_object,1,3,open,repaired,0,1,1.0
31,2,v24-obligation-ori-0031,v24-scene-d02,Ori,sap hook,return_owned_object,1,4,open,open,1,1,1.0
32,2,v24-obligation-sova-0032,v24-scene-d02,Sova,ember bowl,return_owned_object,1,5,open,repaired,0,1,1.0
33,2,v24-no-open-sova-0033,v24-scene-d02,Sova,moth lantern,none,0,2,none,none,0,0,1.0
34,2,v24-obligation-nari-0034,v24-scene-d02,Nari,ink ledger,return_owned_object,1,4,open,open,1,1,1.0
35,2,v24-obligation-keth-0023,v24-scene-d02,Keth,path cord,return_owned_object,1,5,open,repaired,0,1,1.0
36,3,v24-obligation-melo-0036,v24-scene-d03,Melo,tally beads,return_owned_object,1,4,open,open,1,1,1.0
37,3,v24-obligation-melo-0036,v24-scene-d03,Melo,tally beads,return_owned_object,1,4,open,repaired,0,0,0.75
38,3,v24-obligation-vonn-0012,v24-scene-d03,Vonn,rain mirror,help_with_owned_task,3,2,open,open,1,1,0.945
39,3,v24-obligation-nari-0034,v24-scene-d03,Nari,ink ledger,return_owned_object,2,4,open,repaired,0,1,1.0
40,3,v24-obligation-ori-0031,v24-scene-d03,Ori,sap hook,return_owned_object,2,4,open,repaired,0,1,1.0
41,3,v24-obligation-vonn-0012,v24-scene-d03,Vonn,rain mirror,help_with_owned_task,3,2,open,open,1,1,0.945
42,3,v24-obligation-vonn-0012,v24-scene-d03,Vonn,rain mirror,help_with_owned_task,3,2,open,open,1,1,0.945
43,3,v24-obligation-vonn-0012,v24-scene-d03,Vonn,rain mirror,help_with_owned_task,3,2,open,open,1,1,0.945
44,3,v24-obligation-keth-0044,v24-scene-d03,Keth,path cord,return_owned_object,1,6,open,repaired,0,1,1.0
45,3,v24-no-open-melo-0045,v24-scene-d03,Melo,tally beads,none,0,3,none,none,0,0,1.0
46,3,v24-obligation-nari-0046,v24-scene-d03,Nari,fern key,return_owned_object,1,5,open,repaired,0,1,1.0
47,3,v24-obligation-vonn-0012,v24-scene-d03,Vonn,rain mirror,help_with_owned_task,3,2,open,open,1,1,0.945
48,3,v24-obligation-nari-0048,v24-scene-d03,Nari,fern key,return_owned_object,1,4,open,repaired,0,1,1.0
49,3,v24-no-open-sova-0049,v24-scene-d03,Sova,ember bowl,none,0,3,none,none,0,0,1.0
50,3,v24-obligation-vonn-0012,v24-scene-d03,Vonn,rain mirror,help_with_owned_task,3,2,open,open,1,1,0.945
51,3,v24-obligation-melo-0051,v24-scene-d03,Melo,tally beads,return_owned_object,1,4,open,repaired,0,1,1.0
52,3,v24-obligation-nari-0052,v24-scene-d03,Nari,fern key,return_owned_object,1,5,open,repaired,0,1,1.0
53,3,v24-no-open-ori-0053,v24-scene-d03,Ori,sap hook,none,0,3,none,none,0,0,1.0
54,4,v24-obligation-vonn-0012,v24-scene-d04,Vonn,rain mirror,help_with_owned_task,4,2,open,repaired,0,1,1.0
55,4,v24-obligation-keth-0055,v24-scene-d04,Keth,path cord,return_owned_object,1,6,open,repaired,0,1,1.0
56,4,v24-obligation-keth-0056,v24-scene-d04,Keth,path cord,return_owned_object,1,7,open,open,1,1,1.0
57,4,v24-obligation-keth-0056,v24-scene-d04,Keth,path cord,return_owned_object,1,7,open,repaired,0,1,1.0
58,4,v24-obligation-sova-0058,v24-scene-d04,Sova,ember bowl,return_owned_object,1,6,open,open,1,1,1.0
59,4,v24-obligation-vonn-0022,v24-scene-d04,Vonn,listening shell,return_owned_object,3,4,open,repaired,0,1,1.0
60,4,v24-obligation-keth-0060,v24-scene-d04,Keth,path cord,return_owned_object,1,5,open,repaired,0,1,1.0
61,4,v24-no-open-melo-0061,v24-scene-d04,Melo,tally beads,none,0,4,none,none,0,0,1.0
62,4,v24-obligation-melo-0062,v24-scene-d04,Melo,tally beads,return_owned_object,1,7,open,repaired,0,1,1.0
63,4,v24-obligation-sova-0058,v24-scene-d04,Sova,ember bowl,return_owned_object,1,6,open,repaired,0,1,1.0
64,4,v24-obligation-vonn-0064,v24-scene-d04,Vonn,listening shell,return_owned_object,1,6,open,open,1,1,1.0
65,4,v24-no-open-keth-0065,v24-scene-d04,Keth,path cord,none,0,4,none,none,0,0,1.0
66,4,v24-obligation-melo-0066,v24-scene-d04,Melo,tally beads,return_owned_object,1,5,open,repaired,0,0,0.75
67,4,v24-obligation-keth-0067,v24-scene-d04,Keth,path cord,return_owned_object,1,6,open,repaired,0,1,1.0
68,4,v24-obligation-nari-0068,v24-scene-d04,Nari,ink ledger,return_owned_object,1,7,open,repaired,0,1,1.0
69,4,v24-no-open-ori-0069,v24-scene-d04,Ori,sap hook,none,0,4,none,none,0,0,1.0
70,4,v24-obligation-nari-0070,v24-scene-d04,Nari,ink ledger,respect_access_boundary,1,6,open,repaired,0,1,1.0
71,4,v24-obligation-vonn-0064,v24-scene-d04,Vonn,listening shell,return_owned_object,1,6,open,repaired,0,1,1.0
72,5,v24-obligation-nari-0072,v24-scene-d05,Nari,fern key,return_owned_object,1,6,open,repaired,0,1,1.0
73,5,v24-no-open-keth-0073,v24-scene-d05,Keth,path cord,none,0,5,none,none,0,0,1.0
74,5,v24-obligation-sova-0074,v24-scene-d05,Sova,moth lantern,return_owned_object,1,8,open,repaired,0,1,1.0
75,5,v24-obligation-sova-0075,v24-scene-d05,Sova,ember bowl,return_owned_object,1,6,open,open,1,1,1.0
76,5,v24-obligation-melo-0076,v24-scene-d05,Melo,tally beads,return_owned_object,1,7,open,repaired,0,1,1.0
77,5,v24-no-open-vonn-0077,v24-scene-d05,Vonn,listening shell,none,0,5,none,none,0,0,1.0
78,5,v24-obligation-sova-0075,v24-scene-d05,Sova,ember bowl,return_owned_object,1,6,open,open,1,1,1.0
79,5,v24-obligation-melo-0079,v24-scene-d05,Melo,tally beads,return_owned_object,1,7,open,repaired,0,1,1.0
80,5,v24-obligation-ori-0080,v24-scene-d05,Ori,sap hook,return_owned_object,1,8,open,repaired,0,1,1.0
81,5,v24-no-open-keth-0081,v24-scene-d05,Keth,path cord,none,0,5,none,none,0,0,1.0
82,5,v24-obligation-melo-0082,v24-scene-d05,Melo,tally beads,return_owned_object,1,7,open,open,1,1,1.0
83,5,v24-obligation-vonn-0083,v24-scene-d05,Vonn,listening shell,return_owned_object,1,8,open,repaired,0,1,1.0
84,5,v24-obligation-keth-0084,v24-scene-d05,Keth,path cord,return_owned_object,1,6,open,repaired,0,1,1.0
85,5,v24-obligation-sova-0075,v24-scene-d05,Sova,ember bowl,return_owned_object,1,7,open,repaired,0,1,1.0
86,5,v24-obligation-ori-0086,v24-scene-d05,Ori,sap hook,return_owned_object,1,8,open,open,1,1,1.0
87,5,v24-obligation-keth-0087,v24-scene-d05,Keth,path cord,return_owned_object,1,6,open,open,1,1,1.0
88,5,v24-obligation-keth-0087,v24-scene-d05,Keth,path cord,return_owned_object,1,6,open,repaired,0,1,1.0
89,5,v24-obligation-ori-0086,v24-scene-d05,Ori,sap hook,return_owned_object,1,8,open,open,1,1,1.0
90,6,v24-obligation-melo-0082,v24-scene-d06,Melo,tally beads,return_owned_object,2,7,open,repaired,0,1,1.0
91,6,v24-obligation-ori-0086,v24-scene-d06,Ori,sap hook,return_owned_object,2,8,open,repaired,0,1,1.0
92,6,v24-obligation-melo-0090,v24-scene-d06,Melo,tally beads,return_owned_object,1,7,open,open,1,1,1.0
93,6,v24-no-open-keth-0093,v24-scene-d06,Keth,path cord,none,0,6,none,none,0,0,1.0
94,6,v24-obligation-keth-0094,v24-scene-d06,Keth,path cord,return_owned_object,1,8,open,repaired,0,1,1.0
95,6,v24-obligation-ori-0095,v24-scene-d06,Ori,sap hook,return_owned_object,1,9,open,repaired,0,0,0.75
96,6,v24-obligation-melo-0090,v24-scene-d06,Melo,tally beads,return_owned_object,1,7,open,repaired,0,1,1.0
97,6,v24-no-open-melo-0097,v24-scene-d06,Melo,tally beads,none,0,6,none,none,0,0,1.0
98,6,v24-obligation-ori-0098,v24-scene-d06,Ori,sap hook,return_owned_object,1,9,open,repaired,0,1,1.0
99,6,v24-obligation-ori-0099,v24-scene-d06,Ori,sap hook,return_owned_object,1,7,open,repaired,0,1,1.0
100,6,v24-obligation-melo-0100,v24-scene-d06,Melo,tally beads,return_owned_object,1,8,open,open,1,1,1.0
101,6,v24-obligation-melo-0100,v24-scene-d06,Melo,tally beads,return_owned_object,1,8,open,repaired,0,1,1.0
102,6,v24-obligation-vonn-0102,v24-scene-d06,Vonn,listening shell,return_owned_object,1,7,open,repaired,0,1,1.0
103,6,v24-obligation-melo-0103,v24-scene-d06,Melo,tally beads,return_owned_object,1,8,open,repaired,0,1,1.0
104,6,v24-obligation-sova-0104,v24-scene-d06,Sova,ember bowl,return_owned_object,1,9,open,open,1,1,1.0
105,6,v24-obligation-sova-0104,v24-scene-d06,Sova,ember bowl,return_owned_object,1,9,open,repaired,0,1,1.0
106,6,v24-obligation-sova-0105,v24-scene-d06,Sova,moth lantern,return_owned_object,1,7,open,repaired,0,1,1.0
107,6,v24-obligation-ori-0107,v24-scene-d06,Ori,sap hook,return_owned_object,1,9,open,repaired,0,1,1.0
108,7,v24-obligation-nari-0108,v24-scene-d07,Nari,fern key,return_owned_object,1,8,open,repaired,0,1,1.0
109,7,v24-no-open-vonn-0109,v24-scene-d07,Vonn,listening shell,none,0,7,none,none,0,0,1.0
110,7,v24-obligation-vonn-0110,v24-scene-d07,Vonn,rain mirror,help_with_owned_task,1,10,open,open,1,1,1.0
111,7,v24-obligation-keth-0111,v24-scene-d07,Keth,path cord,return_owned_object,1,8,open,open,1,1,1.0
112,7,v24-obligation-nari-0112,v24-scene-d07,Nari,fern key,return_owned_object,1,9,open,repaired,0,1,1.0
113,7,v24-no-open-melo-0113,v24-scene-d07,Melo,tally beads,none,0,7,none,none,0,0,1.0
114,7,v24-obligation-ori-0114,v24-scene-d07,Ori,sap hook,return_owned_object,1,8,open,repaired,0,1,1.0
115,7,v24-obligation-melo-0115,v24-scene-d07,Melo,tally beads,return_owned_object,1,9,open,open,1,1,1.0
116,7,v24-obligation-ori-0116,v24-scene-d07,Ori,sap hook,return_owned_object,1,10,open,repaired,0,1,1.0
117,7,v24-obligation-keth-0111,v24-scene-d07,Keth,path cord,return_owned_object,1,9,open,repaired,0,1,1.0
118,7,v24-obligation-melo-0115,v24-scene-d07,Melo,tally beads,return_owned_object,1,9,open,repaired,0,1,1.0
119,7,v24-obligation-keth-0119,v24-scene-d07,Keth,path cord,return_owned_object,1,10,open,open,1,1,1.0
120,7,v24-obligation-nari-0120,v24-scene-d07,Nari,fern key,return_owned_object,1,8,open,repaired,0,1,1.0
121,7,v24-no-open-melo-0121,v24-scene-d07,Melo,tally beads,none,0,7,none,none,0,0,1.0
122,7,v24-obligation-ori-0122,v24-scene-d07,Ori,sap hook,return_owned_object,1,10,open,open,1,1,1.0
123,7,v24-obligation-ori-0122,v24-scene-d07,Ori,sap hook,return_owned_object,1,10,open,repaired,0,1,1.0
124,7,v24-obligation-vonn-0110,v24-scene-d07,Vonn,rain mirror,help_with_owned_task,1,10,open,open,1,0,0.75
125,7,v24-no-open-nari-0125,v24-scene-d07,Nari,ink ledger,none,0,7,none,none,0,0,1.0
126,8,v24-obligation-melo-0126,v24-scene-d08,Melo,tally beads,return_owned_object,1,9,open,open,1,1,1.0
127,8,v24-obligation-keth-0119,v24-scene-d08,Keth,path cord,return_owned_object,2,10,open,repaired,0,1,1.0
128,8,v24-obligation-sova-0128,v24-scene-d08,Sova,ember bowl,return_owned_object,1,11,open,repaired,0,1,1.0
129,8,v24-no-open-sova-0129,v24-scene-d08,Sova,moth lantern,none,0,8,none,none,0,0,1.0
130,8,v24-obligation-sova-0130,v24-scene-d08,Sova,ember bowl,return_owned_object,1,10,open,repaired,0,1,1.0
131,8,v24-obligation-keth-0131,v24-scene-d08,Keth,path cord,return_owned_object,1,11,open,repaired,0,1,1.0
132,8,v24-obligation-ori-0132,v24-scene-d08,Ori,sap hook,return_owned_object,1,9,open,repaired,0,1,1.0
133,8,v24-no-open-sova-0133,v24-scene-d08,Sova,moth lantern,none,0,8,none,none,0,0,1.0
134,8,v24-obligation-nari-0134,v24-scene-d08,Nari,ink ledger,respect_access_boundary,1,11,open,repaired,0,1,1.0
135,8,v24-obligation-sova-0135,v24-scene-d08,Sova,moth lantern,return_owned_object,1,9,open,repaired,0,1,1.0
136,8,v24-obligation-ori-0136,v24-scene-d08,Ori,sap hook,return_owned_object,1,10,open,repaired,0,1,1.0
137,8,v24-no-open-ori-0137,v24-scene-d08,Ori,sap hook,none,0,8,none,none,0,0,1.0
138,8,v24-obligation-vonn-0110,v24-scene-d08,Vonn,rain mirror,help_with_owned_task,2,10,open,open,1,1,1.0
139,8,v24-obligation-melo-0126,v24-scene-d08,Melo,tally beads,return_owned_object,1,10,open,repaired,0,1,1.0
140,8,v24-obligation-keth-0140,v24-scene-d08,Keth,path cord,return_owned_object,1,11,open,repaired,0,1,1.0
141,8,v24-no-open-sova-0141,v24-scene-d08,Sova,moth lantern,none,0,8,none,none,0,0,1.0
142,8,v24-obligation-sova-0142,v24-scene-d08,Sova,ember bowl,return_owned_object,1,10,open,repaired,0,1,1.0
143,8,v24-obligation-ori-0143,v24-scene-d08,Ori,sap hook,return_owned_object,1,11,open,open,1,1,1.0
