generation,year,epoch,settlement_id,stratum_name,institution,material_practice,settlement_role,inherited_from_previous,changed_this_generation,continuity_hash
1,30,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,False,False,v37-534563
1,30,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,False,False,v37-469321
1,30,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,False,False,v37-541100
1,30,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,False,True,v37-409769
1,30,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,False,False,v37-379766
1,30,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,False,False,v37-702256
2,60,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,True,False,v37-534745
2,60,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,True,False,v37-469503
2,60,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,True,True,v37-541282
2,60,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,True,False,v37-409951
2,60,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,True,False,v37-379948
2,60,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,True,True,v37-702438
3,90,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,True,False,v37-534927
3,90,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,True,True,v37-469685
3,90,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,True,False,v37-541464
3,90,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,True,False,v37-410133
3,90,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,True,True,v37-380130
3,90,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,True,False,v37-702620
4,120,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,True,True,v37-535109
4,120,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,True,False,v37-469867
4,120,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,True,False,v37-541646
4,120,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,True,True,v37-410315
4,120,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,True,False,v37-380312
