seed,proposal_id,bottleneck_id,resident,question,materials,source_belief_id,resident_generated,avatar_answer,predeclared_tech
36217,36217-PDP-01,36217-BOT-01,Fay,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36217-BEL-004,True,False,False
36217,36217-PDP-02,36217-BOT-02,Milo,try a local workaround for material_shortage,iron_sand+dry_resin,36217-BEL-004,True,False,False
36217,36217-PDP-03,36217-BOT-03,Sera,try a local workaround for safety_limit,reed_fiber+wet_wood,36217-BEL-004,True,False,False
36217,36217-PDP-04,36217-BOT-04,Tovan,try a local workaround for test_time_conflict,reed_fiber+dry_resin,36217-BEL-004,True,False,False
36217,36217-PDP-05,36217-BOT-05,Nia,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36217-BEL-004,True,False,False
36217,36217-PDP-06,36217-BOT-06,Ari,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36217-BEL-004,True,False,False
36217,36217-PDP-07,36217-BOT-07,Fay,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36217-BEL-004,True,False,False
36231,36231-PDP-01,36231-BOT-01,Sera,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36231-BEL-004,True,False,False
36231,36231-PDP-02,36231-BOT-02,Tovan,try a local workaround for material_shortage,iron_sand+dry_resin,36231-BEL-004,True,False,False
36231,36231-PDP-03,36231-BOT-03,Nia,try a local workaround for safety_limit,reed_fiber+wet_wood,36231-BEL-004,True,False,False
36231,36231-PDP-04,36231-BOT-04,Ari,try a local workaround for test_time_conflict,reed_fiber+dry_resin,36231-BEL-004,True,False,False
36231,36231-PDP-05,36231-BOT-05,Fay,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36231-BEL-004,True,False,False
36231,36231-PDP-06,36231-BOT-06,Milo,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36231-BEL-004,True,False,False
36231,36231-PDP-07,36231-BOT-07,Sera,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36231-BEL-004,True,False,False
36247,36247-PDP-01,36247-BOT-01,Fay,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36247-BEL-004,True,False,False
36247,36247-PDP-02,36247-BOT-02,Milo,try a local workaround for material_shortage,iron_sand+dry_resin,36247-BEL-004,True,False,False
36247,36247-PDP-03,36247-BOT-03,Sera,try a local workaround for safety_limit,reed_fiber+wet_wood,36247-BEL-004,True,False,False
36247,36247-PDP-04,36247-BOT-04,Tovan,try a local workaround for test_time_conflict,reed_fiber+dry_resin,36247-BEL-004,True,False,False
36247,36247-PDP-05,36247-BOT-05,Nia,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36247-BEL-004,True,False,False
36247,36247-PDP-06,36247-BOT-06,Ari,try a local workaround for safety_limit,reed_fiber+wet_wood,36247-BEL-004,True,False,False
36247,36247-PDP-07,36247-BOT-07,Fay,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36247-BEL-004,True,False,False
36263,36263-PDP-01,36263-BOT-01,Nia,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36263-BEL-004,True,False,False
36263,36263-PDP-02,36263-BOT-02,Ari,try a local workaround for material_shortage,iron_sand+dry_resin,36263-BEL-004,True,False,False
36263,36263-PDP-03,36263-BOT-03,Fay,try a local workaround for safety_limit,reed_fiber+wet_wood,36263-BEL-004,True,False,False
36263,36263-PDP-04,36263-BOT-04,Milo,try a local workaround for test_time_conflict,reed_fiber+dry_resin,36263-BEL-004,True,False,False
36263,36263-PDP-05,36263-BOT-05,Sera,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36263-BEL-004,True,False,False
36263,36263-PDP-06,36263-BOT-06,Tovan,try a local workaround for schedule_conflict,reed_fiber+dry_resin,36263-BEL-004,True,False,False
