seed,from_id,to_id,relation,event_id,hidden_law_exposed
36217,36217-BEL-004,36217-EPG-001,failed_into_safety_rule,36217-PDT-03,False
36217,36217-BEL-004,36217-EPG-002,repeated_use_into_practice,36217-PDT-05,False
36217,36217-BEL-004,36217-EPG-002,repeated_use_into_practice,36217-PDT-06,False
36217,36217-BEL-004,36217-EPG-002,repeated_use_into_practice,36217-PDT-07,False
36231,36231-BEL-004,36231-EPG-003,failed_into_safety_rule,36231-PDT-03,False
36231,36231-BEL-004,36231-EPG-004,repeated_use_into_practice,36231-PDT-05,False
36231,36231-BEL-004,36231-EPG-004,repeated_use_into_practice,36231-PDT-06,False
36231,36231-BEL-004,36231-EPG-004,repeated_use_into_practice,36231-PDT-07,False
36247,36247-BEL-004,36247-EPG-005,failed_into_safety_rule,36247-PDT-03,False
36247,36247-BEL-004,36247-EPG-006,repeated_use_into_practice,36247-PDT-05,False
36247,36247-BEL-004,36247-EPG-005,repeated_use_into_practice,36247-PDT-06,False
36247,36247-BEL-004,36247-EPG-006,repeated_use_into_practice,36247-PDT-07,False
36263,36263-BEL-004,36263-EPG-007,failed_into_safety_rule,36263-PDT-03,False
36263,36263-BEL-004,36263-EPG-008,repeated_use_into_practice,36263-PDT-05,False
36263,36263-BEL-004,36263-EPG-008,repeated_use_into_practice,36263-PDT-06,False
36263,36263-BEL-004,36263-EPG-008,repeated_use_into_practice,36263-PDT-07,False
36281,36281-BEL-004,36281-EPG-009,failed_into_safety_rule,36281-PDT-03,False
36281,36281-BEL-004,36281-EPG-010,repeated_use_into_practice,36281-PDT-05,False
36281,36281-BEL-004,36281-EPG-010,repeated_use_into_practice,36281-PDT-06,False
36281,36281-BEL-004,36281-EPG-010,repeated_use_into_practice,36281-PDT-07,False
36307,36307-BEL-004,36307-EPG-011,failed_into_safety_rule,36307-PDT-03,False
36307,36307-BEL-004,36307-EPG-012,repeated_use_into_practice,36307-PDT-05,False
36307,36307-BEL-004,36307-EPG-012,repeated_use_into_practice,36307-PDT-06,False
36307,36307-BEL-004,36307-EPG-012,repeated_use_into_practice,36307-PDT-07,False
36319,36319-BEL-004,36319-EPG-013,failed_into_safety_rule,36319-PDT-03,False
36319,36319-BEL-004,36319-EPG-014,repeated_use_into_practice,36319-PDT-05,False
36319,36319-BEL-004,36319-EPG-014,repeated_use_into_practice,36319-PDT-06,False
36319,36319-BEL-004,36319-EPG-014,repeated_use_into_practice,36319-PDT-07,False
36343,36343-BEL-004,36343-EPG-015,failed_into_safety_rule,36343-PDT-03,False
36343,36343-BEL-004,36343-EPG-016,repeated_use_into_practice,36343-PDT-05,False
36343,36343-BEL-004,36343-EPG-016,repeated_use_into_practice,36343-PDT-06,False
36343,36343-BEL-004,36343-EPG-016,repeated_use_into_practice,36343-PDT-07,False
