tick_id,day,region_id,replay_event,state_hash,includes_supply_chain,includes_season,includes_guild,includes_apprenticeship,includes_collapse_recovery,includes_migration,replay_exportable
0,1,riverbend,spring_rain:riverbend->archive_quarter:thread:stable,v28-504920,True,True,True,True,False,True,True
1,1,roofward,spring_rain:roofward->signal_ridge:herbs:stable,v28-446611,True,True,True,True,False,True,True
2,1,archive_quarter,spring_rain:archive_quarter->orchard_fen:paper:stable,v28-515641,True,True,True,True,False,True,True
3,1,signal_ridge,spring_rain:signal_ridge->riverbend:oil:stable,v28-435336,True,True,True,True,False,True,True
4,1,orchard_fen,spring_rain:orchard_fen->roofward:seeds:stable,v28-435780,True,True,True,True,False,True,True
5,1,riverbend,spring_rain:riverbend->archive_quarter:planks:stable,v28-507393,True,True,True,True,False,True,True
6,1,roofward,spring_rain:roofward->signal_ridge:wire:stable,v28-437192,True,True,True,True,False,True,True
7,1,archive_quarter,spring_rain:archive_quarter->orchard_fen:paper:stable,v28-516426,True,True,True,True,False,True,True
8,1,signal_ridge,spring_rain:signal_ridge->riverbend:oil:stable,v28-435894,True,True,True,True,False,True,True
9,1,orchard_fen,spring_rain:orchard_fen->roofward:water:stable,v28-437875,True,True,True,True,False,True,True
10,1,riverbend,spring_rain:riverbend->archive_quarter:planks:stable,v28-515504,True,True,True,True,False,True,True
11,1,roofward,spring_rain:roofward->signal_ridge:herbs:stable,v28-454744,True,True,True,True,False,True,True
12,1,archive_quarter,spring_rain:archive_quarter->orchard_fen:planks:stable,v28-537264,True,True,True,True,False,True,True
13,1,signal_ridge,spring_rain:signal_ridge->riverbend:oil:stable,v28-443357,True,True,True,True,False,True,True
14,1,orchard_fen,spring_rain:orchard_fen->roofward:seeds:stable,v28-444001,True,True,True,True,False,True,True
15,1,riverbend,spring_rain:riverbend->archive_quarter:thread:stable,v28-514378,True,True,True,True,False,True,True
16,2,roofward,spring_rain:roofward->archive_quarter:thread:stable,v28-503274,True,True,True,True,False,True,True
17,2,archive_quarter,spring_rain:archive_quarter->signal_ridge:paper:stable,v28-536988,True,True,True,True,False,True,True
18,2,signal_ridge,spring_rain:signal_ridge->orchard_fen:oil:stable,v28-464098,True,True,True,True,False,True,True
19,2,orchard_fen,spring_rain:orchard_fen->riverbend:oil:stable,v28-432338,True,True,True,True,False,True,True
20,2,riverbend,spring_rain:riverbend->roofward:planks:stable,v28-435875,True,True,True,True,False,True,True
21,2,roofward,spring_rain:roofward->archive_quarter:herbs:stable,v28-492372,True,True,True,True,False,True,True
22,2,archive_quarter,spring_rain:archive_quarter->signal_ridge:wire:stable,v28-526191,True,True,True,True,False,True,True
23,2,signal_ridge,spring_rain:signal_ridge->orchard_fen:oil:stable,v28-464183,True,True,True,True,False,True,True
24,2,orchard_fen,spring_rain:orchard_fen->riverbend:seeds:stable,v28-454582,True,True,True,True,False,True,True
25,2,riverbend,spring_rain:riverbend->roofward:water:stable,v28-425082,True,True,True,True,False,True,True
26,2,roofward,spring_rain:roofward->archive_quarter:herbs:stable,v28-492233,True,True,True,True,False,True,True
27,2,archive_quarter,spring_rain:archive_quarter->signal_ridge:paper:stable,v28-537146,True,True,True,True,False,True,True
28,2,signal_ridge,spring_rain:signal_ridge->orchard_fen:planks:stable,v28-499347,True,True,True,True,False,True,True
29,2,orchard_fen,spring_rain:orchard_fen->riverbend:seeds:stable,v28-454455,True,True,True,True,False,True,True
30,2,riverbend,spring_rain:riverbend->roofward:planks:stable,v28-435832,True,True,True,True,False,True,True
31,2,roofward,spring_rain:roofward->archive_quarter:thread:stable,v28-503523,True,True,True,True,False,True,True
32,3,archive_quarter,spring_rain:archive_quarter->orchard_fen:planks:stable,v28-537265,True,True,True,True,False,True,True
33,3,signal_ridge,spring_rain:signal_ridge->riverbend:oil:stable,v28-443560,True,True,True,True,False,True,True
34,3,orchard_fen,spring_rain:orchard_fen->roofward:seeds:stable,v28-444010,True,True,True,True,False,True,True
35,3,riverbend,spring_rain:riverbend->archive_quarter:thread:stable,v28-514587,True,True,True,True,False,True,True
36,3,roofward,spring_rain:roofward->signal_ridge:herbs:stable,v28-455517,True,True,True,True,False,True,True
37,3,archive_quarter,spring_rain:archive_quarter->orchard_fen:paper:stable,v28-525405,True,True,True,True,False,True,True
38,3,signal_ridge,spring_rain:signal_ridge->riverbend:oil:stable,v28-444126,True,True,True,True,False,True,True
39,3,orchard_fen,spring_rain:orchard_fen->roofward:seeds:stable,v28-444770,True,True,True,True,False,True,True
40,3,riverbend,spring_rain:riverbend->archive_quarter:planks:stable,v28-515663,True,True,True,True,False,True,True
41,3,roofward,spring_rain:roofward->signal_ridge:wire:stable,v28-444834,True,True,True,True,False,True,True
42,3,archive_quarter,spring_rain:archive_quarter->orchard_fen:paper:stable,v28-524767,True,True,True,True,False,True,True
43,3,signal_ridge,spring_rain:signal_ridge->riverbend:oil:stable,v28-443516,True,True,True,True,False,True,True
44,3,orchard_fen,spring_rain:orchard_fen->roofward:water:stable,v28-445520,True,True,True,True,False,True,True
45,3,riverbend,spring_rain:riverbend->archive_quarter:planks:stable,v28-516247,True,True,True,True,False,True,True
46,3,roofward,spring_rain:roofward->signal_ridge:herbs:stable,v28-455668,True,True,True,True,False,True,True
47,3,archive_quarter,spring_rain:archive_quarter->orchard_fen:planks:stable,v28-538013,True,True,True,True,False,True,True
48,4,signal_ridge,spring_rain:signal_ridge->orchard_fen:planks:stable,v28-499555,True,True,True,True,False,True,True
49,4,orchard_fen,spring_rain:orchard_fen->riverbend:seeds:stable,v28-454463,True,True,True,True,False,True,True
50,4,riverbend,spring_rain:riverbend->roofward:planks:stable,v28-436034,True,True,True,True,False,True,True
51,4,roofward,spring_rain:roofward->archive_quarter:thread:stable,v28-503527,True,True,True,True,False,True,True
52,4,archive_quarter,spring_rain:archive_quarter->signal_ridge:paper:stable,v28-537460,True,True,True,True,False,True,True
53,4,signal_ridge,spring_rain:signal_ridge->orchard_fen:oil:stable,v28-464342,True,True,True,True,False,True,True
54,4,orchard_fen,spring_rain:orchard_fen->riverbend:oil:stable,v28-432765,True,True,True,True,False,True,True
55,4,riverbend,spring_rain:riverbend->roofward:planks:stable,v28-435915,True,True,True,True,False,True,True
56,4,roofward,spring_rain:roofward->archive_quarter:herbs:stable,v28-492392,True,True,True,True,False,True,True
