tick_id,day,route_id,export_hash,import_hash,exported_bytes,import_attempted,import_accepted,roundtrip_ok,rejected_reason,visible_import_notice
0,1,riverbend_roofward,v31-490129,v31-448785,69,True,False,True,schema mismatch,rejected: schema mismatch
1,1,roofward_archive,v31-483940,v31-435276,68,True,True,v31-483940,none,import accepted
2,1,archive_signal,v31-439063,v31-391702,65,False,False,True,none,export ready
3,1,signal_orchard,v31-427264,v31-380781,64,False,False,True,none,export ready
4,1,orchard_riverbend,v31-464893,v31-417792,67,False,False,True,none,export ready
5,1,central_repair_ring,v31-589765,v31-546118,77,False,False,True,none,export ready
6,1,riverbend_roofward,v31-517757,v31-448785,69,False,False,True,none,export ready
7,1,roofward_archive,v31-576939,v31-503095,74,True,True,v31-576939,none,import accepted
8,1,archive_signal,v31-536767,v31-466213,71,False,False,True,none,export ready
9,1,signal_orchard,v31-447842,v31-381122,64,True,True,v31-447842,none,import accepted
10,1,orchard_riverbend,v31-487762,v31-417792,67,False,False,True,none,export ready
11,1,central_repair_ring,v31-620715,v31-546118,77,False,False,True,none,export ready
12,1,riverbend_roofward,v31-649236,v31-574951,79,False,False,True,none,export ready
13,1,roofward_archive,v31-573996,v31-503202,74,False,False,True,none,export ready
14,1,archive_signal,v31-536490,v31-466568,71,True,True,v31-536490,none,import accepted
15,2,signal_orchard,v31-566387,v31-494754,73,False,False,True,none,export ready
16,2,orchard_riverbend,v31-487490,v31-418142,67,True,True,v31-487490,none,import accepted
17,2,central_repair_ring,v31-618900,v31-546118,77,False,False,True,none,export ready
18,2,riverbend_roofward,v31-650075,v31-574951,79,False,False,True,none,export ready
19,2,roofward_archive,v31-575767,v31-503202,74,False,False,True,none,export ready
20,2,archive_signal,v31-459581,v31-392255,65,False,False,True,none,export ready
21,2,signal_orchard,v31-566918,v31-494754,73,False,False,True,none,export ready
22,2,orchard_riverbend,v31-479474,v31-418142,67,False,False,True,none,export ready
23,2,central_repair_ring,v31-590264,v31-518535,75,False,False,True,none,export ready
24,2,riverbend_roofward,v31-649790,v31-575326,79,True,True,v31-649790,none,import accepted
25,2,roofward_archive,v31-576579,v31-503202,74,False,False,True,none,export ready
26,2,archive_signal,v31-458797,v31-392360,65,False,False,True,none,export ready
27,2,signal_orchard,v31-566768,v31-494859,73,False,False,True,none,export ready
28,2,orchard_riverbend,v31-486277,v31-418142,67,False,False,True,none,export ready
29,2,central_repair_ring,v31-590543,v31-518903,75,True,True,v31-590543,none,import accepted
30,3,riverbend_roofward,v31-648444,v31-575435,79,False,False,True,none,export ready
31,3,roofward_archive,v31-575209,v31-503202,74,True,False,True,stale branch revision,rejected: stale branch revision
32,3,archive_signal,v31-459428,v31-392360,65,False,False,True,none,export ready
33,3,signal_orchard,v31-566582,v31-494964,73,False,False,True,none,export ready
34,3,orchard_riverbend,v31-487172,v31-418250,67,False,False,True,none,export ready
35,3,central_repair_ring,v31-590514,v31-518903,75,False,False,True,none,export ready
36,3,riverbend_roofward,v31-642697,v31-575435,79,False,False,True,none,export ready
37,3,roofward_archive,v31-575742,v31-503202,74,False,False,True,none,export ready
38,3,archive_signal,v31-461075,v31-392360,65,False,False,True,none,export ready
39,3,signal_orchard,v31-559435,v31-495428,73,True,True,v31-559435,none,import accepted
40,3,orchard_riverbend,v31-487040,v31-418250,67,False,False,True,none,export ready
41,3,central_repair_ring,v31-594059,v31-518903,75,False,False,True,none,export ready
42,3,riverbend_roofward,v31-651235,v31-575919,79,True,True,v31-651235,none,import accepted
43,3,roofward_archive,v31-575336,v31-503202,74,False,False,True,none,export ready
44,3,archive_signal,v31-459554,v31-392703,65,True,True,v31-459554,none,import accepted
45,4,signal_orchard,v31-565528,v31-495533,73,False,False,True,none,export ready
46,4,orchard_riverbend,v31-608691,v31-535165,76,True,True,v31-608691,none,import accepted
47,4,central_repair_ring,v31-592417,v31-518903,75,False,False,True,none,export ready
48,4,riverbend_roofward,v31-649081,v31-575919,79,False,False,True,none,export ready
49,4,roofward_archive,v31-547317,v31-503672,74,True,True,v31-547317,none,import accepted
50,4,archive_signal,v31-461164,v31-392703,65,False,False,True,none,export ready
51,4,signal_orchard,v31-567155,v31-495533,73,False,False,True,none,export ready
52,4,orchard_riverbend,v31-608210,v31-535273,76,False,False,True,none,export ready
53,4,central_repair_ring,v31-592504,v31-519013,75,False,False,True,none,export ready
54,4,riverbend_roofward,v31-649920,v31-576294,79,True,True,v31-649920,none,import accepted
55,4,roofward_archive,v31-547551,v31-503672,74,False,False,True,none,export ready
56,4,archive_signal,v31-461021,v31-392703,65,False,False,True,none,export ready
57,4,signal_orchard,v31-566735,v31-495533,73,False,False,True,none,export ready
58,4,orchard_riverbend,v31-608865,v31-535381,76,False,False,True,none,export ready
59,4,central_repair_ring,v31-590996,v31-519381,75,True,True,v31-590996,none,import accepted
60,5,roofward_archive,v31-478434,v31-436406,68,False,False,True,none,export ready
61,5,archive_signal,v31-461160,v31-393046,65,True,True,v31-461160,none,import accepted
62,5,signal_orchard,v31-552013,v31-495533,73,False,False,True,none,export ready
63,5,orchard_riverbend,v31-608992,v31-535381,76,False,False,True,none,export ready
64,5,central_repair_ring,v31-621768,v31-547192,77,False,False,True,none,export ready
65,5,riverbend_roofward,v31-650859,v31-576294,79,False,False,True,none,export ready
66,5,roofward_archive,v31-478434,v31-436406,68,False,False,True,none,export ready
67,5,archive_signal,v31-454923,v31-393046,65,False,False,True,none,export ready
68,5,signal_orchard,v31-539060,v31-495638,73,False,False,True,none,export ready
69,5,orchard_riverbend,v31-609544,v31-535749,76,True,True,v31-609544,none,import accepted
70,5,central_repair_ring,v31-620920,v31-519969,75,True,True,v31-620920,none,import accepted
71,5,riverbend_roofward,v31-621282,v31-576294,79,False,False,True,none,export ready
72,5,roofward_archive,v31-512564,v31-442326,69,False,False,True,none,export ready
73,5,archive_signal,v31-460863,v31-393046,65,False,False,True,none,export ready
74,5,signal_orchard,v31-567250,v31-502429,74,True,True,v31-567250,none,import accepted
75,6,orchard_riverbend,v31-587391,v31-542393,77,False,False,True,none,export ready
76,6,central_repair_ring,v31-564177,v31-520337,75,True,True,v31-564177,none,import accepted
77,6,riverbend_roofward,v31-649438,v31-576294,79,False,False,True,none,export ready
78,6,roofward_archive,v31-512564,v31-442326,69,False,False,True,none,export ready
79,6,archive_signal,v31-538648,v31-467593,71,False,False,True,none,export ready
80,6,signal_orchard,v31-546050,v31-502429,74,False,False,True,none,export ready
81,6,orchard_riverbend,v31-587391,v31-542393,77,False,False,True,none,export ready
82,6,central_repair_ring,v31-564415,v31-520337,75,False,False,True,none,export ready
