tick_id,day,settlement_id,snapshot_key,reload_index,inventory_count,routine_count,handoff_count,consent_sequence_count,inventory_memory_count,checksum,restored_routines_visible,restored_handoffs_visible,restored_consent_visible,restored_inventory_trust_visible,replay_exportable
0,1,repair_ring,ssrm.v45.snapshot.repair_ring.1.0,1,4,3,1,1,1,v45-874896,True,True,True,True,True
17,1,orchard,ssrm.v45.snapshot.orchard.1.17,1,4,3,2,2,2,v45-708622,True,True,True,True,True
18,2,riverbend,ssrm.v45.snapshot.riverbend.2.0,1,4,3,3,3,3,v45-784119,True,True,True,True,True
35,2,repair_ring,ssrm.v45.snapshot.repair_ring.2.17,2,4,3,6,5,4,v45-906857,True,True,True,True,True
36,3,roofward,ssrm.v45.snapshot.roofward.3.0,1,4,3,3,3,5,v45-743726,True,True,True,True,True
37,3,archive,ssrm.v45.snapshot.archive.3.1,1,4,3,7,4,6,v45-689136,True,True,True,True,True
53,3,riverbend,ssrm.v45.snapshot.riverbend.3.17,2,4,3,6,6,6,v45-814591,True,True,True,True,True
54,4,archive,ssrm.v45.snapshot.archive.4.0,2,4,3,10,5,8,v45-710088,True,True,True,True,True
71,4,roofward,ssrm.v45.snapshot.roofward.4.17,2,4,3,7,7,9,v45-775489,True,True,True,True,True
72,5,signal,ssrm.v45.snapshot.signal.5.0,1,4,3,7,7,9,v45-647603,True,True,True,True,True
74,5,repair_ring,ssrm.v45.snapshot.repair_ring.5.2,3,4,3,13,10,9,v45-927596,True,True,True,True,True
89,5,archive,ssrm.v45.snapshot.archive.5.17,3,4,3,15,8,11,v45-759237,True,True,True,True,True
90,6,orchard,ssrm.v45.snapshot.orchard.6.0,2,4,3,12,12,13,v45-753354,True,True,True,True,True
107,6,signal,ssrm.v45.snapshot.signal.6.17,2,4,3,11,11,13,v45-732746,True,True,True,True,True
108,7,repair_ring,ssrm.v45.snapshot.repair_ring.7.0,4,4,3,19,15,13,v45-952878,True,True,True,True,True
111,7,archive,ssrm.v45.snapshot.archive.7.3,4,4,3,19,12,14,v45-759243,True,True,True,True,True
125,7,orchard,ssrm.v45.snapshot.orchard.7.17,3,4,3,15,15,16,v45-783856,True,True,True,True,True
126,8,riverbend,ssrm.v45.snapshot.riverbend.8.0,3,4,3,13,12,15,v45-855447,True,True,True,True,True
143,8,repair_ring,ssrm.v45.snapshot.repair_ring.8.17,5,4,3,24,17,17,v45-980484,True,True,True,True,True
144,9,roofward,ssrm.v45.snapshot.roofward.9.0,3,4,3,17,17,20,v45-816232,True,True,True,True,True
148,9,repair_ring,ssrm.v45.snapshot.repair_ring.9.4,6,4,3,25,18,18,v45-958765,True,True,True,True,True
161,9,riverbend,ssrm.v45.snapshot.riverbend.9.17,4,4,3,17,15,19,v45-886997,True,True,True,True,True
162,10,archive,ssrm.v45.snapshot.archive.10.0,5,4,3,28,18,20,v45-779037,True,True,True,True,True
179,10,roofward,ssrm.v45.snapshot.roofward.10.17,4,4,3,20,19,23,v45-860395,True,True,True,True,True
180,11,signal,ssrm.v45.snapshot.signal.11.0,3,4,3,21,21,24,v45-729682,True,True,True,True,True
185,11,archive,ssrm.v45.snapshot.archive.11.5,6,4,3,31,20,23,v45-777647,True,True,True,True,True
197,11,archive,ssrm.v45.snapshot.archive.11.17,7,4,3,33,21,24,v45-803280,True,True,True,True,True
198,12,orchard,ssrm.v45.snapshot.orchard.12.0,4,4,3,22,21,25,v45-776712,True,True,True,True,True
215,12,signal,ssrm.v45.snapshot.signal.12.17,4,4,3,24,23,27,v45-759734,True,True,True,True,True
216,13,repair_ring,ssrm.v45.snapshot.repair_ring.13.0,7,4,3,37,24,28,v45-977829,True,True,True,True,True
222,13,repair_ring,ssrm.v45.snapshot.repair_ring.13.6,8,4,3,38,25,29,v45-982345,True,True,True,True,True
233,13,orchard,ssrm.v45.snapshot.orchard.13.17,5,4,3,26,24,29,v45-808195,True,True,True,True,True
234,14,riverbend,ssrm.v45.snapshot.riverbend.14.0,5,4,3,27,25,30,v45-879792,True,True,True,True,True
251,14,repair_ring,ssrm.v45.snapshot.repair_ring.14.17,9,4,3,42,28,31,v45-002258,True,True,True,True,True
252,15,roofward,ssrm.v45.snapshot.roofward.15.0,5,4,3,27,26,32,v45-839653,True,True,True,True,True
259,15,archive,ssrm.v45.snapshot.archive.15.7,8,4,3,44,27,33,v45-786628,True,True,True,True,True
269,15,riverbend,ssrm.v45.snapshot.riverbend.15.17,6,4,3,30,28,33,v45-906429,True,True,True,True,True
270,16,archive,ssrm.v45.snapshot.archive.16.0,9,4,3,46,27,35,v45-786215,True,True,True,True,True
287,16,roofward,ssrm.v45.snapshot.roofward.16.17,6,4,3,31,30,36,v45-863504,True,True,True,True,True
288,17,signal,ssrm.v45.snapshot.signal.17.0,5,4,3,31,30,36,v45-735037,True,True,True,True,True
296,17,repair_ring,ssrm.v45.snapshot.repair_ring.17.8,10,4,3,50,34,37,v45-000914,True,True,True,True,True
305,17,archive,ssrm.v45.snapshot.archive.17.17,10,4,3,51,30,38,v45-827616,True,True,True,True,True
306,18,orchard,ssrm.v45.snapshot.orchard.18.0,6,4,3,36,34,40,v45-782954,True,True,True,True,True
323,18,signal,ssrm.v45.snapshot.signal.18.17,6,4,3,35,34,40,v45-762802,True,True,True,True,True
324,19,repair_ring,ssrm.v45.snapshot.repair_ring.19.0,11,4,3,55,38,40,v45-000008,True,True,True,True,True
333,19,archive,ssrm.v45.snapshot.archive.19.9,11,4,3,56,34,42,v45-809091,True,True,True,True,True
341,19,orchard,ssrm.v45.snapshot.orchard.19.17,7,4,3,39,37,43,v45-813537,True,True,True,True,True
342,20,riverbend,ssrm.v45.snapshot.riverbend.20.0,7,4,3,37,34,42,v45-881177,True,True,True,True,True
359,20,repair_ring,ssrm.v45.snapshot.repair_ring.20.17,12,4,3,60,40,44,v45-019572,True,True,True,True,True
360,21,roofward,ssrm.v45.snapshot.roofward.21.0,7,4,3,41,40,46,v45-837876,True,True,True,True,True
370,21,repair_ring,ssrm.v45.snapshot.repair_ring.21.10,13,4,3,62,42,46,v45-020076,True,True,True,True,True
377,21,riverbend,ssrm.v45.snapshot.riverbend.21.17,8,4,3,41,37,46,v45-908732,True,True,True,True,True
378,22,archive,ssrm.v45.snapshot.archive.22.0,12,4,3,64,40,47,v45-803345,True,True,True,True,True
395,22,roofward,ssrm.v45.snapshot.roofward.22.17,8,4,3,44,42,46,v45-866697,True,True,True,True,True
396,23,signal,ssrm.v45.snapshot.signal.23.0,7,4,3,45,44,51,v45-737738,True,True,True,True,True
407,23,archive,ssrm.v45.snapshot.archive.23.11,13,4,3,68,43,50,v45-827641,True,True,True,True,True
413,23,archive,ssrm.v45.snapshot.archive.23.17,14,4,3,69,43,51,v45-831676,True,True,True,True,True
414,24,orchard,ssrm.v45.snapshot.orchard.24.0,8,4,3,46,43,52,v45-784333,True,True,True,True,True
431,24,signal,ssrm.v45.snapshot.signal.24.17,8,4,3,48,46,54,v45-767805,True,True,True,True,True
432,25,repair_ring,ssrm.v45.snapshot.repair_ring.25.0,14,4,3,73,47,48,v45-003707,True,True,True,True,True
