tick_id,day,settlement_id,resident_id,partner_id,requested_rest_minutes,workload_before,workload_after,fatigue_before,fatigue_after,autonomy_respected,refusal_or_delay,visible_rest_marker,recovery_path_open,schedule_tradeoff_recorded
0,1,cinder_garden,Juno,Pax,20,0.444,0.426,0.2016,0.1716,True,delayed with named relief time,True,True,True
3,1,moss_ward,Tala,Ari,35,0.444,0.42,0.21456,0.17856,True,short pause negotiated,True,True,True
6,1,lichen_bridge,Rin,Sol,50,0.444,0.42,0.21024,0.17424,True,short pause negotiated,True,True,True
9,1,glass_harbor,Oren,Puck,25,0.444,0.42,0.20592,0.16992,True,short pause negotiated,True,True,True
12,1,orchid_engine,Bea,Cai,40,0.444,0.42,0.1316,0.0956,True,short pause negotiated,True,True,True
15,1,cinder_garden,Wren,Juno,15,0.444,0.42,0.21456,0.17856,True,short pause negotiated,True,True,True
18,2,glass_harbor,Nia,Oren,25,0.448,0.424,0.1832,0.1472,True,short pause negotiated,True,True,True
21,2,orchid_engine,Eli,Bea,40,0.448,0.424,0.24912,0.21312,True,short pause negotiated,True,True,True
24,2,cinder_garden,Vale,Wren,15,0.448,0.43,0.24048,0.21048,True,delayed with named relief time,True,True,True
27,2,moss_ward,Fay,Milo,30,0.448,0.424,0.23184,0.19584,True,short pause negotiated,True,True,True
30,2,lichen_bridge,Kio,Luma,45,0.448,0.424,0.1532,0.1172,True,short pause negotiated,True,True,True
33,2,glass_harbor,Sera,Nia,20,0.444,0.42,0.21456,0.17856,True,short pause negotiated,True,True,True
36,3,moss_ward,Ari,Fay,30,0.452,0.428,0.1748,0.1388,True,short pause negotiated,True,True,True
39,3,lichen_bridge,Sol,Kio,45,0.452,0.428,0.28368,0.24768,True,short pause negotiated,True,True,True
42,3,glass_harbor,Puck,Sera,20,0.452,0.428,0.27072,0.23472,True,short pause negotiated,True,True,True
45,3,orchid_engine,Cai,Dax,35,0.452,0.428,0.25776,0.22176,True,short pause negotiated,True,True,True
48,3,cinder_garden,Juno,Pax,50,0.434,0.416,0.2148,0.1848,True,delayed with named relief time,True,True,True
51,3,moss_ward,Tala,Ari,25,0.424,0.4,0.21312,0.17712,True,short pause negotiated,True,True,True
54,4,orchid_engine,Bea,Cai,35,0.432,0.408,0.1604,0.1244,True,short pause negotiated,True,True,True
57,4,cinder_garden,Wren,Juno,50,0.432,0.408,0.28224,0.24624,True,short pause negotiated,True,True,True
60,4,moss_ward,Milo,Tala,25,0.452,0.428,0.20072,0.16472,True,short pause negotiated,True,True,True
63,4,lichen_bridge,Luma,Rin,40,0.456,0.432,0.28368,0.24768,True,short pause negotiated,True,True,True
66,4,glass_harbor,Nia,Oren,15,0.432,0.408,0.1904,0.1544,True,short pause negotiated,True,True,True
69,4,orchid_engine,Eli,Bea,30,0.428,0.404,0.24768,0.21168,True,short pause negotiated,True,True,True
72,5,lichen_bridge,Kio,Luma,40,0.436,0.418,0.182,0.152,True,delayed with named relief time,True,True,True
75,5,glass_harbor,Sera,Nia,15,0.432,0.408,0.28224,0.24624,True,short pause negotiated,True,True,True
78,5,orchid_engine,Dax,Eli,30,0.456,0.432,0.23096,0.19496,True,short pause negotiated,True,True,True
81,5,cinder_garden,Pax,Vale,45,0.46,0.436,0.3096,0.2736,True,short pause negotiated,True,True,True
84,5,moss_ward,Ari,Fay,20,0.436,0.412,0.182,0.146,True,short pause negotiated,True,True,True
87,5,lichen_bridge,Sol,Kio,35,0.432,0.408,0.28224,0.24624,True,short pause negotiated,True,True,True
90,6,cinder_garden,Juno,Pax,45,0.428,0.404,0.2496,0.2136,True,short pause negotiated,True,True,True
93,6,moss_ward,Tala,Ari,20,0.412,0.388,0.2808,0.2448,True,short pause negotiated,True,True,True
96,6,lichen_bridge,Rin,Sol,35,0.436,0.418,0.2252,0.1952,True,delayed with named relief time,True,True,True
99,6,glass_harbor,Oren,Puck,50,0.44,0.416,0.29952,0.26352,True,short pause negotiated,True,True,True
102,6,orchid_engine,Bea,Cai,25,0.416,0.392,0.0976,0.0616,True,short pause negotiated,True,True,True
