metric,value
practice_node_emerges_from_repetition,1.0
no_predefined_tech_unlock,1.0
failed_tests_can_become_safety_rules,1.0
wrong_belief_can_stabilize_practice,1.0
practice_social_mutation,1.0
adoption_without_modern_name,1.0
material_constraint_binding,1.0
stochastic_history_can_seed_practice,1.0
avatar_not_direct_source_of_correct_concept,1.0
hidden_law_resident_belief_split,1.0
multi_seed_practice_divergence,1.0
practice_can_die_or_become_taboo,1.0
village_board_diegetic_management,1.0
reality_constraint_ledger_integrity,1.0
audit_trace_integrity,1.0
shell_practice_graph_wired,1.0
shell_village_board_wired,1.0
shell_reality_ledger_wired,1.0
browser_surface_wired,1.0
browser_smoke_visible,1.0
seed_count,8
lived_action_count,56
test_count,56
practice_node_count,16
practice_status_count,5
village_concern_count,16
project_proposal_count,16
reality_ledger_count,56
criterion_count,25
readiness,1.0
weakest_channel_score,1.0
