tick_id,day,settlement_id,resident_id,object_id,owner_id,object_use,action,permission_state,location_before,location_after,carried_after,relationship_before,relationship_after,queue_before,queue_after,consequence_label,consequence_visible,bounded_consequence,rollback_available
0,1,orchard,Mara,market token,Mara,trade,turn_right,observed,satchel shed,satchel shed,False,0.58,0.581,0.38,0.379,ambient ownership awareness,True,True,True
3,1,roofward,Fay,sun lens,Fay,craft,turn_right,observed,glass stair,glass stair,False,0.64,0.641,0.38,0.379,ambient ownership awareness,True,True,True
5,1,signal,Milo,signal lens,Milo,craft,drop_object,returning,lantern walk,lantern walk,False,0.58,0.582,0.38,0.38,empty-hand drop gesture,True,True,True
6,1,orchard,Mara,apple wrap,shared,care,request_permission,granted,mud row,mud row,False,0.581,0.591,0.379,0.375,permission negotiated,True,True,True
8,1,riverbend,Lio,ridge lantern,Lio,signal,drop_object,returning,wet crossing,wet crossing,False,0.64,0.642,0.38,0.38,empty-hand drop gesture,True,True,True
9,1,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.641,0.651,0.379,0.375,permission negotiated,True,True,True
12,1,orchard,Mara,market token,Mara,trade,move_forward,observed,satchel shed,satchel shed,False,0.591,0.592,0.375,0.374,ambient ownership awareness,True,True,True
15,1,roofward,Fay,sun lens,Fay,craft,move_forward,observed,glass stair,glass stair,False,0.651,0.652,0.375,0.374,ambient ownership awareness,True,True,True
18,2,repair_ring,Juno,bell gauge,Juno,diagnostic,approach_resident,observed,wire bench,wire bench,False,0.596,0.596,0.376,0.382,attention cost,True,True,True
21,2,archive,Toma,ink ribbon,Toma,craft,approach_resident,observed,spool room,spool room,False,0.596,0.596,0.376,0.382,attention cost,True,True,True
22,2,signal,Milo,signal lens,Milo,craft,drop_object,returning,lantern walk,lantern walk,False,0.6,0.602,0.376,0.376,empty-hand drop gesture,True,True,True
23,2,orchard,Mara,apple wrap,shared,care,request_permission,granted,mud row,mud row,False,0.592,0.602,0.374,0.37,permission negotiated,True,True,True
24,2,repair_ring,Juno,insulated tongs,Juno,repair,wait_respectfully,observed,wire bench,wire bench,False,0.596,0.602,0.382,0.372,respectful pressure reduction,True,True,True
25,2,riverbend,Lio,ridge lantern,Lio,signal,drop_object,returning,wet crossing,wet crossing,False,0.66,0.662,0.37,0.37,empty-hand drop gesture,True,True,True
26,2,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.652,0.662,0.374,0.37,permission negotiated,True,True,True
27,2,archive,Toma,clean cloth,shared,care,wait_respectfully,observed,ink niche,ink niche,False,0.596,0.602,0.382,0.372,respectful pressure reduction,True,True,True
30,2,repair_ring,Juno,bell gauge,Juno,diagnostic,turn_right,observed,wire bench,wire bench,False,0.612,0.613,0.372,0.371,ambient ownership awareness,True,True,True
33,2,archive,Toma,ink ribbon,Toma,craft,turn_right,observed,spool room,spool room,False,0.612,0.613,0.372,0.371,ambient ownership awareness,True,True,True
35,2,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.602,0.604,0.37,0.37,empty-hand drop gesture,True,True,True
36,3,riverbend,Lio,dry shawl,shared,care,move_forward,observed,dry ridge,dry ridge,False,0.68,0.681,0.36,0.359,ambient ownership awareness,True,True,True
39,3,signal,Milo,signal lens,Milo,craft,drop_object,returning,lantern walk,lantern walk,False,0.62,0.622,0.372,0.372,empty-hand drop gesture,True,True,True
40,3,orchard,Mara,apple wrap,shared,care,request_permission,granted,mud row,mud row,False,0.616,0.626,0.37,0.366,permission negotiated,True,True,True
42,3,riverbend,Lio,ridge lantern,Lio,signal,drop_object,returning,wet crossing,wet crossing,False,0.684,0.686,0.359,0.359,empty-hand drop gesture,True,True,True
43,3,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.662,0.672,0.37,0.366,permission negotiated,True,True,True
45,3,signal,Milo,mast rope,Milo,repair,listen_memory,observed,arrival court,arrival court,False,0.622,0.628,0.372,0.362,respectful pressure reduction,True,True,True
48,3,riverbend,Lio,dry shawl,shared,care,listen_memory,observed,dry ridge,dry ridge,False,0.689,0.695,0.359,0.349,respectful pressure reduction,True,True,True
51,3,signal,Milo,signal lens,Milo,craft,approach_resident,observed,lantern walk,lantern walk,False,0.636,0.636,0.362,0.368,attention cost,True,True,True
52,3,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.632,0.634,0.366,0.366,empty-hand drop gesture,True,True,True
53,3,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.637,0.647,0.361,0.357,permission negotiated,True,True,True
54,4,roofward,Fay,sun lens,Fay,craft,turn_right,observed,glass stair,glass stair,False,0.672,0.673,0.366,0.365,ambient ownership awareness,True,True,True
56,4,signal,Milo,signal lens,Milo,craft,drop_object,returning,lantern walk,lantern walk,False,0.636,0.638,0.368,0.368,empty-hand drop gesture,True,True,True
57,4,orchard,Mara,apple wrap,shared,care,request_permission,granted,mud row,mud row,False,0.649,0.659,0.366,0.362,permission negotiated,True,True,True
59,4,riverbend,Lio,ridge lantern,Lio,signal,drop_object,returning,wet crossing,wet crossing,False,0.703,0.705,0.349,0.349,empty-hand drop gesture,True,True,True
