tick,day,scene_id,focus_agent,free_move_visible,dialogue_prompt_visible,inventory_panel_visible,reaction_state_visible,reload_restore_visible,local_storage_state_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
0,1,v22-scene-d01,Melo,1,1,1,1,1,1,1.42,64.98,Melo softens after inventory ceremony,1
1,1,v22-scene-d01,Melo,1,1,1,1,0,1,1.42,202.062764,Melo offers a proximity prompt,1
2,1,v22-scene-d01,Melo,1,1,1,1,1,1,1.29,336.735528,Melo signals space before movement continues,1
3,1,v22-scene-d01,Melo,1,1,1,1,0,1,1.29,114.498292,Melo signals space before movement continues,1
4,1,v22-scene-d01,Melo,1,0,1,1,1,1,1.42,253.991056,inventory stays visible around moth lantern,1
5,1,v22-scene-d01,Melo,1,1,1,1,1,1,1.42,33.11382,Melo offers a proximity prompt,1
6,1,v22-scene-d01,Melo,1,1,1,1,0,1,1.42,170.876584,Melo offers a proximity prompt,1
7,1,v22-scene-d01,Melo,1,1,1,1,1,0,1.42,308.639348,Melo offers a proximity prompt,1
8,1,v22-scene-d01,Melo,1,1,1,1,0,0,1.42,86.402112,Melo offers a proximity prompt,1
9,1,v22-scene-d01,Sova,1,1,1,1,0,0,1.42,224.164876,Sova offers a proximity prompt,1
10,1,v22-scene-d01,Keth,1,1,1,1,0,1,1.42,1.92764,Keth offers a proximity prompt,1
11,1,v22-scene-d01,Keth,1,1,0,1,1,1,1.37,138.920404,Keth softens after inventory ceremony,1
12,1,v22-scene-d01,Keth,1,1,1,1,0,1,1.42,277.453168,Keth offers a proximity prompt,1
13,1,v22-scene-d01,Keth,1,1,1,1,1,1,1.29,52.125932,Keth signals space before movement continues,1
14,1,v22-scene-d01,Keth,1,1,1,1,0,1,1.29,189.888696,Keth signals space before movement continues,1
15,1,v22-scene-d01,Keth,1,1,1,1,0,1,1.29,327.65146,Keth signals space before movement continues,1
16,2,v22-scene-d02,Keth,1,1,1,1,0,0,1.42,104.424224,Keth offers a proximity prompt,1
17,2,v22-scene-d02,Keth,1,1,1,1,0,1,1.42,242.186988,Keth offers a proximity prompt,1
18,2,v22-scene-d02,Keth,1,0,1,1,1,1,1.42,18.589752,inventory stays visible around rain mirror,1
19,2,v22-scene-d02,Sova,1,1,1,1,0,0,1.42,158.392516,Sova softens after inventory ceremony,1
20,2,v22-scene-d02,Sova,1,1,1,1,0,1,1.42,295.47528,Sova offers a proximity prompt,1
21,2,v22-scene-d02,Sova,1,1,1,1,0,1,1.42,73.238044,Sova offers a proximity prompt,1
22,2,v22-scene-d02,Sova,1,1,1,1,1,1,1.42,211.680808,Sova softens after inventory ceremony,1
23,2,v22-scene-d02,Sova,1,1,1,1,0,1,1.42,348.763572,Sova offers a proximity prompt,1
24,2,v22-scene-d02,Keth,1,1,1,1,0,1,1.42,126.526336,Keth offers a proximity prompt,1
25,2,v22-scene-d02,Keth,1,1,1,1,1,1,1.42,264.2891,Keth offers a proximity prompt,1
26,2,v22-scene-d02,Keth,1,1,1,1,0,1,1.42,42.051864,Keth offers a proximity prompt,1
27,2,v22-scene-d02,Keth,1,1,1,1,1,1,1.42,180.494628,Keth softens after inventory ceremony,1
28,2,v22-scene-d02,Keth,1,1,1,1,0,1,1.42,318.257392,Keth softens after inventory ceremony,1
29,2,v22-scene-d02,Keth,1,1,1,1,0,1,1.42,95.340156,Keth offers a proximity prompt,1
30,2,v22-scene-d02,Keth,1,1,1,1,1,1,1.42,233.78292,Keth softens after inventory ceremony,1
31,2,v22-scene-d02,Keth,1,1,1,1,1,1,1.42,11.545684,Keth softens after inventory ceremony,1
32,3,v22-scene-d03,Keth,1,1,1,1,0,1,1.42,144.548448,Keth offers a proximity prompt,1
33,3,v22-scene-d03,Keth,1,1,1,1,1,1,1.42,282.311212,Keth offers a proximity prompt,1
34,3,v22-scene-d03,Keth,1,1,1,1,1,1,1.42,60.753976,Keth softens after inventory ceremony,1
35,3,v22-scene-d03,Keth,1,0,1,1,0,1,1.42,196.47674,inventory stays visible around rain mirror,1
36,3,v22-scene-d03,Keth,1,1,1,1,0,1,1.42,335.599504,Keth offers a proximity prompt,1
37,3,v22-scene-d03,Keth,1,1,1,1,0,1,1.42,113.362268,Keth offers a proximity prompt,1
38,3,v22-scene-d03,Keth,1,1,1,1,0,1,1.44,262.705032,Keth offers a proximity prompt,1
39,3,v22-scene-d03,Keth,1,1,1,1,0,1,1.29,25.797796,Keth signals space before movement continues,1
40,3,v22-scene-d03,Keth,1,1,0,1,0,1,1.24,162.11056,Keth signals space before movement continues,1
41,3,v22-scene-d03,Keth,1,1,1,1,1,1,1.29,301.323324,Keth signals space before movement continues,1
42,3,v22-scene-d03,Keth,1,1,1,1,0,1,1.29,79.086088,Keth signals space before movement continues,1
43,3,v22-scene-d03,Keth,1,1,1,1,0,1,1.29,216.848852,Keth signals space before movement continues,1
44,3,v22-scene-d03,Keth,1,1,1,1,1,1,1.42,357.701616,Keth offers a proximity prompt,1
45,3,v22-scene-d03,Keth,1,1,1,1,1,1,1.42,135.46438,Keth offers a proximity prompt,1
46,3,v22-scene-d03,Keth,1,1,1,1,0,0,1.42,273.227144,Keth offers a proximity prompt,1
47,3,v22-scene-d03,Keth,1,1,1,1,0,1,1.42,50.989908,Keth offers a proximity prompt,1
48,4,v22-scene-d04,Keth,1,1,1,1,1,1,1.42,185.352672,Keth softens after inventory ceremony,1
49,4,v22-scene-d04,Keth,1,0,1,1,0,1,1.42,321.075436,inventory stays visible around path cord,1
50,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,100.1982,Keth offers a proximity prompt,1
51,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,237.960964,Keth offers a proximity prompt,1
52,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,15.723728,Keth offers a proximity prompt,1
53,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.29,150.396492,Keth signals space before movement continues,1
54,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.29,288.159256,Keth signals space before movement continues,1
55,4,v22-scene-d04,Keth,1,1,1,1,1,1,1.29,65.92202,Keth signals space before movement continues,1
56,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,206.774784,Keth offers a proximity prompt,1
57,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,345.217548,Keth softens after inventory ceremony,1
58,4,v22-scene-d04,Keth,1,1,1,1,1,1,1.42,122.980312,Keth softens after inventory ceremony,1
59,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,260.063076,Keth offers a proximity prompt,1
60,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,38.50584,Keth softens after inventory ceremony,1
61,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,175.588604,Keth offers a proximity prompt,1
62,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,313.351368,Keth offers a proximity prompt,1
63,4,v22-scene-d04,Keth,1,1,1,1,0,1,1.42,91.794132,Keth softens after inventory ceremony,1
64,5,v22-scene-d05,Keth,1,1,1,1,1,1,1.42,225.476896,Keth softens after inventory ceremony,1
65,5,v22-scene-d05,Keth,1,1,1,1,0,1,1.42,2.55966,Keth offers a proximity prompt,1
66,5,v22-scene-d05,Keth,1,0,1,1,1,0,1.42,138.962424,inventory stays visible around path cord,1
67,5,v22-scene-d05,Keth,1,1,1,1,1,1,1.42,278.765188,Keth softens after inventory ceremony,1
68,5,v22-scene-d05,Keth,1,1,1,1,1,1,1.42,56.527952,Keth softens after inventory ceremony,1
69,5,v22-scene-d05,Keth,1,1,0,1,0,1,1.37,192.840716,Keth softens after inventory ceremony,1
70,5,v22-scene-d05,Keth,1,1,1,1,1,1,1.42,332.05348,Keth softens after inventory ceremony,1
71,5,v22-scene-d05,Keth,1,1,1,1,0,1,1.42,109.136244,Keth offers a proximity prompt,1
72,5,v22-scene-d05,Keth,1,1,1,1,0,1,1.42,246.899008,Keth offers a proximity prompt,1
73,5,v22-scene-d05,Keth,1,1,1,1,0,1,1.42,24.661772,Keth offers a proximity prompt,1
74,5,v22-scene-d05,Keth,1,1,1,1,0,1,1.44,174.004536,Keth offers a proximity prompt,1
75,5,v22-scene-d05,Keth,1,1,1,1,1,1,1.46,323.3473,Keth offers a proximity prompt,1
76,5,v22-scene-d05,Keth,1,1,1,1,0,1,1.46,101.110064,Keth offers a proximity prompt,1
77,5,v22-scene-d05,Keth,1,1,1,1,1,1,1.46,238.872828,Keth offers a proximity prompt,1
78,5,v22-scene-d05,Keth,1,1,1,1,0,1,1.46,16.635592,Keth offers a proximity prompt,1
79,5,v22-scene-d05,Keth,1,1,1,1,1,1,1.44,143.498356,Keth softens after inventory ceremony,1
80,6,v22-scene-d06,Keth,1,0,1,1,1,1,1.44,275.14112,inventory stays visible around path cord,1
81,6,v22-scene-d06,Keth,1,1,1,1,0,1,1.44,54.263884,Keth offers a proximity prompt,1
82,6,v22-scene-d06,Keth,1,1,1,1,0,1,1.42,180.446648,Keth offers a proximity prompt,1
83,6,v22-scene-d06,Keth,1,1,1,1,1,1,1.22,324.089412,Keth softens after inventory ceremony,1
84,6,v22-scene-d06,Keth,1,1,1,1,1,1,1.42,96.652176,Keth softens after inventory ceremony,1
85,6,v22-scene-d06,Keth,1,1,1,1,0,1,1.42,233.73494,Keth offers a proximity prompt,1
86,6,v22-scene-d06,Keth,1,1,1,1,1,1,1.42,12.177704,Keth softens after inventory ceremony,1
87,6,v22-scene-d06,Keth,1,1,1,1,0,1,1.42,149.260468,Keth offers a proximity prompt,1
88,6,v22-scene-d06,Keth,1,1,1,1,1,1,1.42,287.023232,Keth offers a proximity prompt,1
89,6,v22-scene-d06,Keth,1,1,1,1,0,1,1.42,65.465996,Keth softens after inventory ceremony,1
90,6,v22-scene-d06,Keth,1,1,1,1,1,1,1.42,202.54876,Keth offers a proximity prompt,1
91,6,v22-scene-d06,Keth,1,1,1,1,1,1,1.42,340.311524,Keth offers a proximity prompt,1
92,6,v22-scene-d06,Keth,1,1,1,1,0,1,1.42,118.074288,Keth offers a proximity prompt,1
93,6,v22-scene-d06,Keth,1,1,1,1,0,1,1.42,255.837052,Keth offers a proximity prompt,1
