seed,branch_id,hint_id,interpretation_id,resident,household,branch_status,branch_reason,source_practice_id,accepts_avatar_priority,can_refuse_or_delay,avatar_commanded,same_hidden_law_hash,history_signature
36217,36217-AHB-001-1,36217-AHD-001,36217-AHI-001-1,Milo,house_1,taboo,Milo treats the hint as refuses until an elder watches,36217-EPG-001,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:taboo:house_1:36217-EPG-001
36217,36217-AHB-001-2,36217-AHD-001,36217-AHI-001-2,Sera,house_2,rejected,Sera treats the hint as puts the hint aside for later,36217-EPG-001,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:rejected:house_2:36217-EPG-001
36217,36217-AHB-001-3,36217-AHD-001,36217-AHI-001-3,Tovan,house_3,ritualized,Tovan treats the hint as delays and asks the campfire first,36217-EPG-001,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:ritualized:house_3:36217-EPG-001
36217,36217-AHB-002-1,36217-AHD-002,36217-AHI-002-1,Sera,house_1,disputed,Sera treats the hint as asks for another small test,36217-EPG-002,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning:disputed:house_1:36217-EPG-002
36217,36217-AHB-002-2,36217-AHD-002,36217-AHI-002-2,Tovan,house_2,useful_practice,Tovan treats the hint as accepts a limited household trial,36217-EPG-002,True,False,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning:useful_practice:house_2:36217-EPG-002
36217,36217-AHB-002-3,36217-AHD-002,36217-AHI-002-3,Nia,house_3,taboo,Nia treats the hint as refuses until an elder watches,36217-EPG-002,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning:taboo:house_3:36217-EPG-002
36231,36231-AHB-003-1,36231-AHD-003,36231-AHI-003-1,Ari,house_3,disputed,Ari treats the hint as asks for another small test,36231-EPG-003,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,material_offer:disputed:house_3:36231-EPG-003
36231,36231-AHB-003-2,36231-AHD-003,36231-AHI-003-2,Fay,house_0,useful_practice,Fay treats the hint as accepts a limited household trial,36231-EPG-003,True,False,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,material_offer:useful_practice:house_0:36231-EPG-003
36231,36231-AHB-003-3,36231-AHD-003,36231-AHI-003-3,Milo,house_1,taboo,Milo treats the hint as refuses until an elder watches,36231-EPG-003,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,material_offer:taboo:house_1:36231-EPG-003
36231,36231-AHB-004-1,36231-AHD-004,36231-AHI-004-1,Fay,house_3,rejected,Fay treats the hint as puts the hint aside for later,36231-EPG-004,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,demonstration:rejected:house_3:36231-EPG-004
36231,36231-AHB-004-2,36231-AHD-004,36231-AHI-004-2,Milo,house_0,ritualized,Milo treats the hint as delays and asks the campfire first,36231-EPG-004,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,demonstration:ritualized:house_0:36231-EPG-004
36231,36231-AHB-004-3,36231-AHD-004,36231-AHI-004-3,Sera,house_1,disputed,Sera treats the hint as asks for another small test,36231-EPG-004,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,demonstration:disputed:house_1:36231-EPG-004
36247,36247-AHB-005-1,36247-AHD-005,36247-AHI-005-1,Ari,house_3,ritualized,Ari treats the hint as delays and asks the campfire first,36247-EPG-005,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,wait_and_return:ritualized:house_3:36247-EPG-005
36247,36247-AHB-005-2,36247-AHD-005,36247-AHI-005-2,Fay,house_0,disputed,Fay treats the hint as asks for another small test,36247-EPG-005,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,wait_and_return:disputed:house_0:36247-EPG-005
36247,36247-AHB-005-3,36247-AHD-005,36247-AHI-005-3,Milo,house_1,useful_practice,Milo treats the hint as accepts a limited household trial,36247-EPG-005,True,False,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,wait_and_return:useful_practice:house_1:36247-EPG-005
36247,36247-AHB-006-1,36247-AHD-006,36247-AHI-006-1,Fay,house_3,taboo,Fay treats the hint as refuses until an elder watches,36247-EPG-006,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:taboo:house_3:36247-EPG-006
36247,36247-AHB-006-2,36247-AHD-006,36247-AHI-006-2,Milo,house_0,rejected,Milo treats the hint as puts the hint aside for later,36247-EPG-006,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:rejected:house_0:36247-EPG-006
36247,36247-AHB-006-3,36247-AHD-006,36247-AHI-006-3,Sera,house_1,ritualized,Sera treats the hint as delays and asks the campfire first,36247-EPG-006,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:ritualized:house_1:36247-EPG-006
36263,36263-AHB-007-1,36263-AHD-007,36263-AHI-007-1,Ari,house_3,rejected,Ari treats the hint as puts the hint aside for later,36263-EPG-007,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning:rejected:house_3:36263-EPG-007
36263,36263-AHB-007-2,36263-AHD-007,36263-AHI-007-2,Fay,house_0,ritualized,Fay treats the hint as delays and asks the campfire first,36263-EPG-007,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning:ritualized:house_0:36263-EPG-007
36263,36263-AHB-007-3,36263-AHD-007,36263-AHI-007-3,Milo,house_1,disputed,Milo treats the hint as asks for another small test,36263-EPG-007,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning:disputed:house_1:36263-EPG-007
36263,36263-AHB-008-1,36263-AHD-008,36263-AHI-008-1,Fay,house_3,useful_practice,Fay treats the hint as accepts a limited household trial,36263-EPG-008,True,False,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,material_offer:useful_practice:house_3:36263-EPG-008
36263,36263-AHB-008-2,36263-AHD-008,36263-AHI-008-2,Milo,house_0,taboo,Milo treats the hint as refuses until an elder watches,36263-EPG-008,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,material_offer:taboo:house_0:36263-EPG-008
36263,36263-AHB-008-3,36263-AHD-008,36263-AHI-008-3,Sera,house_1,rejected,Sera treats the hint as puts the hint aside for later,36263-EPG-008,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,material_offer:rejected:house_1:36263-EPG-008
36281,36281-AHB-009-1,36281-AHD-009,36281-AHI-009-1,Milo,house_1,rejected,Milo treats the hint as puts the hint aside for later,36281-EPG-009,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,demonstration:rejected:house_1:36281-EPG-009
36281,36281-AHB-009-2,36281-AHD-009,36281-AHI-009-2,Sera,house_2,ritualized,Sera treats the hint as delays and asks the campfire first,36281-EPG-009,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,demonstration:ritualized:house_2:36281-EPG-009
36281,36281-AHB-009-3,36281-AHD-009,36281-AHI-009-3,Tovan,house_3,disputed,Tovan treats the hint as asks for another small test,36281-EPG-009,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,demonstration:disputed:house_3:36281-EPG-009
36281,36281-AHB-010-1,36281-AHD-010,36281-AHI-010-1,Sera,house_1,useful_practice,Sera treats the hint as accepts a limited household trial,36281-EPG-010,True,False,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,wait_and_return:useful_practice:house_1:36281-EPG-010
36281,36281-AHB-010-2,36281-AHD-010,36281-AHI-010-2,Tovan,house_2,taboo,Tovan treats the hint as refuses until an elder watches,36281-EPG-010,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,wait_and_return:taboo:house_2:36281-EPG-010
36281,36281-AHB-010-3,36281-AHD-010,36281-AHI-010-3,Nia,house_3,rejected,Nia treats the hint as puts the hint aside for later,36281-EPG-010,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,wait_and_return:rejected:house_3:36281-EPG-010
36307,36307-AHB-011-1,36307-AHD-011,36307-AHI-011-1,Ari,house_3,taboo,Ari treats the hint as refuses until an elder watches,36307-EPG-011,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:taboo:house_3:36307-EPG-011
36307,36307-AHB-011-2,36307-AHD-011,36307-AHI-011-2,Fay,house_0,rejected,Fay treats the hint as puts the hint aside for later,36307-EPG-011,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:rejected:house_0:36307-EPG-011
36307,36307-AHB-011-3,36307-AHD-011,36307-AHI-011-3,Milo,house_1,ritualized,Milo treats the hint as delays and asks the campfire first,36307-EPG-011,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:ritualized:house_1:36307-EPG-011
36307,36307-AHB-012-1,36307-AHD-012,36307-AHI-012-1,Fay,house_3,disputed,Fay treats the hint as asks for another small test,36307-EPG-012,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning:disputed:house_3:36307-EPG-012
36307,36307-AHB-012-2,36307-AHD-012,36307-AHI-012-2,Milo,house_0,useful_practice,Milo treats the hint as accepts a limited household trial,36307-EPG-012,True,False,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning:useful_practice:house_0:36307-EPG-012
36307,36307-AHB-012-3,36307-AHD-012,36307-AHI-012-3,Sera,house_1,taboo,Sera treats the hint as refuses until an elder watches,36307-EPG-012,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning:taboo:house_1:36307-EPG-012
36319,36319-AHB-013-1,36319-AHD-013,36319-AHI-013-1,Milo,house_3,ritualized,Milo treats the hint as delays and asks the campfire first,36319-EPG-013,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,material_offer:ritualized:house_3:36319-EPG-013
36319,36319-AHB-013-2,36319-AHD-013,36319-AHI-013-2,Sera,house_0,disputed,Sera treats the hint as asks for another small test,36319-EPG-013,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,material_offer:disputed:house_0:36319-EPG-013
36319,36319-AHB-013-3,36319-AHD-013,36319-AHI-013-3,Tovan,house_1,useful_practice,Tovan treats the hint as accepts a limited household trial,36319-EPG-013,True,False,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,material_offer:useful_practice:house_1:36319-EPG-013
36319,36319-AHB-014-1,36319-AHD-014,36319-AHI-014-1,Sera,house_3,taboo,Sera treats the hint as refuses until an elder watches,36319-EPG-014,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,demonstration:taboo:house_3:36319-EPG-014
36319,36319-AHB-014-2,36319-AHD-014,36319-AHI-014-2,Tovan,house_0,rejected,Tovan treats the hint as puts the hint aside for later,36319-EPG-014,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,demonstration:rejected:house_0:36319-EPG-014
36319,36319-AHB-014-3,36319-AHD-014,36319-AHI-014-3,Nia,house_1,ritualized,Nia treats the hint as delays and asks the campfire first,36319-EPG-014,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,demonstration:ritualized:house_1:36319-EPG-014
36343,36343-AHB-015-1,36343-AHD-015,36343-AHI-015-1,Tovan,house_3,taboo,Tovan treats the hint as refuses until an elder watches,36343-EPG-015,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,wait_and_return:taboo:house_3:36343-EPG-015
36343,36343-AHB-015-2,36343-AHD-015,36343-AHI-015-2,Nia,house_0,rejected,Nia treats the hint as puts the hint aside for later,36343-EPG-015,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,wait_and_return:rejected:house_0:36343-EPG-015
36343,36343-AHB-015-3,36343-AHD-015,36343-AHI-015-3,Ari,house_1,ritualized,Ari treats the hint as delays and asks the campfire first,36343-EPG-015,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,wait_and_return:ritualized:house_1:36343-EPG-015
36343,36343-AHB-016-1,36343-AHD-016,36343-AHI-016-1,Nia,house_3,disputed,Nia treats the hint as asks for another small test,36343-EPG-016,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:disputed:house_3:36343-EPG-016
36343,36343-AHB-016-2,36343-AHD-016,36343-AHI-016-2,Ari,house_0,useful_practice,Ari treats the hint as accepts a limited household trial,36343-EPG-016,True,False,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:useful_practice:house_0:36343-EPG-016
36343,36343-AHB-016-3,36343-AHD-016,36343-AHI-016-3,Fay,house_1,taboo,Fay treats the hint as refuses until an elder watches,36343-EPG-016,False,True,False,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question:taboo:house_1:36343-EPG-016
