tick_id,day,project_id,replay_event,state_hash,includes_materials,includes_body_cost,includes_blocker,includes_reshape,replay_exportable
0,1,west_bridge_repair,west_bridge_repair:measure:work active,v25-138735,true,true,true,false,true
1,1,herb_roof_garden,herb_roof_garden:clear:work active,v25-127250,true,true,false,false,true
2,1,north_lantern_relay,north_lantern_relay:clean:work active,v25-141860,true,true,false,false,true
3,1,archive_weather_log,archive_weather_log:sort:work active,v25-140995,true,true,true,false,true
4,1,west_bridge_repair,west_bridge_repair:measure:work active,v25-135602,true,true,false,false,true
5,1,herb_roof_garden,herb_roof_garden:clear:reserved work slot,v25-146214,true,true,true,false,true
6,1,north_lantern_relay,north_lantern_relay:clean:work active,v25-145178,true,true,false,false,true
7,1,archive_weather_log,archive_weather_log:sort:reserved work slot,v25-175447,true,true,false,false,true
8,1,west_bridge_repair,west_bridge_repair:measure:work active,v25-135408,true,true,false,false,true
9,1,herb_roof_garden,herb_roof_garden:clear:blocked: obligation_time_conflict,v25-302788,true,true,true,false,true
10,1,north_lantern_relay,north_lantern_relay:clean:reserved work slot,v25-174155,true,true,false,false,true
11,1,archive_weather_log,archive_weather_log:sort:work active,v25-164781,true,true,false,false,true
12,1,west_bridge_repair,west_bridge_repair:measure:work active,v25-143441,true,true,false,false,true
13,1,herb_roof_garden,herb_roof_garden:clear:work active,v25-149862,true,true,false,false,true
14,1,north_lantern_relay,north_lantern_relay:clean:work active,v25-165705,true,true,true,false,true
15,1,archive_weather_log,archive_weather_log:sort:reserved work slot,v25-173153,true,true,false,false,true
16,1,west_bridge_repair,west_bridge_repair:measure:work active,v25-140267,true,true,false,false,true
17,1,herb_roof_garden,herb_roof_garden:clear:work active,v25-154390,true,true,false,false,true
18,2,north_lantern_relay,north_lantern_relay:clean:work active,v25-169297,true,true,false,false,true
19,2,archive_weather_log,archive_weather_log:sort:work active,v25-180315,true,true,false,false,true
20,2,west_bridge_repair,west_bridge_repair:measure:reserved work slot,v25-166772,true,true,false,false,true
21,2,herb_roof_garden,herb_roof_garden:clear:work active,v25-157261,true,true,false,false,true
22,2,north_lantern_relay,north_lantern_relay:clean:work active,v25-174208,true,true,true,false,true
23,2,archive_weather_log,archive_weather_log:sort:work active,v25-164469,true,true,false,false,true
24,2,west_bridge_repair,west_bridge_repair:measure:work active,v25-162463,true,true,false,false,true
25,2,herb_roof_garden,herb_roof_garden:clear:reserved work slot,v25-161789,true,true,false,false,true
