tick_id,day,region_id,building,tier_before,upgrade_attempt,upgrade_success,tier_after,required_resource,resource_spent,durability_bonus,visible_upgrade_marker
0,1,riverbend,river mill,1,False,False,1,oil,0.0,0.0,no upgrade
1,1,roofward,roof cistern,1,False,False,1,water,0.0,0.0,no upgrade
2,1,archive_quarter,public kiosk,1,False,False,1,thread,0.0,0.0,no upgrade
3,1,signal_ridge,signal tower,1,False,False,1,wire,0.0,0.0,no upgrade
4,1,orchard_fen,seed pier,1,False,False,1,planks,0.0,0.0,no upgrade
5,1,riverbend,river mill,1,False,False,1,oil,0.0,0.0,no upgrade
6,1,roofward,roof cistern,1,False,False,1,water,0.0,0.0,no upgrade
7,1,archive_quarter,public kiosk,1,False,False,1,thread,0.0,0.0,no upgrade
8,1,signal_ridge,signal tower,1,False,False,1,wire,0.0,0.0,no upgrade
9,1,orchard_fen,seed pier,1,False,False,1,planks,0.0,0.0,no upgrade
10,1,riverbend,river mill,1,False,False,1,oil,0.0,0.0,no upgrade
11,1,roofward,roof cistern,1,False,False,1,water,0.0,0.0,no upgrade
12,1,archive_quarter,public kiosk,1,False,False,1,thread,0.0,0.0,no upgrade
13,1,signal_ridge,signal tower,1,False,False,1,wire,0.0,0.0,no upgrade
14,1,orchard_fen,seed pier,1,False,False,1,planks,0.0,0.0,no upgrade
15,1,riverbend,river mill,1,False,False,1,oil,0.0,0.0,no upgrade
16,2,roofward,roof cistern,1,False,False,1,water,0.0,0.0,no upgrade
17,2,archive_quarter,public kiosk,1,False,False,1,thread,0.0,0.0,no upgrade
18,2,signal_ridge,signal tower,1,False,False,1,wire,0.0,0.0,no upgrade
19,2,orchard_fen,seed pier,1,False,False,1,planks,0.0,0.0,no upgrade
20,2,riverbend,river mill,1,False,False,1,oil,0.0,0.0,no upgrade
21,2,roofward,roof cistern,1,False,False,1,water,0.0,0.0,no upgrade
22,2,archive_quarter,public kiosk,1,False,False,1,thread,0.0,0.0,no upgrade
23,2,signal_ridge,signal tower,1,False,False,1,wire,0.0,0.0,no upgrade
24,2,orchard_fen,seed pier,1,False,False,1,planks,0.0,0.0,no upgrade
25,2,riverbend,river mill,1,False,False,1,oil,0.0,0.0,no upgrade
26,2,roofward,roof cistern,1,False,False,1,water,0.0,0.0,no upgrade
