tick_id,day,settlement_id,reload_index,goal_count,request_count,plan_count,refusal_count,phrase_learning_count,checksum,restored_goals_visible,restored_requests_visible,restored_plans_visible,restored_refusals_visible,restored_phrase_learning_visible,replay_exportable
0,1,moss_ward,1,1,1,1,1,1,f9ce4fd215d1c9bf,True,True,True,True,True,True
1,1,glass_harbor,1,1,1,0,0,1,5801d55f2ce6cfe2,True,True,True,True,True,True
2,1,cinder_garden,1,1,1,1,0,1,da2c59b596d954fc,True,True,True,True,True,True
3,1,lichen_bridge,1,1,1,0,1,1,f13841b96b50420a,True,True,True,True,True,True
4,1,orchid_engine,1,1,1,1,1,1,71abeabb30aac85b,True,True,True,True,True,True
5,1,moss_ward,2,2,2,1,2,2,e876ac35e1831fb7,True,True,True,True,True,True
6,1,glass_harbor,2,2,2,1,1,2,9b61fd33c932e5c0,True,True,True,True,True,True
7,1,cinder_garden,2,2,2,1,1,2,bc86450c7be2e8d9,True,True,True,True,True,True
8,1,lichen_bridge,2,2,2,1,2,2,71605e85060e82e3,True,True,True,True,True,True
9,1,orchid_engine,2,2,2,1,2,2,b411e0159b58fa0b,True,True,True,True,True,True
10,1,moss_ward,3,3,3,2,2,3,07869db6a7f54ef9,True,True,True,True,True,True
11,1,glass_harbor,3,3,3,1,1,3,05b1d77729e450e2,True,True,True,True,True,True
12,1,cinder_garden,3,3,3,2,2,3,2d9961e72afe8f8e,True,True,True,True,True,True
13,1,lichen_bridge,3,3,3,1,3,3,ab2138b669a5562f,True,True,True,True,True,True
14,1,orchid_engine,3,3,3,2,3,3,4a2bb80db333f13a,True,True,True,True,True,True
15,1,moss_ward,4,4,4,2,3,4,df27e3c9c7e19619,True,True,True,True,True,True
16,1,glass_harbor,4,4,4,2,2,4,ca3ed35478a4ef5e,True,True,True,True,True,True
17,1,cinder_garden,4,4,4,2,2,4,6ba4be6df267f11a,True,True,True,True,True,True
18,2,orchid_engine,4,4,4,3,4,4,c0ee249b74b3ab13,True,True,True,True,True,True
27,2,lichen_bridge,4,5,5,2,4,5,8fb8f5484c3ba775,True,True,True,True,True,True
36,3,lichen_bridge,5,7,7,4,5,7,74561b7453eff36a,True,True,True,True,True,True
45,3,cinder_garden,5,9,9,4,4,9,7f43a7716a6167a5,True,True,True,True,True,True
54,4,cinder_garden,6,11,11,6,5,11,95d0cc7c77bee5fd,True,True,True,True,True,True
63,4,glass_harbor,5,13,13,6,8,13,49f44225c2b048bd,True,True,True,True,True,True
72,5,glass_harbor,6,15,15,8,9,15,b0c837fc8ee44702,True,True,True,True,True,True
81,5,moss_ward,5,17,17,8,9,17,4f21a23c3bae96f5,True,True,True,True,True,True
90,6,moss_ward,6,19,19,10,10,19,cbb77e5cfe3c8cc2,True,True,True,True,True,True
99,6,orchid_engine,5,20,20,10,14,20,84ba145f18d972fb,True,True,True,True,True,True
108,7,orchid_engine,6,22,22,12,15,22,938d3e843faff1cb,True,True,True,True,True,True
117,7,lichen_bridge,6,23,23,11,14,23,cea56f62eba203d9,True,True,True,True,True,True
126,8,lichen_bridge,7,25,25,13,15,25,9075df6f5aef9db1,True,True,True,True,True,True
135,8,cinder_garden,7,27,27,13,13,27,aa2c92e1039900fd,True,True,True,True,True,True
144,9,cinder_garden,8,29,29,15,14,29,0673e0cddcfac495,True,True,True,True,True,True
153,9,glass_harbor,7,31,31,15,17,31,f8642ac5e45d8b12,True,True,True,True,True,True
162,10,glass_harbor,8,33,33,17,18,33,13109ced4344a90e,True,True,True,True,True,True
171,10,moss_ward,7,35,35,17,22,35,2948287ffd9a48ce,True,True,True,True,True,True
180,11,moss_ward,8,37,37,19,23,37,238c327aa7a1bf8f,True,True,True,True,True,True
189,11,orchid_engine,7,38,38,19,25,38,e78e264ff2464ad9,True,True,True,True,True,True
198,12,orchid_engine,8,40,40,21,26,40,44b2320c22d7a09e,True,True,True,True,True,True
207,12,lichen_bridge,8,41,41,20,22,41,9394017fba638f0e,True,True,True,True,True,True
216,13,lichen_bridge,9,43,43,22,23,43,56aef3d954e35251,True,True,True,True,True,True
225,13,cinder_garden,9,45,45,22,26,45,949269eb726e6c33,True,True,True,True,True,True
234,14,cinder_garden,10,47,47,24,27,47,26baffb50ea44b09,True,True,True,True,True,True
243,14,glass_harbor,9,49,49,24,28,49,7f0cb68dab141088,True,True,True,True,True,True
252,15,glass_harbor,10,51,51,26,30,51,2350d5a3c4644bd6,True,True,True,True,True,True
261,15,moss_ward,9,53,53,26,32,53,a560f3ef9a3e1fdd,True,True,True,True,True,True
270,16,moss_ward,10,55,55,28,34,55,cee708dfa40951d4,True,True,True,True,True,True
279,16,orchid_engine,9,56,56,28,34,56,875ac8bb505f7c66,True,True,True,True,True,True
288,17,orchid_engine,10,58,58,30,35,58,d2a737a7c061cec6,True,True,True,True,True,True
297,17,lichen_bridge,10,59,59,29,30,59,d5f5754cda121caf,True,True,True,True,True,True
306,18,lichen_bridge,11,61,61,31,32,61,d8cf43eb0f19b1cb,True,True,True,True,True,True
315,18,cinder_garden,11,63,63,31,38,63,4b7627699115188e,True,True,True,True,True,True
324,19,cinder_garden,12,65,65,33,39,65,f5249ff8405aa496,True,True,True,True,True,True
333,19,glass_harbor,11,67,67,33,36,67,46715f26393a62c8,True,True,True,True,True,True
342,20,glass_harbor,12,69,69,35,38,69,b478cd74cb2a029f,True,True,True,True,True,True
351,20,moss_ward,11,71,71,35,42,71,0ae89d54e8e42003,True,True,True,True,True,True
360,21,moss_ward,12,73,73,37,43,73,d91f119bbdf2a7b5,True,True,True,True,True,True
369,21,orchid_engine,11,74,74,37,42,74,88db43652eb1afff,True,True,True,True,True,True
378,22,orchid_engine,12,76,76,39,44,76,67c6ecd3fb68b8d9,True,True,True,True,True,True
387,22,lichen_bridge,12,77,77,38,38,77,28816b8eb9ef8c18,True,True,True,True,True,True
396,23,lichen_bridge,13,79,79,40,40,79,b25dedf462e9afed,True,True,True,True,True,True
405,23,cinder_garden,13,81,81,41,48,81,cd604e31d9ccfd6d,True,True,True,True,True,True
414,24,cinder_garden,14,83,83,43,50,83,7a12344bd1aebf37,True,True,True,True,True,True
423,24,glass_harbor,13,85,85,43,46,85,4fc1bbe553d0c90d,True,True,True,True,True,True
432,25,glass_harbor,14,87,87,45,47,87,214583451c541db2,True,True,True,True,True,True
441,25,moss_ward,13,89,89,46,52,89,be84af61105e4bdd,True,True,True,True,True,True
450,26,moss_ward,14,91,91,48,54,91,f7240f9ba983472c,True,True,True,True,True,True
459,26,orchid_engine,13,92,92,48,53,92,452516660773f38d,True,True,True,True,True,True
468,27,orchid_engine,14,94,94,50,54,94,3d7adfd3e584fda2,True,True,True,True,True,True
477,27,lichen_bridge,14,95,95,50,49,95,6cc2545deb0f6bf5,True,True,True,True,True,True
486,28,lichen_bridge,15,97,97,52,50,97,847ffd6fe4d7bf0b,True,True,True,True,True,True
495,28,cinder_garden,15,99,99,53,58,99,d60c6773329d8738,True,True,True,True,True,True
504,29,cinder_garden,16,101,101,55,60,101,be280266a18143b2,True,True,True,True,True,True
513,29,glass_harbor,15,103,103,55,55,103,0533bd2be742d383,True,True,True,True,True,True
522,30,glass_harbor,16,105,105,57,57,105,af992314618efedd,True,True,True,True,True,True
531,30,moss_ward,15,107,107,59,62,107,c0b755c38de1a51c,True,True,True,True,True,True
540,31,moss_ward,16,109,109,61,64,109,46fe8515c3260211,True,True,True,True,True,True
549,31,orchid_engine,15,110,110,62,63,110,e31b4223dd5ec53c,True,True,True,True,True,True
558,32,orchid_engine,16,112,112,64,65,112,65a205c9467c7357,True,True,True,True,True,True
567,32,lichen_bridge,16,113,113,64,59,113,0320002605b0928a,True,True,True,True,True,True
576,33,lichen_bridge,17,115,115,66,60,115,91bb70ee33b72de2,True,True,True,True,True,True
585,33,cinder_garden,17,117,117,67,67,117,2455b8bb9fc8c3a4,True,True,True,True,True,True
594,34,cinder_garden,18,119,119,69,68,119,cf8353b974bafff9,True,True,True,True,True,True
603,34,glass_harbor,17,121,121,69,67,121,1935aaa25f9a4ea2,True,True,True,True,True,True
612,35,glass_harbor,18,123,123,71,69,123,4971b2a635ed02ad,True,True,True,True,True,True
621,35,moss_ward,17,125,125,73,74,125,1c8ec6035e6926f9,True,True,True,True,True,True
630,36,moss_ward,18,127,127,75,75,127,dc67a3567384f5e7,True,True,True,True,True,True
639,36,orchid_engine,17,128,128,77,73,128,641d6724af3923d3,True,True,True,True,True,True
648,37,orchid_engine,18,130,130,79,75,130,9a4943fcb55e09a1,True,True,True,True,True,True
657,37,lichen_bridge,18,131,131,79,70,131,56945af5ef590de4,True,True,True,True,True,True
666,38,lichen_bridge,19,133,133,81,71,133,51522901bb5d5f4e,True,True,True,True,True,True
675,38,cinder_garden,19,135,135,81,80,135,9aaefafd4999372d,True,True,True,True,True,True
684,39,cinder_garden,20,137,137,83,81,137,baf83f19d46f23f9,True,True,True,True,True,True
693,39,glass_harbor,19,139,139,83,78,139,fda1ebb319e1f56f,True,True,True,True,True,True
702,40,glass_harbor,20,141,141,85,79,141,88693b3f35f49d72,True,True,True,True,True,True
711,40,moss_ward,19,143,143,87,81,143,fed1c64faec43c76,True,True,True,True,True,True
720,41,moss_ward,20,145,145,89,82,145,26bbc7c1eadf46c2,True,True,True,True,True,True
729,41,orchid_engine,19,146,146,92,85,146,84768d76abcda50d,True,True,True,True,True,True
738,42,orchid_engine,20,148,148,94,86,148,be74a93b7adaf8e4,True,True,True,True,True,True
747,42,lichen_bridge,20,149,149,94,80,149,f9d010ebe3d70921,True,True,True,True,True,True
756,43,lichen_bridge,21,151,151,96,81,151,9e5feb9b83e10fd3,True,True,True,True,True,True
765,43,cinder_garden,21,153,153,95,90,153,8a143260ae3ec8ae,True,True,True,True,True,True
774,44,cinder_garden,22,155,155,97,92,155,b820624b3b5087cb,True,True,True,True,True,True
783,44,glass_harbor,21,157,157,97,90,157,f69a4d398f40cc16,True,True,True,True,True,True
792,45,glass_harbor,22,159,159,99,91,159,ded6e226058c9e5e,True,True,True,True,True,True
801,45,moss_ward,21,161,161,101,92,161,1a58e5730e9ef61e,True,True,True,True,True,True
