tick_id,day,settlement_id,resident_id,protocol_step,avatar_choice,protocol_state,trust_before,trust_after,respect_delta,visible_body_response,greeting_card_visible,protocol_not_bypassed
0,1,lichen_bridge,Kio,touch rope post,interrupt_protocol,warning,0.58,0.568,-0.018,resident steps between avatar and custom boundary,True,True
1,1,orchid_engine,Cai,show palms to valve listener,wait_for_resident_lead,respected,0.56,0.57,0.016,"resident turns toward avatar, shoulders lower",True,True
2,1,moss_ward,Milo,wait for warm-cup phrase,observe_before_speaking,respected,0.57,0.58,0.016,"resident turns toward avatar, shoulders lower",True,True
3,1,glass_harbor,Sera,pause at lamp pier,offer_greeting,partially_matched,0.59,0.596,0.01,"resident listens, then corrects sequence",True,True
4,1,cinder_garden,Juno,wait at ash path,ask_translation,partially_matched,0.55,0.556,0.01,"resident listens, then corrects sequence",True,True
5,1,lichen_bridge,Luma,wait for shared-bowl offer,repeat_local_phrase,partially_matched,0.58,0.586,0.01,"resident listens, then corrects sequence",True,True
6,1,orchid_engine,Dax,stand outside engine ring,offer_trade_good,neutral,0.56,0.562,0.003,resident waits for clearer intent,True,True
7,1,moss_ward,Tala,show empty hands,touch_restricted_object,warning,0.57,0.558,-0.018,resident steps between avatar and custom boundary,True,True
8,1,glass_harbor,Nia,accept tea-before-crossing,step_back,respected,0.59,0.6,0.016,"resident turns toward avatar, shoulders lower",True,True
9,1,cinder_garden,Pax,bow to shade cloth,ask_custom_reason,neutral,0.55,0.552,0.003,resident waits for clearer intent,True,True
10,1,lichen_bridge,Rin,listen for signal hush,interrupt_protocol,warning,0.58,0.568,-0.018,resident steps between avatar and custom boundary,True,True
11,1,orchid_engine,Eli,wait for orchid-cup,wait_for_resident_lead,respected,0.56,0.57,0.016,"resident turns toward avatar, shoulders lower",True,True
12,1,moss_ward,Ari,stand by rain gate,observe_before_speaking,respected,0.57,0.58,0.016,"resident turns toward avatar, shoulders lower",True,True
13,1,glass_harbor,Oren,tap lantern rail,offer_greeting,partially_matched,0.59,0.596,0.01,"resident listens, then corrects sequence",True,True
14,1,cinder_garden,Vale,repeat cool-hand sign,ask_translation,partially_matched,0.55,0.556,0.01,"resident listens, then corrects sequence",True,True
