seed,session_id,branch_id,household,reason,recoverable
36217,36217-HRS-01,36217-AHB-001-2,house_2,"low trust, disputed value, or higher priority work",True
36217,36217-HRS-02,36217-AHB-001-2,house_2,"low trust, disputed value, or higher priority work",True
36217,36217-HRS-02,36217-AHB-002-1,house_1,"low trust, disputed value, or higher priority work",True
36217,36217-HRS-03,36217-AHB-001-2,house_2,"low trust, disputed value, or higher priority work",True
36217,36217-HRS-03,36217-AHB-002-1,house_1,"low trust, disputed value, or higher priority work",True
36231,36231-HRS-01,36231-AHB-004-1,house_3,"low trust, disputed value, or higher priority work",True
36231,36231-HRS-02,36231-AHB-003-1,house_3,"low trust, disputed value, or higher priority work",True
36231,36231-HRS-02,36231-AHB-004-1,house_3,"low trust, disputed value, or higher priority work",True
36231,36231-HRS-02,36231-AHB-004-3,house_1,"low trust, disputed value, or higher priority work",True
36231,36231-HRS-03,36231-AHB-003-1,house_3,"low trust, disputed value, or higher priority work",True
36231,36231-HRS-03,36231-AHB-004-1,house_3,"low trust, disputed value, or higher priority work",True
36231,36231-HRS-03,36231-AHB-004-3,house_1,"low trust, disputed value, or higher priority work",True
36247,36247-HRS-01,36247-AHB-006-2,house_0,"low trust, disputed value, or higher priority work",True
36247,36247-HRS-02,36247-AHB-005-2,house_0,"low trust, disputed value, or higher priority work",True
36247,36247-HRS-02,36247-AHB-006-2,house_0,"low trust, disputed value, or higher priority work",True
36247,36247-HRS-03,36247-AHB-005-2,house_0,"low trust, disputed value, or higher priority work",True
36247,36247-HRS-03,36247-AHB-006-2,house_0,"low trust, disputed value, or higher priority work",True
36263,36263-HRS-01,36263-AHB-007-1,house_3,"low trust, disputed value, or higher priority work",True
36263,36263-HRS-01,36263-AHB-008-3,house_1,"low trust, disputed value, or higher priority work",True
36263,36263-HRS-02,36263-AHB-007-1,house_3,"low trust, disputed value, or higher priority work",True
36263,36263-HRS-02,36263-AHB-007-3,house_1,"low trust, disputed value, or higher priority work",True
36263,36263-HRS-02,36263-AHB-008-3,house_1,"low trust, disputed value, or higher priority work",True
36263,36263-HRS-03,36263-AHB-007-1,house_3,"low trust, disputed value, or higher priority work",True
36263,36263-HRS-03,36263-AHB-007-3,house_1,"low trust, disputed value, or higher priority work",True
36263,36263-HRS-03,36263-AHB-008-3,house_1,"low trust, disputed value, or higher priority work",True
36281,36281-HRS-01,36281-AHB-009-1,house_1,"low trust, disputed value, or higher priority work",True
36281,36281-HRS-01,36281-AHB-010-3,house_3,"low trust, disputed value, or higher priority work",True
36281,36281-HRS-02,36281-AHB-009-1,house_1,"low trust, disputed value, or higher priority work",True
36281,36281-HRS-02,36281-AHB-009-3,house_3,"low trust, disputed value, or higher priority work",True
36281,36281-HRS-02,36281-AHB-010-3,house_3,"low trust, disputed value, or higher priority work",True
36281,36281-HRS-03,36281-AHB-009-1,house_1,"low trust, disputed value, or higher priority work",True
36281,36281-HRS-03,36281-AHB-009-3,house_3,"low trust, disputed value, or higher priority work",True
36281,36281-HRS-03,36281-AHB-010-3,house_3,"low trust, disputed value, or higher priority work",True
36307,36307-HRS-01,36307-AHB-011-2,house_0,"low trust, disputed value, or higher priority work",True
36307,36307-HRS-02,36307-AHB-011-2,house_0,"low trust, disputed value, or higher priority work",True
36307,36307-HRS-02,36307-AHB-012-1,house_3,"low trust, disputed value, or higher priority work",True
36307,36307-HRS-03,36307-AHB-011-2,house_0,"low trust, disputed value, or higher priority work",True
36307,36307-HRS-03,36307-AHB-012-1,house_3,"low trust, disputed value, or higher priority work",True
36319,36319-HRS-01,36319-AHB-014-2,house_0,"low trust, disputed value, or higher priority work",True
36319,36319-HRS-02,36319-AHB-013-2,house_0,"low trust, disputed value, or higher priority work",True
36319,36319-HRS-02,36319-AHB-014-2,house_0,"low trust, disputed value, or higher priority work",True
36319,36319-HRS-03,36319-AHB-013-2,house_0,"low trust, disputed value, or higher priority work",True
36319,36319-HRS-03,36319-AHB-014-2,house_0,"low trust, disputed value, or higher priority work",True
36343,36343-HRS-01,36343-AHB-015-2,house_0,"low trust, disputed value, or higher priority work",True
36343,36343-HRS-02,36343-AHB-015-2,house_0,"low trust, disputed value, or higher priority work",True
36343,36343-HRS-02,36343-AHB-016-1,house_3,"low trust, disputed value, or higher priority work",True
36343,36343-HRS-03,36343-AHB-015-2,house_0,"low trust, disputed value, or higher priority work",True
36343,36343-HRS-03,36343-AHB-016-1,house_3,"low trust, disputed value, or higher priority work",True
