controller,ablation,mean_maturation_score,mean_survival_score,mean_development_score,mean_knowledge_score,mean_recovery_score,mean_final_alive,mean_alive_at_12h,mean_births,mean_deaths,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
designed,none,1.0,1.0,1.0,1.0,0.9591999999999998,17.2,14.0,3.2,0.0,4.0,4.0,1.0,1.0,1.0,1.0
frame_mlp,none,0.7707445819949027,1.0,0.7713973902506718,0.08633775731472013,0.9589422358046429,16.0,14.0,2.0,0.0,4.0,2.6,0.06630934697302951,1.0,1.0,1.0
gru,none,1.0,1.0,1.0,1.0,0.9591999999999998,16.4,14.0,2.4,0.0,4.0,4.0,1.0,1.0,1.0,1.0
reactive,none,0.4620213966416502,1.0,0.0,0.029985666144607116,0.7506927412688362,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,body,0.9699471887225609,1.0,0.6799466248983743,1.0,0.9591999999999998,16.6,14.0,2.6,0.0,3.2,2.0,1.0,1.0,1.0,1.0
return_selected_gru,environment,1.0,1.0,0.9036058134247844,1.0,0.9591999999999998,17.6,14.0,3.6,0.0,3.0,4.0,1.0,1.0,1.0,1.0
return_selected_gru,infrastructure,0.6883552478421937,1.0,0.58,0.045108192472229844,0.9521131309643385,15.2,14.0,1.2,0.0,4.0,0.0,0.012742720013141588,1.0,1.0,1.0
return_selected_gru,none,1.0,1.0,0.9703657777647685,1.0,0.9591999999999998,17.4,14.0,3.4,0.0,3.2,4.0,1.0,1.0,1.0,1.0
return_selected_gru,previous_action,1.0,1.0,0.9777542711926175,1.0,0.9591999999999998,16.4,14.0,2.4,0.0,3.0,4.0,1.0,1.0,1.0,1.0
return_selected_gru,social_culture,1.0,1.0,0.9277949064916644,1.0,0.9588923062640854,17.0,14.0,3.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0
return_selected_gru,tools,0.998387144323007,1.0,0.9945667816492095,1.0,0.9545006774504827,15.4,14.0,1.4,0.0,3.0,4.0,0.8733995590002251,1.0,1.0,1.0
