exchange_id,year,seller_household,buyer_household,good,need_addressed,price_token,fairness_score,reciprocity_memory,sensory_marker,consequence
market_0_westkeepers_to_mossgarden,0,westkeepers,mossgarden,dry bridge token,safe passage,ka-mu-0,0.795,Mossgarden owes return-care to Westkeepers if scarcity repeats,"chalk dust, warm metal, echoing steps",trust ledger updates and household need pressure decreases
market_0_mossgarden_to_ledgerkin,0,mossgarden,ledgerkin,warm seed cake,hunger and comfort,mu-lo-0,0.795,Ledgerkin owes return-care to Mossgarden if scarcity repeats,"wet moss, seed oil, low humming",trust ledger updates and household need pressure decreases
market_0_ledgerkin_to_redstair,0,ledgerkin,redstair,fair-count thread,memory of exchange,lo-sa-0,0.795,Redstair owes return-care to Ledgerkin if scarcity repeats,"coin-clicks, wool thread, dry wood",trust ledger updates and household need pressure decreases
market_0_redstair_to_wheelwright,0,redstair,wheelwright,witness shell hour,dispute repair,sa-ni-0,0.795,Wheelwright owes return-care to Redstair if scarcity repeats,"cool clay, shell resonance, still air",trust ledger updates and household need pressure decreases
market_0_wheelwright_to_westkeepers,0,wheelwright,westkeepers,copper vane service,waterwheel continuity,ni-ka-0,0.795,Westkeepers owes return-care to Wheelwright if scarcity repeats,"river spray, copper tang, wheel pulse",trust ledger updates and household need pressure decreases
market_1_westkeepers_to_ledgerkin,1,westkeepers,ledgerkin,dry bridge token,safe passage,ka-lo-1,0.816,Ledgerkin owes return-care to Westkeepers if scarcity repeats,"chalk dust, warm metal, echoing steps",trust ledger updates and household need pressure decreases
market_1_mossgarden_to_redstair,1,mossgarden,redstair,warm seed cake,hunger and comfort,mu-sa-1,0.816,Redstair owes return-care to Mossgarden if scarcity repeats,"wet moss, seed oil, low humming",trust ledger updates and household need pressure decreases
market_1_ledgerkin_to_wheelwright,1,ledgerkin,wheelwright,fair-count thread,memory of exchange,lo-ni-1,0.816,Wheelwright owes return-care to Ledgerkin if scarcity repeats,"coin-clicks, wool thread, dry wood",trust ledger updates and household need pressure decreases
market_1_redstair_to_westkeepers,1,redstair,westkeepers,witness shell hour,dispute repair,sa-ka-1,0.816,Westkeepers owes return-care to Redstair if scarcity repeats,"cool clay, shell resonance, still air",trust ledger updates and household need pressure decreases
market_1_wheelwright_to_mossgarden,1,wheelwright,mossgarden,copper vane service,waterwheel continuity,ni-mu-1,0.816,Mossgarden owes return-care to Wheelwright if scarcity repeats,"river spray, copper tang, wheel pulse",trust ledger updates and household need pressure decreases
market_8_westkeepers_to_redstair,8,westkeepers,redstair,dry bridge token,safe passage,ka-sa-2,0.837,Redstair owes return-care to Westkeepers if scarcity repeats,"chalk dust, warm metal, echoing steps",trust ledger updates and household need pressure decreases
market_8_mossgarden_to_wheelwright,8,mossgarden,wheelwright,warm seed cake,hunger and comfort,mu-ni-2,0.837,Wheelwright owes return-care to Mossgarden if scarcity repeats,"wet moss, seed oil, low humming",trust ledger updates and household need pressure decreases
market_8_ledgerkin_to_westkeepers,8,ledgerkin,westkeepers,fair-count thread,memory of exchange,lo-ka-2,0.837,Westkeepers owes return-care to Ledgerkin if scarcity repeats,"coin-clicks, wool thread, dry wood",trust ledger updates and household need pressure decreases
market_8_redstair_to_mossgarden,8,redstair,mossgarden,witness shell hour,dispute repair,sa-mu-2,0.837,Mossgarden owes return-care to Redstair if scarcity repeats,"cool clay, shell resonance, still air",trust ledger updates and household need pressure decreases
