tick_id,agent_id,trace_event,payload_hash,public_selector,expected_public_signal,observed_public_signal,private_fields_redacted,replay_exportable,deterministic_order
0,Ari,public_ego_expression,v36-125837,#ego-Ari,Ari: turns away with object shielded; consent=no; respect=0.51,Ari: turns away with object shielded; consent=no; respect=0.51,True,True,1
2,Nia,public_ego_expression,v36-125472,#ego-Nia,Nia: turns away with object shielded; consent=no; respect=0.54,Nia: turns away with object shielded; consent=no; respect=0.54,True,True,2
4,Ivo,public_ego_expression,v36-894852,#ego-Ivo,Ivo: softens and faces avatar; consent=yes; respect=0.65,Ivo: softens and faces avatar; consent=yes; respect=0.65,True,True,3
7,Fay,public_ego_expression,v36-893005,#ego-Fay,Fay: softens and faces avatar; consent=yes; respect=0.72,Fay: softens and faces avatar; consent=yes; respect=0.72,True,True,4
9,Milo,public_ego_expression,v36-514849,#ego-Milo,Milo: lantern held between body and road; consent=yes_later; respect=0.57,Milo: lantern held between body and road; consent=yes_later; respect=0.57,True,True,5
11,Juno,public_ego_expression,v36-286347,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.67,Juno: elbows tucked around the wire; consent=yes_later; respect=0.67,True,True,6
12,Ari,public_ego_expression,v36-498966,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.55,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.55,True,True,7
14,Nia,public_ego_expression,v36-084877,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.56,Nia: chin lifted toward the spool; consent=yes_later; respect=0.56,True,True,8
16,Ivo,public_ego_expression,v36-002931,#ego-Ivo,Ivo: softens and faces avatar; consent=yes; respect=0.71,Ivo: softens and faces avatar; consent=yes; respect=0.71,True,True,9
17,Juno,public_ego_expression,v36-192133,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.68,Juno: elbows tucked around the wire; consent=yes_later; respect=0.68,True,True,10
19,Fay,public_ego_expression,v36-001073,#ego-Fay,Fay: softens and faces avatar; consent=yes; respect=0.78,Fay: softens and faces avatar; consent=yes; respect=0.78,True,True,11
21,Milo,public_ego_expression,v36-226836,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.50,Milo: turns away with object shielded; consent=no; respect=0.50,True,True,12
23,Juno,public_ego_expression,v36-431719,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.71,Juno: elbows tucked around the wire; consent=yes_later; respect=0.71,True,True,13
24,Ari,public_ego_expression,v36-352786,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.58,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.58,True,True,14
26,Nia,public_ego_expression,v36-976609,#ego-Nia,Nia: softens and faces avatar; consent=yes; respect=0.62,Nia: softens and faces avatar; consent=yes; respect=0.62,True,True,15
28,Ivo,public_ego_expression,v36-119276,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.72,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.72,True,True,16
31,Fay,public_ego_expression,v36-030323,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.79,Fay: hands open near the ledger; consent=yes_later; respect=0.79,True,True,17
33,Milo,public_ego_expression,v36-165616,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.43,Milo: turns away with object shielded; consent=no; respect=0.43,True,True,18
34,Ivo,public_ego_expression,v36-267633,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.76,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.76,True,True,19
35,Juno,public_ego_expression,v36-287335,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.75,Juno: elbows tucked around the wire; consent=yes_later; respect=0.75,True,True,20
36,Ari,public_ego_expression,v36-202311,#ego-Ari,Ari: turns away with object shielded; consent=no; respect=0.52,Ari: turns away with object shielded; consent=no; respect=0.52,True,True,21
38,Nia,public_ego_expression,v36-902986,#ego-Nia,Nia: softens and faces avatar; consent=yes; respect=0.68,Nia: softens and faces avatar; consent=yes; respect=0.68,True,True,22
39,Milo,public_ego_expression,v36-025321,#ego-Milo,Milo: softens and faces avatar; consent=yes; respect=0.49,Milo: softens and faces avatar; consent=yes; respect=0.49,True,True,23
40,Ivo,public_ego_expression,v36-172322,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.77,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.77,True,True,24
43,Fay,public_ego_expression,v36-084097,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.80,Fay: hands open near the ledger; consent=yes_later; respect=0.80,True,True,25
45,Milo,public_ego_expression,v36-131516,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.43,Milo: turns away with object shielded; consent=no; respect=0.43,True,True,26
47,Juno,public_ego_expression,v36-230018,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.68,Juno: turns away with object shielded; consent=no; respect=0.68,True,True,27
