generation,year,settlement_id,memory_key,event_summary,remembered_by,trust_norm,ownership_norm,consent_norm,storage_medium,survives_to_avatar_entry
1,30,riverbend,memory:riverbend:001,Generation 1 preserved dry crossing through object blessing using hand marks.,route council of riverbend,0.439264,0.464,0.43054,cedar ledger / spoken ritual,False
1,30,roofward,memory:roofward:001,Generation 1 preserved herb preservation through boundary asking using hand marks.,memory house of roofward,0.439848,0.484,0.42766,glass ledger / spoken ritual,False
1,30,archive,memory:archive:001,Generation 1 preserved signal memory through grief return using hand marks.,repair kinship of archive,0.441064,0.504,0.43054,inkstone ledger / spoken ritual,False
1,30,signal,memory:signal:001,Generation 1 preserved path visibility through child naming using hand marks.,route council of signal,0.438948,0.524,0.42766,copper ledger / spoken ritual,False
1,30,orchard,memory:orchard:001,Generation 1 preserved dry seed continuity through trade witness using hand marks.,memory house of orchard,0.440164,0.544,0.43054,clay ledger / spoken ritual,False
1,30,repair_ring,memory:repair_ring:001,Generation 1 preserved safe repair space through avatar waiting myth using hand marks.,repair kinship of repair_ring,0.440748,0.564,0.42766,bronze ledger / spoken ritual,False
2,60,riverbend,memory:riverbend:002,Generation 2 preserved dry crossing through boundary asking using hand marks.,route council of riverbend,0.444459,0.468,0.43408,cedar ledger / spoken ritual,True
2,60,roofward,memory:roofward:002,Generation 2 preserved herb preservation through grief return using hand marks.,memory house of roofward,0.445042,0.488,0.4312,glass ledger / spoken ritual,True
2,60,archive,memory:archive:002,Generation 2 preserved signal memory through child naming using hand marks.,repair kinship of archive,0.446259,0.508,0.43408,inkstone ledger / spoken ritual,True
2,60,signal,memory:signal:002,Generation 2 preserved path visibility through trade witness using hand marks.,route council of signal,0.444142,0.528,0.4312,copper ledger / spoken ritual,True
2,60,orchard,memory:orchard:002,Generation 2 preserved dry seed continuity through avatar waiting myth using hand marks.,memory house of orchard,0.445359,0.548,0.43408,clay ledger / spoken ritual,True
2,60,repair_ring,memory:repair_ring:002,Generation 2 preserved safe repair space through founding vow using hand marks.,repair kinship of repair_ring,0.445942,0.568,0.4312,bronze ledger / spoken ritual,True
3,90,riverbend,memory:riverbend:003,Generation 3 preserved dry crossing through grief return using hand marks.,route council of riverbend,0.449653,0.472,0.43762,cedar ledger / spoken ritual,False
3,90,roofward,memory:roofward:003,Generation 3 preserved herb preservation through child naming using hand marks.,memory house of roofward,0.45087,0.492,0.4405,glass ledger / spoken ritual,False
3,90,archive,memory:archive:003,Generation 3 preserved signal memory through trade witness using hand marks.,repair kinship of archive,0.451453,0.512,0.43762,inkstone ledger / spoken ritual,False
3,90,signal,memory:signal:003,Generation 3 preserved path visibility through avatar waiting myth using hand marks.,route council of signal,0.44997,0.532,0.4405,copper ledger / spoken ritual,False
3,90,orchard,memory:orchard:003,Generation 3 preserved dry seed continuity through founding vow using hand marks.,memory house of orchard,0.450553,0.552,0.43762,clay ledger / spoken ritual,False
3,90,repair_ring,memory:repair_ring:003,Generation 3 preserved safe repair space through seasonal repair using hand marks.,repair kinship of repair_ring,0.45177,0.572,0.4405,bronze ledger / spoken ritual,False
4,120,riverbend,memory:riverbend:004,Generation 4 preserved dry crossing through child naming using hand marks.,route council of riverbend,0.454848,0.476,0.44116,cedar ledger / spoken ritual,True
4,120,roofward,memory:roofward:004,Generation 4 preserved herb preservation through trade witness using hand marks.,memory house of roofward,0.456064,0.496,0.44404,glass ledger / spoken ritual,True
4,120,archive,memory:archive:004,Generation 4 preserved signal memory through avatar waiting myth using hand marks.,repair kinship of archive,0.456648,0.516,0.44116,inkstone ledger / spoken ritual,True
4,120,signal,memory:signal:004,Generation 4 preserved path visibility through founding vow using hand marks.,route council of signal,0.455164,0.536,0.44404,copper ledger / spoken ritual,True
4,120,orchard,memory:orchard:004,Generation 4 preserved dry seed continuity through seasonal repair using hand marks.,memory house of orchard,0.455748,0.556,0.44116,clay ledger / spoken ritual,True
4,120,repair_ring,memory:repair_ring:004,Generation 4 preserved safe repair space through object blessing using hand marks.,repair kinship of repair_ring,0.456964,0.576,0.44404,bronze ledger / spoken ritual,True
5,150,riverbend,memory:riverbend:005,Generation 5 preserved dry crossing through trade witness using hand marks.,route council of riverbend,0.460042,0.48,0.4447,cedar ledger / spoken ritual,False
5,150,roofward,memory:roofward:005,Generation 5 preserved herb preservation through avatar waiting myth using hand marks.,memory house of roofward,0.461259,0.5,0.44758,glass ledger / spoken ritual,False
5,150,archive,memory:archive:005,Generation 5 preserved signal memory through founding vow using hand marks.,repair kinship of archive,0.461842,0.52,0.4447,inkstone ledger / spoken ritual,False
5,150,signal,memory:signal:005,Generation 5 preserved path visibility through seasonal repair using hand marks.,route council of signal,0.460359,0.54,0.44758,copper ledger / spoken ritual,False
5,150,orchard,memory:orchard:005,Generation 5 preserved dry seed continuity through object blessing using hand marks.,memory house of orchard,0.460942,0.56,0.4447,clay ledger / spoken ritual,False
5,150,repair_ring,memory:repair_ring:005,Generation 5 preserved safe repair space through boundary asking using hand marks.,repair kinship of repair_ring,0.462159,0.58,0.44758,bronze ledger / spoken ritual,False
6,180,riverbend,memory:riverbend:006,Generation 6 preserved dry crossing through avatar waiting myth using hand marks.,route council of riverbend,0.46587,0.484,0.454,cedar ledger / spoken ritual,True
6,180,roofward,memory:roofward:006,Generation 6 preserved herb preservation through founding vow using hand marks.,memory house of roofward,0.466453,0.504,0.45112,glass ledger / spoken ritual,True
6,180,archive,memory:archive:006,Generation 6 preserved signal memory through seasonal repair using hand marks.,repair kinship of archive,0.46767,0.524,0.454,inkstone ledger / spoken ritual,True
6,180,signal,memory:signal:006,Generation 6 preserved path visibility through object blessing using hand marks.,route council of signal,0.465553,0.544,0.45112,copper ledger / spoken ritual,True
6,180,orchard,memory:orchard:006,Generation 6 preserved dry seed continuity through boundary asking using hand marks.,memory house of orchard,0.46677,0.564,0.454,clay ledger / spoken ritual,True
6,180,repair_ring,memory:repair_ring:006,Generation 6 preserved safe repair space through grief return using hand marks.,repair kinship of repair_ring,0.467353,0.584,0.45112,bronze ledger / spoken ritual,True
7,210,riverbend,memory:riverbend:007,Generation 7 preserved dry crossing through founding vow using hand marks.,route council of riverbend,0.471064,0.488,0.45754,cedar ledger / spoken ritual,False
7,210,roofward,memory:roofward:007,Generation 7 preserved herb preservation through seasonal repair using hand marks.,memory house of roofward,0.471648,0.508,0.45466,glass ledger / spoken ritual,False
7,210,archive,memory:archive:007,Generation 7 preserved signal memory through object blessing using hand marks.,repair kinship of archive,0.472864,0.528,0.45754,inkstone ledger / spoken ritual,False
7,210,signal,memory:signal:007,Generation 7 preserved path visibility through boundary asking using hand marks.,route council of signal,0.470748,0.548,0.45466,copper ledger / spoken ritual,False
7,210,orchard,memory:orchard:007,Generation 7 preserved dry seed continuity through grief return using hand marks.,memory house of orchard,0.471964,0.568,0.45754,clay ledger / spoken ritual,False
7,210,repair_ring,memory:repair_ring:007,Generation 7 preserved safe repair space through child naming using hand marks.,repair kinship of repair_ring,0.472548,0.588,0.45466,bronze ledger / spoken ritual,False
8,240,riverbend,memory:riverbend:008,Generation 8 preserved dry crossing through seasonal repair using hand marks.,route council of riverbend,0.476259,0.492,0.46108,cedar ledger / spoken ritual,True
8,240,roofward,memory:roofward:008,Generation 8 preserved herb preservation through object blessing using hand marks.,memory house of roofward,0.476842,0.512,0.4582,glass ledger / spoken ritual,True
8,240,archive,memory:archive:008,Generation 8 preserved signal memory through boundary asking using hand marks.,repair kinship of archive,0.478059,0.532,0.46108,inkstone ledger / spoken ritual,True
8,240,signal,memory:signal:008,Generation 8 preserved path visibility through grief return using hand marks.,route council of signal,0.475942,0.552,0.4582,copper ledger / spoken ritual,True
8,240,orchard,memory:orchard:008,Generation 8 preserved dry seed continuity through child naming using hand marks.,memory house of orchard,0.477159,0.572,0.46108,clay ledger / spoken ritual,True
8,240,repair_ring,memory:repair_ring:008,Generation 8 preserved safe repair space through trade witness using hand marks.,repair kinship of repair_ring,0.477742,0.592,0.4582,bronze ledger / spoken ritual,True
9,270,riverbend,memory:riverbend:009,Generation 9 preserved dry crossing through object blessing using hand marks.,route council of riverbend,0.481453,0.496,0.46462,cedar ledger / spoken ritual,True
9,270,roofward,memory:roofward:009,Generation 9 preserved herb preservation through boundary asking using hand marks.,memory house of roofward,0.48267,0.516,0.4675,glass ledger / spoken ritual,True
9,270,archive,memory:archive:009,Generation 9 preserved signal memory through grief return using hand marks.,repair kinship of archive,0.483253,0.536,0.46462,inkstone ledger / spoken ritual,True
9,270,signal,memory:signal:009,Generation 9 preserved path visibility through child naming using hand marks.,route council of signal,0.48177,0.556,0.4675,copper ledger / spoken ritual,True
9,270,orchard,memory:orchard:009,Generation 9 preserved dry seed continuity through trade witness using hand marks.,memory house of orchard,0.482353,0.576,0.46462,clay ledger / spoken ritual,True
9,270,repair_ring,memory:repair_ring:009,Generation 9 preserved safe repair space through avatar waiting myth using hand marks.,repair kinship of repair_ring,0.48357,0.596,0.4675,bronze ledger / spoken ritual,True
10,300,riverbend,memory:riverbend:010,Generation 10 preserved dry crossing through boundary asking using hand marks.,route council of riverbend,0.486648,0.5,0.46816,cedar ledger / spoken ritual,True
10,300,roofward,memory:roofward:010,Generation 10 preserved herb preservation through grief return using hand marks.,memory house of roofward,0.487864,0.52,0.47104,glass ledger / spoken ritual,True
10,300,archive,memory:archive:010,Generation 10 preserved signal memory through child naming using hand marks.,repair kinship of archive,0.488448,0.54,0.46816,inkstone ledger / spoken ritual,True
10,300,signal,memory:signal:010,Generation 10 preserved path visibility through trade witness using hand marks.,route council of signal,0.486964,0.56,0.47104,copper ledger / spoken ritual,True
10,300,orchard,memory:orchard:010,Generation 10 preserved dry seed continuity through avatar waiting myth using hand marks.,memory house of orchard,0.487548,0.58,0.46816,clay ledger / spoken ritual,True
10,300,repair_ring,memory:repair_ring:010,Generation 10 preserved safe repair space through founding vow using hand marks.,repair kinship of repair_ring,0.488764,0.6,0.47104,bronze ledger / spoken ritual,True
11,330,riverbend,memory:riverbend:011,Generation 11 preserved dry crossing through child naming using woven counters.,route council of riverbend,0.491842,0.504,0.4717,cedar ledger / spoken ritual,True
11,330,roofward,memory:roofward:011,Generation 11 preserved herb preservation through trade witness using woven counters.,memory house of roofward,0.493059,0.524,0.47458,glass ledger / spoken ritual,True
11,330,archive,memory:archive:011,Generation 11 preserved signal memory through avatar waiting myth using woven counters.,repair kinship of archive,0.493642,0.544,0.4717,inkstone ledger / spoken ritual,True
11,330,signal,memory:signal:011,Generation 11 preserved path visibility through founding vow using woven counters.,route council of signal,0.492159,0.564,0.47458,copper ledger / spoken ritual,True
11,330,orchard,memory:orchard:011,Generation 11 preserved dry seed continuity through seasonal repair using woven counters.,memory house of orchard,0.492742,0.584,0.4717,clay ledger / spoken ritual,True
11,330,repair_ring,memory:repair_ring:011,Generation 11 preserved safe repair space through object blessing using woven counters.,repair kinship of repair_ring,0.493959,0.604,0.47458,bronze ledger / spoken ritual,True
12,360,riverbend,memory:riverbend:012,Generation 12 preserved dry crossing through trade witness using woven counters.,route council of riverbend,0.49767,0.508,0.481,cedar ledger / spoken ritual,True
12,360,roofward,memory:roofward:012,Generation 12 preserved herb preservation through avatar waiting myth using woven counters.,memory house of roofward,0.498253,0.528,0.47812,glass ledger / spoken ritual,True
12,360,archive,memory:archive:012,Generation 12 preserved signal memory through founding vow using woven counters.,repair kinship of archive,0.49947,0.548,0.481,inkstone ledger / spoken ritual,True
12,360,signal,memory:signal:012,Generation 12 preserved path visibility through seasonal repair using woven counters.,route council of signal,0.497353,0.568,0.47812,copper ledger / spoken ritual,True
12,360,orchard,memory:orchard:012,Generation 12 preserved dry seed continuity through object blessing using woven counters.,memory house of orchard,0.49857,0.588,0.481,clay ledger / spoken ritual,True
12,360,repair_ring,memory:repair_ring:012,Generation 12 preserved safe repair space through boundary asking using woven counters.,repair kinship of repair_ring,0.499153,0.608,0.47812,bronze ledger / spoken ritual,True
13,390,riverbend,memory:riverbend:013,Generation 13 preserved dry crossing through avatar waiting myth using woven counters.,route council of riverbend,0.502864,0.512,0.48454,cedar ledger / spoken ritual,True
13,390,roofward,memory:roofward:013,Generation 13 preserved herb preservation through founding vow using woven counters.,memory house of roofward,0.503448,0.532,0.48166,glass ledger / spoken ritual,True
13,390,archive,memory:archive:013,Generation 13 preserved signal memory through seasonal repair using woven counters.,repair kinship of archive,0.504664,0.552,0.48454,inkstone ledger / spoken ritual,True
13,390,signal,memory:signal:013,Generation 13 preserved path visibility through object blessing using woven counters.,route council of signal,0.502548,0.572,0.48166,copper ledger / spoken ritual,True
13,390,orchard,memory:orchard:013,Generation 13 preserved dry seed continuity through boundary asking using woven counters.,memory house of orchard,0.503764,0.592,0.48454,clay ledger / spoken ritual,True
13,390,repair_ring,memory:repair_ring:013,Generation 13 preserved safe repair space through grief return using woven counters.,repair kinship of repair_ring,0.504348,0.612,0.48166,bronze ledger / spoken ritual,True
14,420,riverbend,memory:riverbend:014,Generation 14 preserved dry crossing through founding vow using woven counters.,route council of riverbend,0.508059,0.516,0.48808,cedar ledger / spoken ritual,True
14,420,roofward,memory:roofward:014,Generation 14 preserved herb preservation through seasonal repair using woven counters.,memory house of roofward,0.508642,0.536,0.4852,glass ledger / spoken ritual,True
14,420,archive,memory:archive:014,Generation 14 preserved signal memory through object blessing using woven counters.,repair kinship of archive,0.509859,0.556,0.48808,inkstone ledger / spoken ritual,True
14,420,signal,memory:signal:014,Generation 14 preserved path visibility through boundary asking using woven counters.,route council of signal,0.507742,0.576,0.4852,copper ledger / spoken ritual,True
14,420,orchard,memory:orchard:014,Generation 14 preserved dry seed continuity through grief return using woven counters.,memory house of orchard,0.508959,0.596,0.48808,clay ledger / spoken ritual,True
14,420,repair_ring,memory:repair_ring:014,Generation 14 preserved safe repair space through child naming using woven counters.,repair kinship of repair_ring,0.509542,0.616,0.4852,bronze ledger / spoken ritual,True
15,450,riverbend,memory:riverbend:015,Generation 15 preserved dry crossing through seasonal repair using woven counters.,route council of riverbend,0.513253,0.52,0.49162,cedar ledger / spoken ritual,True
15,450,roofward,memory:roofward:015,Generation 15 preserved herb preservation through object blessing using woven counters.,memory house of roofward,0.51447,0.54,0.4945,glass ledger / spoken ritual,True
15,450,archive,memory:archive:015,Generation 15 preserved signal memory through boundary asking using woven counters.,repair kinship of archive,0.515053,0.56,0.49162,inkstone ledger / spoken ritual,True
15,450,signal,memory:signal:015,Generation 15 preserved path visibility through grief return using woven counters.,route council of signal,0.51357,0.58,0.4945,copper ledger / spoken ritual,True
15,450,orchard,memory:orchard:015,Generation 15 preserved dry seed continuity through child naming using woven counters.,memory house of orchard,0.514153,0.6,0.49162,clay ledger / spoken ritual,True
15,450,repair_ring,memory:repair_ring:015,Generation 15 preserved safe repair space through trade witness using woven counters.,repair kinship of repair_ring,0.51537,0.62,0.4945,bronze ledger / spoken ritual,True
16,480,riverbend,memory:riverbend:016,Generation 16 preserved dry crossing through object blessing using woven counters.,route council of riverbend,0.518448,0.524,0.49516,cedar ledger / spoken ritual,True
16,480,roofward,memory:roofward:016,Generation 16 preserved herb preservation through boundary asking using woven counters.,memory house of roofward,0.519664,0.544,0.49804,glass ledger / spoken ritual,True
16,480,archive,memory:archive:016,Generation 16 preserved signal memory through grief return using woven counters.,repair kinship of archive,0.520248,0.564,0.49516,inkstone ledger / spoken ritual,True
16,480,signal,memory:signal:016,Generation 16 preserved path visibility through child naming using woven counters.,route council of signal,0.518764,0.584,0.49804,copper ledger / spoken ritual,True
16,480,orchard,memory:orchard:016,Generation 16 preserved dry seed continuity through trade witness using woven counters.,memory house of orchard,0.519348,0.604,0.49516,clay ledger / spoken ritual,True
16,480,repair_ring,memory:repair_ring:016,Generation 16 preserved safe repair space through avatar waiting myth using woven counters.,repair kinship of repair_ring,0.520564,0.624,0.49804,bronze ledger / spoken ritual,True
17,510,riverbend,memory:riverbend:017,Generation 17 preserved dry crossing through boundary asking using woven counters.,route council of riverbend,0.523642,0.528,0.4987,cedar ledger / spoken ritual,True
17,510,roofward,memory:roofward:017,Generation 17 preserved herb preservation through grief return using woven counters.,memory house of roofward,0.524859,0.548,0.50158,glass ledger / spoken ritual,True
17,510,archive,memory:archive:017,Generation 17 preserved signal memory through child naming using woven counters.,repair kinship of archive,0.525442,0.568,0.4987,inkstone ledger / spoken ritual,True
17,510,signal,memory:signal:017,Generation 17 preserved path visibility through trade witness using woven counters.,route council of signal,0.523959,0.588,0.50158,copper ledger / spoken ritual,True
17,510,orchard,memory:orchard:017,Generation 17 preserved dry seed continuity through avatar waiting myth using woven counters.,memory house of orchard,0.524542,0.608,0.4987,clay ledger / spoken ritual,True
17,510,repair_ring,memory:repair_ring:017,Generation 17 preserved safe repair space through founding vow using woven counters.,repair kinship of repair_ring,0.525759,0.628,0.50158,bronze ledger / spoken ritual,True
18,540,riverbend,memory:riverbend:018,Generation 18 preserved dry crossing through grief return using woven counters.,route council of riverbend,0.52947,0.532,0.508,cedar ledger / spoken ritual,True
18,540,roofward,memory:roofward:018,Generation 18 preserved herb preservation through child naming using woven counters.,memory house of roofward,0.530053,0.552,0.50512,glass ledger / spoken ritual,True
18,540,archive,memory:archive:018,Generation 18 preserved signal memory through trade witness using woven counters.,repair kinship of archive,0.53127,0.572,0.508,inkstone ledger / spoken ritual,True
18,540,signal,memory:signal:018,Generation 18 preserved path visibility through avatar waiting myth using woven counters.,route council of signal,0.529153,0.592,0.50512,copper ledger / spoken ritual,True
18,540,orchard,memory:orchard:018,Generation 18 preserved dry seed continuity through founding vow using woven counters.,memory house of orchard,0.53037,0.612,0.508,clay ledger / spoken ritual,True
18,540,repair_ring,memory:repair_ring:018,Generation 18 preserved safe repair space through seasonal repair using woven counters.,repair kinship of repair_ring,0.530953,0.632,0.50512,bronze ledger / spoken ritual,True
19,570,riverbend,memory:riverbend:019,Generation 19 preserved dry crossing through child naming using woven counters.,route council of riverbend,0.534664,0.536,0.51154,cedar ledger / spoken ritual,True
19,570,roofward,memory:roofward:019,Generation 19 preserved herb preservation through trade witness using woven counters.,memory house of roofward,0.535248,0.556,0.50866,glass ledger / spoken ritual,True
19,570,archive,memory:archive:019,Generation 19 preserved signal memory through avatar waiting myth using woven counters.,repair kinship of archive,0.536464,0.576,0.51154,inkstone ledger / spoken ritual,True
19,570,signal,memory:signal:019,Generation 19 preserved path visibility through founding vow using woven counters.,route council of signal,0.534348,0.596,0.50866,copper ledger / spoken ritual,True
19,570,orchard,memory:orchard:019,Generation 19 preserved dry seed continuity through seasonal repair using woven counters.,memory house of orchard,0.535564,0.616,0.51154,clay ledger / spoken ritual,True
19,570,repair_ring,memory:repair_ring:019,Generation 19 preserved safe repair space through object blessing using woven counters.,repair kinship of repair_ring,0.536148,0.636,0.50866,bronze ledger / spoken ritual,True
20,600,riverbend,memory:riverbend:020,Generation 20 preserved dry crossing through trade witness using woven counters.,route council of riverbend,0.539859,0.54,0.51508,cedar ledger / spoken ritual,True
20,600,roofward,memory:roofward:020,Generation 20 preserved herb preservation through avatar waiting myth using woven counters.,memory house of roofward,0.540442,0.56,0.5122,glass ledger / spoken ritual,True
20,600,archive,memory:archive:020,Generation 20 preserved signal memory through founding vow using woven counters.,repair kinship of archive,0.541659,0.58,0.51508,inkstone ledger / spoken ritual,True
20,600,signal,memory:signal:020,Generation 20 preserved path visibility through seasonal repair using woven counters.,route council of signal,0.539542,0.6,0.5122,copper ledger / spoken ritual,True
20,600,orchard,memory:orchard:020,Generation 20 preserved dry seed continuity through object blessing using woven counters.,memory house of orchard,0.540759,0.62,0.51508,clay ledger / spoken ritual,True
20,600,repair_ring,memory:repair_ring:020,Generation 20 preserved safe repair space through boundary asking using woven counters.,repair kinship of repair_ring,0.541342,0.64,0.5122,bronze ledger / spoken ritual,True
21,630,riverbend,memory:riverbend:021,Generation 21 preserved dry crossing through founding vow using water clocks.,route council of riverbend,0.545053,0.544,0.51862,cedar ledger / spoken ritual,True
21,630,roofward,memory:roofward:021,Generation 21 preserved herb preservation through seasonal repair using water clocks.,memory house of roofward,0.54627,0.564,0.5215,glass ledger / spoken ritual,True
21,630,archive,memory:archive:021,Generation 21 preserved signal memory through object blessing using water clocks.,repair kinship of archive,0.546853,0.584,0.51862,inkstone ledger / spoken ritual,True
21,630,signal,memory:signal:021,Generation 21 preserved path visibility through boundary asking using water clocks.,route council of signal,0.54537,0.604,0.5215,copper ledger / spoken ritual,True
21,630,orchard,memory:orchard:021,Generation 21 preserved dry seed continuity through grief return using water clocks.,memory house of orchard,0.545953,0.624,0.51862,clay ledger / spoken ritual,True
