tick_id,day,tick,household,infrastructure_id,resource,stock_before,produced,consumed,stock_after,shortage,exchange_partner,visible_ledger
0,1,0,West House,river_mill_bridge,planks,22.0,0.0,0.0,22.0,False,Roof House,West House:planks:22.00
1,1,1,Roof House,roof_greenhouse_cistern,water,42.0,0.0,0.0,42.0,False,Archive House,Roof House:water:42.00
2,1,2,Archive House,archive_public_kiosk,paper,18.0,0.3239,0.12,18.2039,False,Signal House,Archive House:paper:18.20
3,1,3,Signal House,dusk_signal_workshop,oil,16.0,0.0,0.0,16.0,False,West House,Signal House:oil:16.00
4,1,4,West House,river_mill_bridge,planks,22.0,0.0,0.0,22.0,False,Roof House,West House:planks:22.00
5,1,5,Roof House,roof_greenhouse_cistern,water,42.0,0.28719,0.12,42.16719,False,Archive House,Roof House:water:42.17
6,1,6,Archive House,archive_public_kiosk,paper,18.2039,0.0,0.0,18.2039,False,Signal House,Archive House:paper:18.20
7,1,7,Signal House,dusk_signal_workshop,oil,16.0,0.0,0.0,16.0,False,West House,Signal House:oil:16.00
8,1,8,West House,river_mill_bridge,planks,22.0,0.25048,0.12,22.13048,False,Roof House,West House:planks:22.13
9,1,9,Roof House,roof_greenhouse_cistern,water,42.16719,0.0,0.0,42.16719,False,Archive House,Roof House:water:42.17
10,1,10,Archive House,archive_public_kiosk,paper,18.2039,0.0,0.0,18.2039,False,Signal House,Archive House:paper:18.20
11,1,11,Signal House,dusk_signal_workshop,oil,16.0,0.22088,0.12,16.10088,False,West House,Signal House:oil:16.10
12,1,12,West House,river_mill_bridge,planks,22.13048,0.0,0.0,22.13048,False,Roof House,West House:planks:22.13
13,1,13,Roof House,roof_greenhouse_cistern,water,42.16719,0.0,0.0,42.16719,False,Archive House,Roof House:water:42.17
14,1,14,Archive House,archive_public_kiosk,paper,18.2039,0.324485,0.12,18.408385,False,Signal House,Archive House:paper:18.41
15,1,15,Signal House,dusk_signal_workshop,oil,16.10088,0.0,0.0,16.10088,False,West House,Signal House:oil:16.10
16,1,16,West House,river_mill_bridge,planks,22.13048,0.0,0.0,22.13048,False,Roof House,West House:planks:22.13
17,1,17,Roof House,roof_greenhouse_cistern,water,42.16719,0.0,0.0,42.16719,False,Archive House,Roof House:water:42.17
18,2,0,Archive House,archive_public_kiosk,paper,18.408385,0.0,0.0,18.308385,False,Signal House,Archive House:paper:18.31
19,2,1,Signal House,dusk_signal_workshop,oil,16.10088,0.0,0.0,16.10088,False,West House,Signal House:oil:16.10
20,2,2,West House,river_mill_bridge,planks,22.13048,0.216065,0.145,22.201545,False,Roof House,West House:planks:22.20
21,2,3,Roof House,roof_greenhouse_cistern,water,42.16719,0.0,0.0,42.16719,False,Archive House,Roof House:water:42.17
22,2,4,Archive House,archive_public_kiosk,paper,18.308385,0.0,0.0,18.308385,False,Signal House,Archive House:paper:18.31
23,2,5,Signal House,dusk_signal_workshop,oil,16.10088,0.326465,0.145,16.282345,False,West House,Signal House:oil:16.28
24,2,6,West House,river_mill_bridge,planks,22.201545,0.0,0.0,22.201545,False,Roof House,West House:planks:22.20
25,2,7,Roof House,roof_greenhouse_cistern,water,42.16719,0.252955,0.12,42.300145,False,Archive House,Roof House:water:42.30
26,2,8,Archive House,archive_public_kiosk,paper,18.308385,0.29007,0.145,18.453455,False,Signal House,Archive House:paper:18.45
27,2,9,Signal House,dusk_signal_workshop,oil,16.282345,0.0,0.0,16.182345,False,West House,Signal House:oil:16.18
28,2,10,West House,river_mill_bridge,planks,22.201545,0.0,0.0,22.201545,False,Roof House,West House:planks:22.20
29,2,11,Roof House,roof_greenhouse_cistern,water,42.300145,0.25336,0.145,42.408505,False,Archive House,Roof House:water:42.41
30,2,12,Archive House,archive_public_kiosk,paper,18.453455,0.0,0.0,18.453455,False,Signal House,Archive House:paper:18.45
31,2,13,Signal House,dusk_signal_workshop,oil,16.182345,0.0,0.0,16.182345,False,West House,Signal House:oil:16.18
32,2,14,West House,river_mill_bridge,planks,22.201545,0.21665,0.145,22.273195,False,Roof House,West House:planks:22.27
33,2,15,Roof House,roof_greenhouse_cistern,water,42.408505,0.0,0.0,42.408505,False,Archive House,Roof House:water:42.41
34,2,16,Archive House,archive_public_kiosk,paper,18.453455,0.290565,0.12,18.62402,False,Signal House,Archive House:paper:18.62
35,2,17,Signal House,dusk_signal_workshop,oil,16.182345,0.0,0.0,16.182345,False,West House,Signal House:oil:16.18
36,3,0,West House,river_mill_bridge,planks,22.273195,0.0,0.0,22.273195,False,Roof House,West House:planks:22.27
37,3,1,Roof House,roof_greenhouse_cistern,water,42.408505,0.0,0.0,42.408505,False,Archive House,Roof House:water:42.41
38,3,2,Archive House,archive_public_kiosk,paper,18.62402,0.25597,0.17,18.70999,False,Signal House,Archive House:paper:18.71
39,3,3,Signal House,dusk_signal_workshop,oil,16.182345,0.0,0.0,16.182345,False,West House,Signal House:oil:16.18
40,3,4,West House,river_mill_bridge,planks,22.273195,0.0,0.0,22.273195,False,Roof House,West House:planks:22.27
41,3,5,Roof House,roof_greenhouse_cistern,water,42.408505,0.218945,0.22,42.40745,False,Archive House,Roof House:water:42.41
42,3,6,Archive House,archive_public_kiosk,paper,18.70999,0.0,0.0,18.70999,False,Signal House,Archive House:paper:18.71
43,3,7,Signal House,dusk_signal_workshop,oil,16.182345,0.0,0.0,16.182345,False,West House,Signal House:oil:16.18
44,3,8,West House,river_mill_bridge,planks,22.273195,0.322235,0.17,22.42543,False,Roof House,West House:planks:22.43
45,3,9,Roof House,roof_greenhouse_cistern,water,42.40745,0.0,0.0,42.40745,False,Archive House,Roof House:water:42.41
46,3,10,Archive House,archive_public_kiosk,paper,18.70999,0.0,0.0,18.70999,False,Signal House,Archive House:paper:18.71
47,3,11,Signal House,dusk_signal_workshop,oil,16.182345,0.29232,0.17,16.304665,False,West House,Signal House:oil:16.30
48,3,12,West House,river_mill_bridge,planks,22.42543,0.0,0.0,22.42543,False,Roof House,West House:planks:22.43
49,3,13,Roof House,roof_greenhouse_cistern,water,42.40745,0.0,0.0,42.40745,False,Archive House,Roof House:water:42.41
50,3,14,Archive House,archive_public_kiosk,paper,18.70999,0.256555,0.17,18.796545,False,Signal House,Archive House:paper:18.80
51,3,15,Signal House,dusk_signal_workshop,oil,16.304665,0.0,0.0,16.304665,False,West House,Signal House:oil:16.30
52,3,16,West House,river_mill_bridge,planks,22.42543,0.0,0.0,22.42543,False,Roof House,West House:planks:22.43
53,3,17,Roof House,roof_greenhouse_cistern,water,42.40745,0.0,0.0,42.40745,False,Archive House,Roof House:water:42.41
54,4,0,Signal House,dusk_signal_workshop,oil,16.304665,0.0,0.0,16.304665,False,West House,Signal House:oil:16.30
55,4,1,West House,river_mill_bridge,planks,22.42543,0.0,0.0,22.42543,False,Roof House,West House:planks:22.43
56,4,2,Roof House,roof_greenhouse_cistern,water,42.40745,0.28962,0.12,42.57707,False,Archive House,Roof House:water:42.58
57,4,3,Archive House,archive_public_kiosk,paper,18.796545,0.0,0.0,18.796545,False,Signal House,Archive House:paper:18.80
58,4,4,Signal House,dusk_signal_workshop,oil,16.304665,0.0,0.0,16.304665,False,West House,Signal House:oil:16.30
59,4,5,West House,river_mill_bridge,planks,22.42543,0.25291,0.12,22.55834,False,Roof House,West House:planks:22.56
60,4,6,Roof House,roof_greenhouse_cistern,water,42.57707,0.0,0.0,42.57707,False,Archive House,Roof House:water:42.58
61,4,7,Archive House,archive_public_kiosk,paper,18.796545,0.0,0.0,18.796545,False,Signal House,Archive House:paper:18.80
62,4,8,Signal House,dusk_signal_workshop,oil,16.304665,0.222995,0.12,16.40766,False,West House,Signal House:oil:16.41
63,4,9,West House,river_mill_bridge,planks,22.55834,0.0,0.0,22.55834,False,Roof House,West House:planks:22.56
64,4,10,Roof House,roof_greenhouse_cistern,water,42.57707,0.0,0.0,42.57707,False,Archive House,Roof House:water:42.58
65,4,11,Archive House,archive_public_kiosk,paper,18.796545,0.32714,0.12,19.003685,False,Signal House,Archive House:paper:19.00
66,4,12,Signal House,dusk_signal_workshop,oil,16.40766,0.0,0.0,16.40766,False,West House,Signal House:oil:16.41
67,4,13,West House,river_mill_bridge,planks,22.55834,0.0,0.0,22.55834,False,Roof House,West House:planks:22.56
68,4,14,Roof House,roof_greenhouse_cistern,water,42.57707,0.290205,0.12,42.747275,False,Archive House,Roof House:water:42.75
69,4,15,Archive House,archive_public_kiosk,paper,19.003685,0.0,0.0,19.003685,False,Signal House,Archive House:paper:19.00
70,4,16,Signal House,dusk_signal_workshop,oil,16.40766,0.0,0.0,16.40766,False,West House,Signal House:oil:16.41
71,4,17,West House,river_mill_bridge,planks,22.55834,0.0,0.0,22.55834,False,Roof House,West House:planks:22.56
72,5,0,Roof House,roof_greenhouse_cistern,water,42.747275,0.0,0.0,42.647275,False,Archive House,Roof House:water:42.65
73,5,1,Archive House,archive_public_kiosk,paper,19.003685,0.0,0.0,19.003685,False,Signal House,Archive House:paper:19.00
74,5,2,Signal House,dusk_signal_workshop,oil,16.40766,0.32858,0.145,16.59124,False,West House,Signal House:oil:16.59
75,5,3,West House,river_mill_bridge,planks,22.55834,0.0,0.0,22.55834,False,Roof House,West House:planks:22.56
76,5,4,Roof House,roof_greenhouse_cistern,water,42.647275,0.2557,0.12,42.782975,False,Archive House,Roof House:water:42.78
77,5,5,Archive House,archive_public_kiosk,paper,19.003685,0.292725,0.145,19.15141,False,Signal House,Archive House:paper:19.15
78,5,6,Signal House,dusk_signal_workshop,oil,16.59124,0.0,0.0,16.59124,False,West House,Signal House:oil:16.59
79,5,7,West House,river_mill_bridge,planks,22.55834,0.0,0.0,22.55834,False,Roof House,West House:planks:22.56
80,5,8,Roof House,roof_greenhouse_cistern,water,42.782975,0.256105,0.145,42.89408,False,Archive House,Roof House:water:42.89
81,5,9,Archive House,archive_public_kiosk,paper,19.15141,0.0,0.0,19.15141,False,Signal House,Archive House:paper:19.15
82,5,10,Signal House,dusk_signal_workshop,oil,16.59124,0.0,0.0,16.59124,False,West House,Signal House:oil:16.59
83,5,11,West House,river_mill_bridge,planks,22.55834,0.218765,0.145,22.632105,False,Roof House,West House:planks:22.63
84,5,12,Roof House,roof_greenhouse_cistern,water,42.89408,0.0,0.0,42.89408,False,Archive House,Roof House:water:42.89
85,5,13,Archive House,archive_public_kiosk,paper,19.15141,0.29322,0.12,19.32463,False,Signal House,Archive House:paper:19.32
86,5,14,Signal House,dusk_signal_workshop,oil,16.59124,0.329165,0.145,16.775405,False,West House,Signal House:oil:16.78
87,5,15,West House,river_mill_bridge,planks,22.632105,0.21917,0.17,22.681275,False,Roof House,West House:planks:22.68
88,5,16,Roof House,roof_greenhouse_cistern,water,42.89408,0.0,0.0,42.89408,False,Archive House,Roof House:water:42.89
89,5,17,Archive House,archive_public_kiosk,paper,19.32463,0.0,0.0,19.32463,False,Signal House,Archive House:paper:19.32
90,6,0,Signal House,dusk_signal_workshop,oil,16.775405,0.0,0.0,16.775405,False,West House,Signal House:oil:16.78
91,6,1,West House,river_mill_bridge,planks,22.681275,0.0,0.0,22.681275,False,Roof House,West House:planks:22.68
92,6,2,Roof House,roof_greenhouse_cistern,water,42.89408,0.22169,0.17,42.94577,False,Archive House,Roof House:water:42.95
93,6,3,Archive House,archive_public_kiosk,paper,19.32463,0.0,0.0,19.32463,False,Signal House,Archive House:paper:19.32
94,6,4,Signal House,dusk_signal_workshop,oil,16.775405,0.0,0.0,16.775405,False,West House,Signal House:oil:16.78
95,6,5,West House,river_mill_bridge,planks,22.681275,0.324665,0.17,22.83594,False,Roof House,West House:planks:22.84
96,6,6,Roof House,roof_greenhouse_cistern,water,42.94577,0.0,0.0,42.94577,False,Archive House,Roof House:water:42.95
97,6,7,Archive House,archive_public_kiosk,paper,19.32463,0.0,0.0,19.32463,False,Signal House,Archive House:paper:19.32
98,6,8,Signal House,dusk_signal_workshop,oil,16.775405,0.29475,0.17,16.900155,False,West House,Signal House:oil:16.90
99,6,9,West House,river_mill_bridge,planks,22.83594,0.0,0.0,22.73594,False,Roof House,West House:planks:22.74
100,6,10,Roof House,roof_greenhouse_cistern,water,42.94577,0.0,0.05,42.89577,False,Archive House,Roof House:water:42.90
101,6,11,Archive House,archive_public_kiosk,paper,19.32463,0.258895,0.17,19.413525,False,Signal House,Archive House:paper:19.41
102,6,12,Signal House,dusk_signal_workshop,oil,16.900155,0.0,0.0,16.900155,False,West House,Signal House:oil:16.90
103,6,13,West House,river_mill_bridge,planks,22.73594,0.0,0.0,22.73594,False,Roof House,West House:planks:22.74
104,6,14,Roof House,roof_greenhouse_cistern,water,42.89577,0.222275,0.17,42.948045,False,Archive House,Roof House:water:42.95
105,6,15,Archive House,archive_public_kiosk,paper,19.413525,0.0,0.0,19.413525,False,Signal House,Archive House:paper:19.41
106,6,16,Signal House,dusk_signal_workshop,oil,16.900155,0.0,0.0,16.900155,False,West House,Signal House:oil:16.90
107,6,17,West House,river_mill_bridge,planks,22.73594,0.0,0.0,22.63594,False,Roof House,West House:planks:22.64
108,7,0,Roof House,roof_greenhouse_cistern,water,42.948045,0.0,0.0,42.948045,False,Archive House,Roof House:water:42.95
109,7,1,Archive House,archive_public_kiosk,paper,19.413525,0.22439,0.17,19.467915,False,Signal House,Archive House:paper:19.47
110,7,2,Signal House,dusk_signal_workshop,oil,16.900155,0.260335,0.12,17.04049,False,West House,Signal House:oil:17.04
111,7,3,West House,river_mill_bridge,planks,22.63594,0.29034,0.145,22.78128,False,Roof House,West House:planks:22.78
112,7,4,Roof House,roof_greenhouse_cistern,water,42.948045,0.0,0.0,42.948045,False,Archive House,Roof House:water:42.95
113,7,5,Archive House,archive_public_kiosk,paper,19.467915,0.224795,0.12,19.57271,False,Signal House,Archive House:paper:19.57
114,7,6,Signal House,dusk_signal_workshop,oil,17.04049,0.0,0.0,17.04049,False,West House,Signal House:oil:17.04
115,7,7,West House,river_mill_bridge,planks,22.78128,0.0,0.0,22.78128,False,Roof House,West House:planks:22.78
116,7,8,Roof House,roof_greenhouse_cistern,water,42.948045,0.32786,0.12,43.155905,False,Archive House,Roof House:water:43.16
117,7,9,Archive House,archive_public_kiosk,paper,19.57271,0.0,0.0,19.57271,False,Signal House,Archive House:paper:19.57
118,7,10,Signal House,dusk_signal_workshop,oil,17.04049,0.26083,0.17,17.13132,False,West House,Signal House:oil:17.13
119,7,11,West House,river_mill_bridge,planks,22.78128,0.290835,0.12,22.952115,False,Roof House,West House:planks:22.95
120,7,12,Roof House,roof_greenhouse_cistern,water,43.155905,0.328265,0.145,43.33917,False,Archive House,Roof House:water:43.34
121,7,13,Archive House,archive_public_kiosk,paper,19.57271,0.0,0.0,19.57271,False,Signal House,Archive House:paper:19.57
122,7,14,Signal House,dusk_signal_workshop,oil,17.13132,0.261235,0.12,17.272555,False,West House,Signal House:oil:17.27
123,7,15,West House,river_mill_bridge,planks,22.952115,0.0,0.0,22.852115,False,Roof House,West House:planks:22.85
124,7,16,Roof House,roof_greenhouse_cistern,water,43.33917,0.0,0.05,43.28917,False,Archive House,Roof House:water:43.29
125,7,17,Archive House,archive_public_kiosk,paper,19.57271,0.0,0.0,19.47271,False,Signal House,Archive House:paper:19.47
126,8,0,West House,river_mill_bridge,planks,22.852115,0.0,0.0,22.752115,False,Roof House,West House:planks:22.75
127,8,1,Roof House,roof_greenhouse_cistern,water,43.28917,0.25876,0.12,43.42793,False,Archive House,Roof House:water:43.43
128,8,2,Archive House,archive_public_kiosk,paper,19.47271,0.29547,0.145,19.62318,False,Signal House,Archive House:paper:19.62
129,8,3,Signal House,dusk_signal_workshop,oil,17.272555,0.0,0.0,17.272555,False,West House,Signal House:oil:17.27
130,8,4,West House,river_mill_bridge,planks,22.752115,0.0,0.0,22.752115,False,Roof House,West House:planks:22.75
131,8,5,Roof House,roof_greenhouse_cistern,water,43.42793,0.259165,0.145,43.542095,False,Archive House,Roof House:water:43.54
132,8,6,Archive House,archive_public_kiosk,paper,19.62318,0.0,0.0,19.62318,False,Signal House,Archive House:paper:19.62
133,8,7,Signal House,dusk_signal_workshop,oil,17.272555,0.0,0.0,17.272555,False,West House,Signal House:oil:17.27
134,8,8,West House,river_mill_bridge,planks,22.752115,0.22151,0.145,22.828625,False,Roof House,West House:planks:22.83
135,8,9,Roof House,roof_greenhouse_cistern,water,43.542095,0.0,0.05,43.492095,False,Archive House,Roof House:water:43.49
136,8,10,Archive House,archive_public_kiosk,paper,19.62318,0.295965,0.12,19.799145,False,Signal House,Archive House:paper:19.80
137,8,11,Signal House,dusk_signal_workshop,oil,17.272555,0.33182,0.145,17.359375,False,West House,Signal House:oil:17.36
138,8,12,West House,river_mill_bridge,planks,22.828625,0.221915,0.17,22.88054,False,Roof House,West House:planks:22.88
139,8,13,Roof House,roof_greenhouse_cistern,water,43.492095,0.0,0.0,43.492095,False,Archive House,Roof House:water:43.49
140,8,14,Archive House,archive_public_kiosk,paper,19.799145,0.29637,0.145,19.950515,False,Signal House,Archive House:paper:19.95
141,8,15,Signal House,dusk_signal_workshop,oil,17.359375,0.0,0.0,17.359375,False,West House,Signal House:oil:17.36
142,8,16,West House,river_mill_bridge,planks,22.88054,0.0,0.0,22.88054,False,Roof House,West House:planks:22.88
143,8,17,Roof House,roof_greenhouse_cistern,water,43.492095,0.0,0.0,43.392095,False,Archive House,Roof House:water:43.39
144,9,0,Archive House,archive_public_kiosk,paper,19.950515,0.0,0.0,19.850515,False,Signal House,Archive House:paper:19.85
145,9,1,Signal House,dusk_signal_workshop,oil,17.359375,0.0,0.0,17.359375,False,West House,Signal House:oil:17.36
146,9,2,West House,river_mill_bridge,planks,22.88054,0.32741,0.17,23.03795,False,Roof House,West House:planks:23.04
147,9,3,Roof House,roof_greenhouse_cistern,water,43.392095,0.0,0.0,43.392095,False,Archive House,Roof House:water:43.39
148,9,4,Archive House,archive_public_kiosk,paper,19.850515,0.0,0.0,19.850515,False,Signal House,Archive House:paper:19.85
149,9,5,Signal House,dusk_signal_workshop,oil,17.359375,0.297405,0.17,17.48678,False,West House,Signal House:oil:17.49
150,9,6,West House,river_mill_bridge,planks,23.03795,0.0,0.0,23.03795,False,Roof House,West House:planks:23.04
151,9,7,Roof House,roof_greenhouse_cistern,water,43.392095,0.0,0.0,43.292095,False,Archive House,Roof House:water:43.29
152,9,8,Archive House,archive_public_kiosk,paper,19.850515,0.261955,0.17,19.94247,False,Signal House,Archive House:paper:19.94
153,9,9,Signal House,dusk_signal_workshop,oil,17.48678,0.0,0.0,17.48678,False,West House,Signal House:oil:17.49
154,9,10,West House,river_mill_bridge,planks,23.03795,0.0,0.0,23.03795,False,Roof House,West House:planks:23.04
155,9,11,Roof House,roof_greenhouse_cistern,water,43.292095,0.22502,0.17,43.347115,False,Archive House,Roof House:water:43.35
156,9,12,Archive House,archive_public_kiosk,paper,19.94247,0.0,0.0,19.94247,False,Signal House,Archive House:paper:19.94
157,9,13,Signal House,dusk_signal_workshop,oil,17.48678,0.0,0.0,17.48678,False,West House,Signal House:oil:17.49
158,9,14,West House,river_mill_bridge,planks,23.03795,0.327995,0.17,23.195945,False,Roof House,West House:planks:23.20
159,9,15,Roof House,roof_greenhouse_cistern,water,43.347115,0.0,0.05,43.297115,False,Archive House,Roof House:water:43.30
160,9,16,Archive House,archive_public_kiosk,paper,19.94247,0.0,0.0,19.94247,False,Signal House,Archive House:paper:19.94
161,9,17,Signal House,dusk_signal_workshop,oil,17.48678,0.0,0.0,17.48678,False,West House,Signal House:oil:17.49
