tick_id,day,route_id,agent,follows_body_reaction_tick,delay_ticks,dialogue_line,bounded_refusal_available,recovery_choice_available,dialogue_visible,localstorage_memory_key,memory_written,private_workspace_hidden
6,1,riverbend_roofward,Fay,6,2,I noticed you chose the dry ridge. I can keep carrying the kit.,True,True,True,ssrm.v34.memory.riverbend_roofward,True,True
7,1,roofward_archive,Nia,7,1,The warm lane helped. I remember you waited instead of rushing me.,True,True,True,ssrm.v34.memory.roofward_archive,True,True
8,1,archive_signal,Milo,8,1,That path kept the spool clean. I can explain the pattern now.,True,True,True,ssrm.v34.memory.archive_signal,True,True
9,1,signal_orchard,Ivo,9,3,The loop gave us light. I trust that more than the short road tonight.,True,True,True,ssrm.v34.memory.signal_orchard,True,True
11,1,central_repair_ring,Pax,5,1,The outer path gave me room. I can finish the wire without shaking.,True,True,True,ssrm.v34.memory.central_repair_ring,True,True
12,2,riverbend_roofward,Fay,12,2,I noticed you chose the dry ridge. I can keep carrying the kit.,True,True,True,ssrm.v34.memory.riverbend_roofward,True,True
13,2,roofward_archive,Nia,7,1,The warm lane helped. I remember you waited instead of rushing me.,True,True,True,ssrm.v34.memory.roofward_archive,True,True
14,2,archive_signal,Milo,14,1,That path kept the spool clean. I can explain the pattern now.,True,True,True,ssrm.v34.memory.archive_signal,True,True
15,2,signal_orchard,Ivo,15,3,The loop gave us light. I trust that more than the short road tonight.,True,True,True,ssrm.v34.memory.signal_orchard,True,True
18,2,riverbend_roofward,Ari,18,1,I noticed you chose the dry ridge. I can keep carrying the kit.,True,True,True,ssrm.v34.memory.riverbend_roofward,True,True
20,2,archive_signal,Nia,20,3,That path kept the spool clean. I can explain the pattern now.,True,True,True,ssrm.v34.memory.archive_signal,True,True
21,2,signal_orchard,Milo,21,2,The loop gave us light. I trust that more than the short road tonight.,True,True,True,ssrm.v34.memory.signal_orchard,True,True
23,2,central_repair_ring,Juno,17,1,The outer path gave me room. I can finish the wire without shaking.,True,True,False,ssrm.v34.memory.central_repair_ring,True,True
24,3,riverbend_roofward,Ari,24,1,I noticed you chose the dry ridge. I can keep carrying the kit.,True,True,True,ssrm.v34.memory.riverbend_roofward,True,True
26,3,archive_signal,Nia,26,3,That path kept the spool clean. I can explain the pattern now.,True,True,True,ssrm.v34.memory.archive_signal,True,True
27,3,signal_orchard,Milo,27,2,The loop gave us light. I trust that more than the short road tonight.,True,True,True,ssrm.v34.memory.signal_orchard,True,True
30,3,riverbend_roofward,Fay,30,1,I noticed you chose the dry ridge. I can keep carrying the kit.,True,True,True,ssrm.v34.memory.riverbend_roofward,True,True
32,3,archive_signal,Milo,32,2,That path kept the spool clean. I can explain the pattern now.,True,True,True,ssrm.v34.memory.archive_signal,True,True
33,3,signal_orchard,Ivo,33,1,The loop gave us light. I trust that more than the short road tonight.,True,True,True,ssrm.v34.memory.signal_orchard,True,True
35,3,central_repair_ring,Pax,29,3,Back up. Sparks near my hands make me lose the thread.,True,True,True,ssrm.v34.memory.central_repair_ring,True,True
36,4,riverbend_roofward,Fay,36,1,I noticed you chose the dry ridge. I can keep carrying the kit.,True,True,True,ssrm.v34.memory.riverbend_roofward,True,True
