tick_index,agent,did_affect_me,caused_by,helpfulness,harmfulness,respect_signal,kindness_signal,confusion_signal,self_relevance,autonomy_pressure_delta,boundary_pressure,attribution_confidence,appraised_as
1,Ari,True,avatar,0.18,0.08,0.585,0.3578,0.08,0.7804,0.2926,0.236,0.88,ordinary_social_contact
2,Fay,True,avatar,0.18,0.5,0.3906,0.3242,0.08,0.835,0.4552,0.3889,0.88,ordinary_social_contact
3,Milo,True,avatar,0.18,0.71,0.3054,0.3074,0.16,1.0,0.5734,0.7101,0.88,self_boundary_pressure
4,Sol,True,avatar,0.72,0.08,0.7686,0.7304,0.08,0.7804,0.1144,0.0828,0.88,ego_repair_or_care_received
5,Ari,True,avatar,0.86,0.08,0.823,0.827,0.08,1.0,0.0546,0.252,0.88,ego_repair_or_care_received
6,Fay,True,avatar,0.69,0.08,0.7539,0.7097,0.08,0.7804,0.0835,0.0511,0.88,ordinary_social_contact
7,Milo,True,avatar,0.18,0.62,0.345,0.3146,0.62,1.0,0.532,0.6705,0.88,self_boundary_pressure
8,Sol,True,avatar,0.82,0.08,0.8036,0.7994,0.08,0.7804,0.0794,0.0528,0.88,ego_repair_or_care_received
9,Ari,True,avatar,0.66,0.08,0.753,0.689,0.08,0.7804,0.1246,0.092,0.88,ordinary_social_contact
10,Fay,True,avatar,0.18,0.39,0.439,0.333,0.16,1.0,0.4046,0.5605,0.88,self_boundary_pressure
11,Milo,True,weather,0.18,0.42,0.433,0.3306,0.08,0.6146,0.44,0.3625,0.88,environmental_discomfort
12,Sol,True,avatar,0.84,0.08,0.8106,0.8132,0.08,0.7804,0.0724,0.0468,0.88,ego_repair_or_care_received
13,Ari,True,avatar,0.18,0.46,0.4178,0.3274,0.62,0.8298,0.4674,0.4032,0.88,identity_confusion
14,Fay,True,avatar,0.58,0.08,0.7154,0.6338,0.08,0.7804,0.122,0.0841,0.88,ordinary_social_contact
15,Milo,True,Sol,0.18,0.68,0.3186,0.3098,0.54,0.8984,0.5596,0.6969,0.88,self_boundary_pressure
16,Sol,True,avatar,0.76,0.08,0.7826,0.758,0.08,1.0,0.1004,0.2908,0.88,ego_repair_or_care_received
17,Ari,True,avatar,0.18,0.08,0.585,0.3578,0.08,1.0,0.2926,0.456,0.88,ordinary_social_contact
18,Fay,True,avatar,0.18,0.5,0.3906,0.3242,0.08,0.835,0.4552,0.3889,0.88,ordinary_social_contact
19,Milo,True,avatar,0.18,0.71,0.3054,0.3074,0.16,1.0,0.5734,0.7101,0.88,self_boundary_pressure
