tick_id,day,session_id,settlement_id,resident_id,material_item,inventory_before,inventory_after,output_item,output_before,output_after,ui_widget_before,ui_widget_after,dom_patch_label,localstorage_written,rendered_delta_visible,no_magic_inventory
0,1,canvas-session-001,lichen_bridge,Luma,bell tin,840,838,mark signal bell canvas marker,0,1,bell tin:840,bell tin:838,inventory-chip:bell tin:-2,True,True,True
1,1,canvas-session-001,orchid_engine,Dax,orchid oil,840,839,stabilize steam kettle canvas marker,0,1,orchid oil:840,orchid oil:839,inventory-chip:orchid oil:-1,True,True,True
2,1,canvas-session-001,moss_ward,Tala,charcoal mark,840,839,drain rain path canvas marker,0,1,charcoal mark:840,charcoal mark:839,inventory-chip:charcoal mark:-1,True,True,True
3,1,canvas-session-001,glass_harbor,Nia,lamp oil,840,839,mend fog net canvas marker,0,1,lamp oil:840,lamp oil:839,inventory-chip:lamp oil:-1,True,True,True
4,1,canvas-session-001,cinder_garden,Pax,ember basket,840,839,cool ash path canvas marker,0,1,ember basket:840,ember basket:839,inventory-chip:ember basket:-1,True,True,True
5,1,canvas-session-001,lichen_bridge,Rin,meal token,840,839,repair meal ledger canvas marker,0,1,meal token:840,meal token:839,inventory-chip:meal token:-1,True,True,True
6,1,canvas-session-001,orchid_engine,Eli,steam seal,840,839,listen to valve pulse canvas marker,0,1,steam seal:840,steam seal:839,inventory-chip:steam seal:-1,True,True,True
7,1,canvas-session-001,moss_ward,Ari,reed bundle,840,839,patch blanket loom canvas marker,0,1,reed bundle:840,reed bundle:839,inventory-chip:reed bundle:-1,True,True,True
8,1,canvas-session-001,glass_harbor,Oren,glass bead,840,839,seal fog catcher canvas marker,0,1,glass bead:840,glass bead:839,inventory-chip:glass bead:-1,True,True,True
9,1,canvas-session-001,cinder_garden,Vale,cool stone,840,839,repair seed calendar canvas marker,0,1,cool stone:840,cool stone:839,inventory-chip:cool stone:-1,True,True,True
10,1,canvas-session-001,lichen_bridge,Sol,lichen glue,840,839,test rope bridge canvas marker,0,1,lichen glue:840,lichen glue:839,inventory-chip:lichen glue:-1,True,True,True
11,1,canvas-session-001,orchid_engine,Bea,valve grease,840,838,clean gear wash canvas marker,0,1,valve grease:840,valve grease:838,inventory-chip:valve grease:-2,True,True,True
12,1,canvas-session-001,moss_ward,Fay,dry clay,840,839,copy root ledger canvas marker,0,1,dry clay:840,dry clay:839,inventory-chip:dry clay:-1,True,True,True
13,1,canvas-session-001,glass_harbor,Puck,net fiber,840,839,mark crossing rope canvas marker,0,1,net fiber:840,net fiber:839,inventory-chip:net fiber:-1,True,True,True
14,1,canvas-session-001,cinder_garden,Wren,seed ink,840,839,shade seed rows canvas marker,0,1,seed ink:840,seed ink:839,inventory-chip:seed ink:-1,True,True,True
15,1,canvas-session-001,lichen_bridge,Kio,rope fiber,840,839,weave spare rope canvas marker,0,1,rope fiber:840,rope fiber:839,inventory-chip:rope fiber:-1,True,True,True
16,1,canvas-session-001,orchid_engine,Cai,gear cloth,840,839,tend orchid lamp canvas marker,0,1,gear cloth:840,gear cloth:839,inventory-chip:gear cloth:-1,True,True,True
17,1,canvas-session-001,moss_ward,Milo,moss cord,840,839,raise warm-cup shelf canvas marker,0,1,moss cord:840,moss cord:839,inventory-chip:moss cord:-1,True,True,True
18,2,canvas-session-001,cinder_garden,Vale,cool stone,839,838,shade seed rows canvas marker,1,2,cool stone:839,cool stone:838,inventory-chip:cool stone:-1,True,True,True
