tick,day,replay_id,scene_id,includes_free_move_vector,includes_proximity_dialogue,includes_inventory_transaction,includes_agent_reaction_state,includes_reload_snapshot,deterministic_order,replay_integrity_score
0,1,v22-replay-0000,v22-scene-d01,1,1,1,1,1,1,0.97619
1,1,v22-replay-0001,v22-scene-d01,1,1,1,1,1,1,1.0
2,1,v22-replay-0002,v22-scene-d01,1,1,1,1,1,1,1.0
3,1,v22-replay-0003,v22-scene-d01,1,1,1,1,1,1,1.0
4,1,v22-replay-0004,v22-scene-d01,1,False,1,1,1,1,0.964286
5,1,v22-replay-0005,v22-scene-d01,1,1,1,1,1,1,1.0
6,1,v22-replay-0006,v22-scene-d01,1,1,1,1,1,1,0.97619
7,1,v22-replay-0007,v22-scene-d01,1,1,1,1,0,1,0.916667
8,1,v22-replay-0008,v22-scene-d01,1,1,1,1,0,1,0.952381
9,1,v22-replay-0009,v22-scene-d01,1,1,1,1,0,1,0.845238
10,1,v22-replay-0010,v22-scene-d01,1,1,1,1,1,1,0.97619
11,1,v22-replay-0011,v22-scene-d01,1,1,1,1,1,1,0.904762
12,1,v22-replay-0012,v22-scene-d01,1,1,1,1,1,1,0.97619
13,1,v22-replay-0013,v22-scene-d01,1,1,1,1,1,1,0.97619
14,1,v22-replay-0014,v22-scene-d01,1,1,1,1,1,1,0.97619
15,1,v22-replay-0015,v22-scene-d01,1,1,1,1,1,1,0.97619
16,2,v22-replay-0016,v22-scene-d02,1,1,1,0,0,1,0.852381
17,2,v22-replay-0017,v22-scene-d02,1,1,1,1,1,1,0.97619
18,2,v22-replay-0018,v22-scene-d02,1,False,1,1,1,1,0.940476
19,2,v22-replay-0019,v22-scene-d02,1,1,1,1,0,1,0.916667
20,2,v22-replay-0020,v22-scene-d02,1,1,1,1,1,1,0.97619
21,2,v22-replay-0021,v22-scene-d02,1,1,1,1,1,1,0.97619
22,2,v22-replay-0022,v22-scene-d02,1,1,1,1,1,1,0.97619
23,2,v22-replay-0023,v22-scene-d02,1,1,1,1,1,1,0.97619
24,2,v22-replay-0024,v22-scene-d02,1,1,1,1,1,1,0.904762
25,2,v22-replay-0025,v22-scene-d02,1,1,1,1,1,1,0.97619
26,2,v22-replay-0026,v22-scene-d02,1,1,1,1,1,1,0.97619
27,2,v22-replay-0027,v22-scene-d02,1,1,1,1,1,1,0.97619
28,2,v22-replay-0028,v22-scene-d02,1,1,1,1,1,1,0.904762
29,2,v22-replay-0029,v22-scene-d02,1,1,1,1,1,1,0.97619
30,2,v22-replay-0030,v22-scene-d02,1,1,1,1,1,1,0.97619
31,2,v22-replay-0031,v22-scene-d02,1,1,1,1,1,1,0.97619
32,3,v22-replay-0032,v22-scene-d03,1,1,1,1,1,1,0.904762
33,3,v22-replay-0033,v22-scene-d03,1,1,1,1,1,1,0.97619
34,3,v22-replay-0034,v22-scene-d03,1,1,1,1,1,1,0.97619
35,3,v22-replay-0035,v22-scene-d03,1,False,1,1,1,1,0.940476
36,3,v22-replay-0036,v22-scene-d03,1,1,1,1,1,1,0.97619
37,3,v22-replay-0037,v22-scene-d03,1,1,1,1,1,1,1.0
38,3,v22-replay-0038,v22-scene-d03,1,1,1,1,1,1,1.0
39,3,v22-replay-0039,v22-scene-d03,1,1,1,1,1,1,0.97619
40,3,v22-replay-0040,v22-scene-d03,1,1,1,1,1,1,1.0
41,3,v22-replay-0041,v22-scene-d03,1,1,1,1,1,1,1.0
42,3,v22-replay-0042,v22-scene-d03,1,1,1,1,1,1,1.0
43,3,v22-replay-0043,v22-scene-d03,1,1,1,1,1,1,0.928571
44,3,v22-replay-0044,v22-scene-d03,1,1,1,1,1,1,1.0
45,3,v22-replay-0045,v22-scene-d03,1,1,1,1,1,1,0.928571
46,3,v22-replay-0046,v22-scene-d03,1,1,1,1,0,1,0.916667
47,3,v22-replay-0047,v22-scene-d03,1,1,1,1,1,1,0.904762
48,4,v22-replay-0048,v22-scene-d04,1,1,1,1,1,1,1.0
49,4,v22-replay-0049,v22-scene-d04,1,False,1,1,1,1,0.869048
50,4,v22-replay-0050,v22-scene-d04,1,1,1,1,1,1,0.97619
51,4,v22-replay-0051,v22-scene-d04,1,1,1,1,1,1,0.928571
