frame_id,generation,household,avatar_story_type,inherited_avatar_reputation,inherited_pressure_warning,inherited_care_story,entry_response_bias,legacy_decay,legacy_update_reason
1,1,Hearthnest,neutral_avatar_legacy,0.656708,0.216198,0.39636,ordinary distance until relationship updates,0.15,lineage memory blends care and caution
2,1,Routehall,neutral_avatar_legacy,0.652116,0.2169,0.391872,ordinary distance until relationship updates,0.15,lineage memory blends care and caution
3,1,Marketroof,neutral_avatar_legacy,0.652892,0.215712,0.392445,ordinary distance until relationship updates,0.15,lineage memory blends care and caution
4,1,Quietledger,neutral_avatar_legacy,0.651356,0.218376,0.391365,ordinary distance until relationship updates,0.15,lineage memory blends care and caution
5,1,Orchardring,neutral_avatar_legacy,0.653708,0.215244,0.393183,ordinary distance until relationship updates,0.15,lineage memory blends care and caution
6,1,Rainloft,neutral_avatar_legacy,0.65174,0.21771,0.391635,ordinary distance until relationship updates,0.15,lineage memory blends care and caution
7,2,Hearthnest,neutral_avatar_legacy,0.691006,0.213736,0.428657,ordinary distance until relationship updates,0.17,lineage memory blends care and caution
8,2,Routehall,neutral_avatar_legacy,0.682144,0.21507,0.420219,ordinary distance until relationship updates,0.17,lineage memory blends care and caution
9,2,Marketroof,neutral_avatar_legacy,0.683642,0.212813,0.421297,ordinary distance until relationship updates,0.17,lineage memory blends care and caution
10,2,Quietledger,neutral_avatar_legacy,0.680677,0.217874,0.419266,ordinary distance until relationship updates,0.17,lineage memory blends care and caution
11,2,Orchardring,neutral_avatar_legacy,0.685216,0.211924,0.422684,ordinary distance until relationship updates,0.17,lineage memory blends care and caution
12,2,Rainloft,neutral_avatar_legacy,0.681418,0.216609,0.419774,ordinary distance until relationship updates,0.17,lineage memory blends care and caution
13,3,Hearthnest,neutral_avatar_legacy,0.723064,0.212481,0.457378,ordinary distance until relationship updates,0.19,lineage memory blends care and caution
14,3,Routehall,neutral_avatar_legacy,0.71023,0.214383,0.445465,ordinary distance until relationship updates,0.19,lineage memory blends care and caution
15,3,Marketroof,neutral_avatar_legacy,0.712399,0.211164,0.446986,ordinary distance until relationship updates,0.19,lineage memory blends care and caution
16,3,Quietledger,neutral_avatar_legacy,0.708106,0.218383,0.444119,ordinary distance until relationship updates,0.19,lineage memory blends care and caution
17,3,Orchardring,neutral_avatar_legacy,0.714679,0.209895,0.448945,ordinary distance until relationship updates,0.19,lineage memory blends care and caution
18,3,Rainloft,neutral_avatar_legacy,0.709179,0.216578,0.444836,ordinary distance until relationship updates,0.19,lineage memory blends care and caution
19,4,Hearthnest,care_help_avatar_legacy,0.753038,0.212311,0.482953,allow careful greeting after sleep check,0.16,lineage memory blends care and caution
20,4,Routehall,neutral_avatar_legacy,0.73651,0.214725,0.467981,ordinary distance until relationship updates,0.21,lineage memory blends care and caution
21,4,Marketroof,neutral_avatar_legacy,0.739303,0.210639,0.469893,ordinary distance until relationship updates,0.21,lineage memory blends care and caution
22,4,Quietledger,neutral_avatar_legacy,0.733774,0.219801,0.46629,ordinary distance until relationship updates,0.21,lineage memory blends care and caution
23,4,Orchardring,neutral_avatar_legacy,0.74224,0.20903,0.472355,ordinary distance until relationship updates,0.21,lineage memory blends care and caution
24,4,Rainloft,neutral_avatar_legacy,0.735156,0.21751,0.467191,ordinary distance until relationship updates,0.21,lineage memory blends care and caution
25,5,Hearthnest,care_help_avatar_legacy,0.781073,0.213117,0.505758,allow careful greeting after sleep check,0.18,lineage memory blends care and caution
26,5,Routehall,care_help_avatar_legacy,0.76111,0.215992,0.488095,allow careful greeting after sleep check,0.18,lineage memory blends care and caution
27,5,Marketroof,care_help_avatar_legacy,0.764484,0.211127,0.490351,allow careful greeting after sleep check,0.18,lineage memory blends care and caution
28,5,Quietledger,care_help_avatar_legacy,0.757806,0.222037,0.4861,allow careful greeting after sleep check,0.18,lineage memory blends care and caution
29,5,Orchardring,care_help_avatar_legacy,0.768031,0.209211,0.493255,allow careful greeting after sleep check,0.18,lineage memory blends care and caution
30,5,Rainloft,care_help_avatar_legacy,0.759475,0.219309,0.487163,allow careful greeting after sleep check,0.18,lineage memory blends care and caution
31,6,Hearthnest,care_help_avatar_legacy,0.807306,0.214804,0.526127,allow careful greeting after sleep check,0.2,lineage memory blends care and caution
32,6,Routehall,care_help_avatar_legacy,0.784148,0.218093,0.506096,allow careful greeting after sleep check,0.2,lineage memory blends care and caution
33,6,Marketroof,care_help_avatar_legacy,0.788062,0.212527,0.508653,allow careful greeting after sleep check,0.2,lineage memory blends care and caution
