tick_id,day,route_id,agent,source_decision_day,delay_days,reaction_due,trust_before,trust_delta,trust_after,posture_reaction,proximity_delta,delayed_reaction_visible,persists_after_reload
0,1,riverbend_roofward,Ari,1,0,False,0.58,0.0,0.58,listening tilt,0.0,False,False
1,1,roofward_archive,Nia,1,0,False,0.58,0.0,0.58,careful pointing,0.0,False,False
2,1,archive_signal,Nia,1,0,False,0.58,0.0,0.58,careful pointing,0.0,False,False
3,1,signal_orchard,Ivo,1,0,False,0.58,0.0,0.58,listening tilt,0.0,False,False
4,1,orchard_riverbend,Ivo,1,0,False,0.58,0.0,0.58,careful pointing,0.0,False,False
5,1,central_repair_ring,Pax,1,0,False,0.58,0.0,0.58,listening tilt,0.0,False,False
6,1,riverbend_roofward,Ari,1,0,False,0.58,0.0,0.58,listening tilt,0.0,False,False
7,1,roofward_archive,Nia,1,0,False,0.58,0.0,0.58,careful pointing,0.0,False,False
8,1,archive_signal,Nia,1,0,True,0.58,0.01,0.59,guarded crossed arms,0.07,True,True
9,1,signal_orchard,Ivo,1,0,False,0.58,0.0,0.58,careful pointing,0.0,False,False
10,1,orchard_riverbend,Ivo,1,0,False,0.58,0.0,0.58,careful pointing,0.0,False,False
11,1,central_repair_ring,Pax,1,0,False,0.58,0.0,0.58,listening tilt,0.0,False,False
12,2,riverbend_roofward,Ari,2,1,True,0.58,0.018,0.598,open forward lean,-0.055,True,True
13,2,roofward_archive,Nia,2,1,True,0.58,0.018,0.598,open forward lean,-0.055,False,False
14,2,archive_signal,Nia,2,0,True,0.59,0.018,0.608,open forward lean,-0.055,True,True
15,2,signal_orchard,Ivo,2,0,True,0.58,0.01,0.59,guarded crossed arms,0.07,True,True
16,2,orchard_riverbend,Ivo,1,1,False,0.58,0.0,0.58,listening tilt,0.0,False,False
17,2,central_repair_ring,Pax,2,1,True,0.58,0.01,0.59,guarded crossed arms,0.07,True,True
18,2,riverbend_roofward,Ari,2,0,False,0.598,0.0,0.598,open forward lean,0.0,False,False
19,2,roofward_archive,Nia,2,0,False,0.598,0.0,0.598,listening tilt,0.0,False,False
20,2,archive_signal,Nia,2,0,True,0.608,0.01,0.618,guarded crossed arms,0.07,True,True
21,2,signal_orchard,Ivo,2,0,True,0.59,0.018,0.608,open forward lean,-0.055,True,True
22,2,orchard_riverbend,Ivo,1,1,False,0.58,0.0,0.58,listening tilt,0.0,False,False
23,2,central_repair_ring,Pax,2,0,False,0.59,0.0,0.59,guarded crossed arms,0.0,False,False
24,3,riverbend_roofward,Ari,3,1,True,0.598,0.018,0.616,open forward lean,-0.055,True,True
25,3,roofward_archive,Nia,2,1,False,0.598,0.0,0.598,route-board reach,0.0,False,False
26,3,archive_signal,Nia,3,0,True,0.618,0.018,0.636,open forward lean,-0.055,False,False
27,3,signal_orchard,Ivo,3,0,True,0.608,0.01,0.618,guarded crossed arms,0.07,True,True
28,3,orchard_riverbend,Ivo,3,0,False,0.58,0.0,0.58,route-board reach,0.0,False,False
29,3,central_repair_ring,Pax,2,1,False,0.59,0.0,0.59,guarded crossed arms,0.0,False,False
30,3,riverbend_roofward,Ari,3,0,False,0.616,0.0,0.616,open forward lean,0.0,False,False
31,3,roofward_archive,Nia,2,1,False,0.598,0.0,0.598,route-board reach,0.0,False,False
32,3,archive_signal,Nia,3,0,True,0.636,0.01,0.646,guarded crossed arms,0.07,True,True
33,3,signal_orchard,Ivo,3,0,True,0.618,0.018,0.636,open forward lean,-0.055,True,True
34,3,orchard_riverbend,Ivo,3,0,True,0.58,0.018,0.598,open forward lean,-0.055,True,True
35,3,central_repair_ring,Pax,2,1,False,0.59,0.0,0.59,guarded crossed arms,0.0,False,False
36,4,riverbend_roofward,Ari,4,1,True,0.616,0.018,0.634,open forward lean,-0.055,True,True
37,4,roofward_archive,Nia,2,2,False,0.598,0.0,0.598,open forward lean,0.0,False,False
38,4,archive_signal,Nia,4,1,True,0.646,0.01,0.656,guarded crossed arms,0.07,True,True
39,4,signal_orchard,Ivo,4,0,True,0.636,0.01,0.646,guarded crossed arms,0.07,False,False
40,4,orchard_riverbend,Ivo,3,1,False,0.598,0.0,0.598,open forward lean,0.0,False,False
41,4,central_repair_ring,Pax,2,2,False,0.59,0.0,0.59,relieved reset stance,0.0,False,False
42,4,riverbend_roofward,Ari,4,0,False,0.634,0.0,0.634,open forward lean,0.0,False,False
