tick,day,agent_focus,branch_group_id,conflict_id,local_mutation_version,conflict_detected,arbitration_resolved,reload_followup_pending,rollback_isolated,sensory_frequency_hz,flower_phase,public_behavior_marker,sealed_private_workspace
0,1,Sova,v15-branch-group-01-000,v15-watch-01-000,15,0,0,0,1,1.724,15.95,watches without intervening,1
1,1,Keth,v15-branch-group-01-001,v15-conflict-01-001,15,1,1,0,1,1.68923,151.7285,turns between both claimants,1
2,1,Melo,v15-branch-group-01-002,v15-conflict-01-002,15,1,1,1,1,1.721598,290.094695,turns between both claimants,1
3,1,Nari,v15-branch-group-01-003,v15-conflict-01-003,15,1,1,0,1,1.753847,68.417668,turns between both claimants,1
4,1,Ori,v15-branch-group-01-004,v15-conflict-01-004,15,1,1,0,1,1.785926,206.679189,turns between both claimants,1
5,1,Vonn,v15-branch-group-01-005,v15-conflict-01-005,15,1,1,0,1,1.884996,347.474848,turns between both claimants,1
6,1,Sova,v15-branch-group-01-006,v15-conflict-01-006,15,1,1,1,1,1.84943,122.964952,turns between both claimants,1
7,1,Keth,v15-branch-group-01-007,v15-watch-01-007,15,0,0,0,1,1.880816,260.975128,watches without intervening,1
8,2,Melo,v15-branch-group-02-008,v15-conflict-02-008,15,1,1,0,1,1.671957,38.896593,turns between both claimants,1
9,2,Nari,v15-branch-group-02-009,v15-conflict-02-009,15,1,1,0,1,1.702872,176.736082,turns between both claimants,1
10,2,Ori,v15-branch-group-02-010,v15-conflict-02-010,15,1,1,0,1,1.800794,317.115425,turns between both claimants,1
11,2,Vonn,v15-branch-group-02-011,v15-conflict-02-011,15,1,1,0,1,1.748327,86.478812,turns between both claimants,1
12,2,Sova,v15-branch-group-02-012,v15-conflict-02-012,15,1,1,0,1,1.778804,224.159792,turns between both claimants,1
13,2,Keth,v15-branch-group-02-013,v15-conflict-02-013,15,1,0,0,1,1.809247,1.828049,keeps distance and asks for review,1
14,2,Melo,v15-branch-group-02-014,v15-watch-02-014,15,0,0,0,1,1.839717,139.50606,watches without intervening,1
15,2,Nari,v15-branch-group-02-015,v15-conflict-02-015,15,1,1,0,1,1.937474,279.825696,turns between both claimants,1
16,3,Ori,v15-branch-group-03-016,v15-conflict-03-016,15,1,1,0,1,1.660973,54.97686,turns between both claimants,1
17,3,Vonn,v15-branch-group-03-017,v15-conflict-03-017,15,1,1,0,1,1.69186,192.806253,turns between both claimants,1
18,3,Sova,v15-branch-group-03-018,v15-conflict-03-018,15,1,1,1,1,1.72297,330.716333,turns between both claimants,1
19,3,Keth,v15-branch-group-03-019,v15-conflict-03-019,15,0,0,0,1,1.754323,108.714541,keeps distance and asks for review,1
20,3,Melo,v15-branch-group-03-020,v15-conflict-03-020,15,1,1,0,1,1.853124,249.41284,turns between both claimants,1
21,3,Nari,v15-branch-group-03-021,v15-watch-03-021,15,0,0,0,1,1.817764,24.977589,watches without intervening,1
22,3,Ori,v15-branch-group-03-022,v15-conflict-03-022,15,1,1,0,1,1.833978,157.487775,turns between both claimants,1
23,3,Vonn,v15-branch-group-03-023,v15-conflict-03-023,15,1,1,0,1,1.866207,295.803567,turns between both claimants,1
24,4,Sova,v15-branch-group-04-024,v15-conflict-04-024,15,1,1,0,1,1.658562,74.165184,turns between both claimants,1
25,4,Keth,v15-branch-group-04-025,v15-conflict-04-025,15,1,1,0,1,1.758187,215.16199,turns between both claimants,1
26,4,Melo,v15-branch-group-04-026,v15-conflict-04-026,15,1,0,1,1,1.72342,350.941788,keeps distance and asks for review,1
27,4,Nari,v15-branch-group-04-027,v15-conflict-04-027,15,1,1,0,1,1.7558,129.312192,turns between both claimants,1
28,4,Ori,v15-branch-group-04-028,v15-watch-04-028,15,0,0,0,1,1.788068,267.642023,watches without intervening,1
29,4,Vonn,v15-branch-group-04-029,v15-conflict-04-029,15,1,1,1,1,1.820172,45.912623,turns between both claimants,1
30,4,Sova,v15-branch-group-04-030,v15-conflict-04-030,15,1,1,1,1,1.919272,186.71902,turns between both claimants,1
