tick,day,scene_id,agent,sound_rate_hz,movement_rate_hz,object_resonance_hz,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_consequence,flower_phase
0,1,v23-scene-d01,Keth,1.3,1.2,2.09,17.21,0.11,0.12,0.02,1,82.29
1,1,v23-scene-d01,Ori,1.23,1.18,2.0,17.21,0.11,0.04,0.02,0,216.997764
2,1,v23-scene-d01,Ori,1.32,1.2,2.22,17.21,0.11,0.12,0.02,1,359.075528
3,1,v23-scene-d01,Nari,1.36,1.2,2.61,17.21,0.11,-0.09,0.08,1,141.553292
4,1,v23-scene-d01,Sova,1.34,1.2,3.0,18.26,0.11,0.04,0.02,1,283.011056
5,1,v23-scene-d01,Melo,1.35,1.18,2.91,17.21,0.11,0.04,0.02,1,59.07882
6,1,v23-scene-d01,Nari,1.42,1.39,2.74,17.21,0.11,0.12,0.05,1,202.416584
7,1,v23-scene-d01,Ori,1.29,1.35,2.78,17.21,0.11,0.08,0.02,1,336.914348
8,1,v23-scene-d01,Sova,1.41,1.2,2.35,18.26,0.11,-0.09,0.08,1,107.082112
9,1,v23-scene-d01,Nari,1.37,1.35,2.13,17.21,0.11,0.08,0.02,1,246.139876
10,1,v23-scene-d01,Sova,1.46,1.39,2.61,18.26,0.11,0.12,0.05,1,31.69764
11,1,v23-scene-d01,Keth,1.47,1.32,2.35,17.21,0.11,0.04,0.02,1,164.345404
12,1,v23-scene-d01,Ori,1.42,1.35,2.26,17.21,0.11,0.08,0.02,1,300.943168
13,1,v23-scene-d01,Melo,1.43,1.18,2.78,17.21,0.11,0.04,0.02,1,79.070932
14,1,v23-scene-d01,Keth,1.5,1.32,2.74,17.21,0.11,0.12,0.02,0,221.668696
15,1,v23-scene-d01,Nari,1.51,1.37,3.0,17.21,0.11,0.08,0.02,1,3.75646
16,2,v23-scene-d02,Nari,1.36,1.37,3.13,17.22,0.11,0.16,0.02,1,140.144224
17,2,v23-scene-d02,Ori,1.23,1.3,2.91,17.22,0.11,0.04,0.02,1,270.851988
18,2,v23-scene-d02,Vonn,1.35,1.2,2.87,17.22,0.11,-0.09,0.08,1,46.859752
19,2,v23-scene-d02,Vonn,1.39,1.39,2.48,16.47,0.27,0.12,0.05,1,186.647516
20,2,v23-scene-d02,Melo,1.4,1.37,2.61,17.22,0.11,0.16,0.02,1,325.13528
21,2,v23-scene-d02,Keth,1.35,1.3,2.39,17.22,0.11,0.04,0.02,1,97.203044
22,2,v23-scene-d02,Sova,1.42,1.37,2.74,18.27,0.11,0.16,0.02,1,241.920808
23,2,v23-scene-d02,Keth,1.29,1.3,2.65,17.22,0.11,0.04,0.02,1,14.058572
24,2,v23-scene-d02,Melo,1.44,1.32,3.13,17.22,0.11,0.04,0.02,1,160.016336
25,2,v23-scene-d02,Nari,1.39,1.35,2.78,17.22,0.11,0.08,0.02,1,293.7541
26,2,v23-scene-d02,Vonn,1.46,1.37,2.74,17.22,0.11,0.16,0.02,1,72.631864
27,2,v23-scene-d02,Nari,1.47,1.37,3.13,17.22,0.11,0.16,0.02,1,214.599628
28,2,v23-scene-d02,Ori,1.34,1.35,2.0,17.22,0.11,0.08,0.02,1,336.847392
29,2,v23-scene-d02,Sova,1.43,1.35,2.65,18.27,0.11,0.08,0.02,1,123.035156
30,2,v23-scene-d02,Keth,1.5,1.32,2.48,17.22,0.11,0.12,0.02,1,258.93292
31,2,v23-scene-d02,Melo,1.51,1.39,2.87,17.22,0.11,0.12,0.02,1,43.070684
32,3,v23-scene-d03,Ori,1.22,1.3,2.52,17.23,0.11,0.04,0.02,1,169.008448
33,3,v23-scene-d03,Nari,1.31,1.35,2.91,17.23,0.11,0.08,0.02,1,313.886212
34,3,v23-scene-d03,Sova,1.41,1.32,2.22,18.28,0.11,-0.09,0.08,1,84.573976
35,3,v23-scene-d03,Keth,1.39,1.32,3.13,17.23,0.11,0.12,0.02,1,231.75174
36,3,v23-scene-d03,Sova,1.43,1.39,2.48,18.28,0.11,-0.03,0.05,1,4.959504
37,3,v23-scene-d03,Sova,1.35,1.39,2.35,18.28,0.11,0.12,0.02,1,139.677268
38,3,v23-scene-d03,Melo,1.42,1.37,2.61,17.23,0.11,0.08,0.02,1,280.615032
