slot_id,year,tick,seller_household,buyer_household,good,price_token,fairness_score,shortage_pressure,schedule_dependency,playable_action,consequence_trace
market_slot_agent_0_westkeepers,0,100,westkeepers,ledgerkin,dry route pass,kase0,0.8,0.4,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ka00 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_0_mossgarden,0,107,mossgarden,redstair,seed meal and blanket hour,muse0,0.8,0.4,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Mu01 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_0_ledgerkin,0,114,ledgerkin,wheelwright,fair-count thread,lose0,0.8,0.4,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Lo02 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_0_redstair,0,121,redstair,westkeepers,witness pause,sase0,0.8,0.4,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Sa03 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_0_wheelwright,0,128,wheelwright,mossgarden,vane repair service,nise0,0.8,0.4,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ni04 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_55_westkeepers,55,170,westkeepers,redstair,dry route pass,kave1,0.826,0.365,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ka10 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_55_mossgarden,55,177,mossgarden,wheelwright,seed meal and blanket hour,muve1,0.826,0.365,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Mu11 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_55_ledgerkin,55,184,ledgerkin,westkeepers,fair-count thread,love1,0.826,0.365,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Lo12 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_55_redstair,55,191,redstair,mossgarden,witness pause,save1,0.826,0.365,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Sa13 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_55_wheelwright,55,198,wheelwright,ledgerkin,vane repair service,nive1,0.826,0.365,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ni14 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_377_westkeepers,377,240,westkeepers,wheelwright,dry route pass,katr2,0.837,0.33,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ka20 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_377_mossgarden,377,247,mossgarden,westkeepers,seed meal and blanket hour,mutr2,0.837,0.41,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Mu21 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_377_ledgerkin,377,254,ledgerkin,mossgarden,fair-count thread,lotr2,0.837,0.33,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Lo22 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_377_redstair,377,261,redstair,ledgerkin,witness pause,satr2,0.837,0.33,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Sa23 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_377_wheelwright,377,268,wheelwright,redstair,vane repair service,nitr2,0.837,0.33,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ni24 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_987_westkeepers,987,310,westkeepers,westkeepers,dry route pass,kasq3,0.878,0.295,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ka30 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_987_mossgarden,987,317,mossgarden,mossgarden,seed meal and blanket hour,musq3,0.878,0.375,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Mu31 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_987_ledgerkin,987,324,ledgerkin,ledgerkin,fair-count thread,losq3,0.878,0.295,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Lo32 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_987_redstair,987,331,redstair,redstair,witness pause,sasq3,0.878,0.295,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Sa33 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_987_wheelwright,987,338,wheelwright,wheelwright,vane repair service,nisq3,0.878,0.295,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ni34 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_1597_westkeepers,1597,380,westkeepers,mossgarden,dry route pass,kape4,0.904,0.26,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ka40 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_1597_mossgarden,1597,387,mossgarden,ledgerkin,seed meal and blanket hour,mupe4,0.904,0.26,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Mu41 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_1597_ledgerkin,1597,394,ledgerkin,redstair,fair-count thread,lope4,0.904,0.26,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Lo42 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_1597_redstair,1597,401,redstair,wheelwright,witness pause,sape4,0.904,0.26,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Sa43 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_1597_wheelwright,1597,408,wheelwright,westkeepers,vane repair service,nipe4,0.904,0.26,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ni44 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_2584_westkeepers,2584,450,westkeepers,ledgerkin,dry route pass,kahe5,0.93,0.225,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ka50 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_2584_mossgarden,2584,457,mossgarden,redstair,seed meal and blanket hour,muhe5,0.93,0.225,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Mu51 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_2584_ledgerkin,2584,464,ledgerkin,wheelwright,fair-count thread,lohe5,0.93,0.225,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Lo52 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_2584_redstair,2584,471,redstair,westkeepers,witness pause,sahe5,0.93,0.225,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Sa53 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_2584_wheelwright,2584,478,wheelwright,mossgarden,vane repair service,nihe5,0.93,0.225,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ni54 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_4181_westkeepers,4181,520,westkeepers,redstair,dry route pass,kafl6,0.956,0.19,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ka60 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_4181_mossgarden,4181,527,mossgarden,wheelwright,seed meal and blanket hour,mufl6,0.956,0.19,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Mu61 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_4181_ledgerkin,4181,534,ledgerkin,westkeepers,fair-count thread,lofl6,0.956,0.19,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Lo62 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_4181_redstair,4181,541,redstair,mossgarden,witness pause,safl6,0.956,0.19,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Sa63 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
market_slot_agent_4181_wheelwright,4181,548,wheelwright,ledgerkin,vane repair service,nifl6,0.956,0.19,"ritual first if storm, market first if hunger, witness first if dispute","Offer, refuse, barter, observe, or ask Ni64 to explain the price token.","updates trust ledger, body need pressure, and next ritual attendance"
