day,actor,kind,note,material,amount,material_delta,project_id,project_progress_before,project_progress_after,object_id,object_condition_before,object_condition_after,debt_id,debt_status,trade_fair,refused,labor_requested,labor_accepted,scarcity_blocked,ownership_preserved,consequence,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
1,Ari,gift,"Ari gives Fay dry resin dust for stove-shelf sealing, no repayment requested.",dry_resin,1,gift 1 dry_resin Ari->Fay,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,1.778,5,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
2,Fay,gift,Fay gifts a soft cloth wrap for Ari's brace gauge handle.,soft_cloth,1,gift 1 soft_cloth Fay->Ari,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,2.933,10,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
3,Milo,trade,Milo trades lamp oil for Ari's dry wood after both state terms.,lamp_oil,1,trade 1 lamp_oil for 1 dry_wood,,,,,,,,,True,False,False,,False,True,fair trade moved materials under stated terms,True,4.347,16,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
4,Ari,invest,Ari invests materials while keeping the brace gauge in his own hands.,,0,"invest {""copper_clip"": 1, ""dry_resin"": 2, ""dry_wood"": 1} into ari_west_brace",ari_west_brace,0.000,0.430,,,,,,True,False,False,,False,True,project progress was coupled to owner-held materials and labor,True,5.730,22,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
5,Fay,invest,Fay airs cloth and sets the first comfort-kit layer.,,0,"invest {""herb_bundle"": 1, ""soft_cloth"": 2} into fay_comfort_kit",fay_comfort_kit,0.000,0.340,,,,,,True,False,False,,False,True,project progress was coupled to owner-held materials and labor,True,6.891,27,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
6,Milo,invest,Milo traces only the map edge he chooses.,,0,"invest {""lamp_oil"": 1, ""map_vellum"": 1} into milo_route_archive",milo_route_archive,0.000,0.310,,,,,,True,False,False,,False,True,project progress was coupled to owner-held materials and labor,True,8.065,32,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
7,Avatar,borrow,Avatar borrows Fay's cloth with a due promise instead of treating it as free utility.,soft_cloth,1,borrow 0 soft_cloth from Fay; debt opened,,,,,,,avatar_owes_fay_cloth,open,True,False,False,,False,True,borrowed material created explicit debt,True,1.319,3,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
8,Milo,labor_request,Ari refuses night archive labor; Milo accepts the no and waits.,,0,labor terms recorded; no material moved,,,,,,,,,True,False,True,False,False,True,labor refusal preserved autonomy and did not punish the agent,True,4.097,15,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
9,Fay,trade,Fay trades herb scent for lamp oil to warm the comfort kit.,herb_bundle,1,trade 1 herb_bundle for 0 lamp_oil,,,,,,,,,True,False,False,,False,True,fair trade moved materials under stated terms,True,3.409,12,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
10,Avatar,repay,Avatar returns a replacement cloth before Fay asks twice.,soft_cloth,1,repay 1 soft_cloth to Fay,,,,,,,avatar_owes_fay_cloth,settled,True,False,False,,False,True,debt repayment restored access,True,4.578,17,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
11,Ari,wear,Brace gauge wears under calibration pressure.,,0,none,,,,brace_gauge,0.820,0.742,,,True,False,False,,False,True,object wear reduced condition and became repair pressure,True,5.494,21,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
12,Fay,wear,Blanket edge frays after repeated stove-corner use.,,0,none,,,,blue_blanket,0.760,0.690,,,True,False,False,,False,True,object wear reduced condition and became repair pressure,True,6.681,26,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
13,Milo,wear,Low lamp dims from long archive work.,,0,none,,,,low_lamp,0.700,0.604,,,True,False,False,,False,True,object wear reduced condition and became repair pressure,True,7.832,31,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
14,Ari,repair_object,Ari clips the gauge brace but cannot fully restore the notch.,,0,none,,,,brace_gauge,0.742,0.797,,,True,False,False,,False,True,object repair improved condition but did not reset wear history,True,3.164,11,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
15,Fay,invest,Fay advances the comfort kit after cloth repayment.,,0,"invest {""dry_wood"": 1, ""herb_bundle"": 1, ""soft_cloth"": 1} into fay_comfort_kit",fay_comfort_kit,0.340,0.590,,,,,,True,False,False,,False,True,project progress was coupled to owner-held materials and labor,True,2.700,9,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
16,Milo,borrow,Milo borrows Ari's copper clip under an explicit no-map-damage term.,copper_clip,1,borrow 0 copper_clip from Ari; debt opened,,,,,,,milo_owes_ari_clip,open,True,False,False,,False,True,borrowed material created explicit debt,True,3.871,14,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
17,Milo,invest,Milo advances the archive copy while the original map stays closed.,,0,"invest {""copper_clip"": 1, ""lamp_oil"": 1, ""map_vellum"": 1} into milo_route_archive",milo_route_archive,0.310,0.620,,,,,,True,False,False,,False,True,project progress was coupled to owner-held materials and labor,True,5.033,19,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
18,Avatar,trade,Ari refuses an underpriced labor-credit trade for dry resin.,dry_resin,1,refused unfair trade; no material moved,,,,,,,,,False,True,False,,False,True,unfair exchange blocked by refusal,True,5.984,23,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
19,Fay,labor_request,Milo helps Fay place the shelf only after map work is finished.,,0,labor terms recorded; no material moved,,,,,,,,,True,False,True,True,False,True,labor accepted under bounded terms,True,1.079,2,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
