tick,day,conflict_id,reload_restored,followup_agent,followup_prompt,asks_avatar_to_arbitrate,remembers_prior_selection,followup_after_reload_ok,public_memory_only
2,1,v15-conflict-01-002,0,Melo,"After reload, should marketline:protect:1:2 still take priority over orchardline:claim:1:5?",1,0,0,1
3,1,v15-conflict-01-003,1,Vonn,"After reload, should rainline:claim:1:6 still take priority over ledgerline:protect:1:3?",1,1,1,1
5,1,v15-conflict-01-005,1,Keth,"After reload, should routeline:claim:1:0 still take priority over rainline:protect:1:5?",1,1,1,1
6,1,v15-conflict-01-006,0,Sova,"After reload, should hearthline:protect:1:6 still take priority over marketline:claim:1:1?",1,0,0,1
8,2,v15-conflict-02-008,1,Melo,"After reload, should marketline:protect:2:0 still take priority over orchardline:claim:2:3?",1,1,1,1
9,2,v15-conflict-02-009,1,Vonn,"After reload, should rainline:claim:2:4 still take priority over ledgerline:protect:2:1?",1,1,1,1
11,2,v15-conflict-02-011,1,Keth,"After reload, should routeline:claim:2:6 still take priority over rainline:protect:2:3?",1,1,1,1
12,2,v15-conflict-02-012,1,Sova,"After reload, should hearthline:protect:2:4 still take priority over marketline:claim:2:7?",1,1,1,1
15,2,v15-conflict-02-015,1,Vonn,"After reload, should rainline:claim:2:2 still take priority over ledgerline:protect:2:7?",1,1,1,1
17,3,v15-conflict-03-017,1,Keth,"After reload, should routeline:claim:3:4 still take priority over rainline:protect:3:1?",1,1,1,1
18,3,v15-conflict-03-018,0,Sova,"After reload, should hearthline:protect:3:2 still take priority over marketline:claim:3:5?",1,0,0,1
20,3,v15-conflict-03-020,1,Melo,"After reload, should marketline:protect:3:4 still take priority over orchardline:claim:3:7?",1,1,1,1
24,4,v15-conflict-04-024,1,Sova,"After reload, should hearthline:protect:4:0 still take priority over marketline:claim:4:3?",1,1,1,1
26,4,v15-conflict-04-026,0,Melo,"After reload, should marketline:protect:4:2 still take priority over orchardline:claim:4:5?",1,0,0,1
27,4,v15-conflict-04-027,1,Vonn,"After reload, should rainline:claim:4:6 still take priority over ledgerline:protect:4:3?",1,1,1,1
29,4,v15-conflict-04-029,1,Keth,"After reload, should routeline:claim:4:0 still take priority over rainline:protect:4:5?",1,0,0,1
30,4,v15-conflict-04-030,0,Sova,"After reload, should hearthline:protect:4:6 still take priority over marketline:claim:4:1?",1,0,0,1
32,5,v15-conflict-05-032,1,Melo,"After reload, should marketline:protect:5:0 still take priority over orchardline:claim:5:3?",1,1,1,1
33,5,v15-conflict-05-033,1,Vonn,"After reload, should rainline:claim:5:4 still take priority over ledgerline:protect:5:1?",1,1,1,1
36,5,v15-conflict-05-036,1,Sova,"After reload, should hearthline:protect:5:4 still take priority over marketline:claim:5:7?",1,1,1,1
38,5,v15-conflict-05-038,0,Melo,"After reload, should marketline:protect:5:6 still take priority over orchardline:claim:5:1?",1,0,0,1
39,5,v15-conflict-05-039,1,Vonn,"After reload, should rainline:claim:5:2 still take priority over ledgerline:protect:5:7?",1,1,1,1
41,6,v15-conflict-06-041,0,Keth,"After reload, should routeline:claim:6:4 still take priority over rainline:protect:6:1?",1,0,0,1
44,6,v15-conflict-06-044,1,Melo,"After reload, should marketline:protect:6:4 still take priority over orchardline:claim:6:7?",1,1,1,1
45,6,v15-conflict-06-045,1,Vonn,"After reload, should rainline:claim:6:0 still take priority over ledgerline:protect:6:5?",1,1,1,1
47,6,v15-conflict-06-047,1,Keth,"After reload, should routeline:claim:6:2 still take priority over rainline:protect:6:7?",1,1,1,1
48,7,v15-conflict-07-048,1,Sova,"After reload, should hearthline:protect:7:0 still take priority over marketline:claim:7:3?",1,1,1,1
50,7,v15-conflict-07-050,0,Melo,"After reload, should marketline:protect:7:2 still take priority over orchardline:claim:7:5?",1,0,0,1
51,7,v15-conflict-07-051,1,Vonn,"After reload, should rainline:claim:7:6 still take priority over ledgerline:protect:7:3?",1,1,1,1
53,7,v15-conflict-07-053,1,Keth,"After reload, should routeline:claim:7:0 still take priority over rainline:protect:7:5?",1,1,1,1
54,7,v15-conflict-07-054,0,Sova,"After reload, should hearthline:protect:7:6 still take priority over marketline:claim:7:1?",1,0,0,1
57,8,v15-conflict-08-057,1,Vonn,"After reload, should rainline:claim:8:4 still take priority over ledgerline:protect:8:1?",1,1,1,1
59,8,v15-conflict-08-059,1,Keth,"After reload, should routeline:claim:8:6 still take priority over rainline:protect:8:3?",1,1,1,1
60,8,v15-conflict-08-060,1,Sova,"After reload, should hearthline:protect:8:4 still take priority over marketline:claim:8:7?",1,1,1,1
62,8,v15-conflict-08-062,0,Melo,"After reload, should marketline:protect:8:6 still take priority over orchardline:claim:8:1?",1,0,0,1
65,9,v15-conflict-09-065,1,Keth,"After reload, should routeline:claim:9:4 still take priority over rainline:protect:9:1?",1,1,1,1
66,9,v15-conflict-09-066,0,Sova,"After reload, should hearthline:protect:9:2 still take priority over marketline:claim:9:5?",1,0,0,1
68,9,v15-conflict-09-068,1,Melo,"After reload, should marketline:protect:9:4 still take priority over orchardline:claim:9:7?",1,1,1,1
71,9,v15-conflict-09-071,1,Keth,"After reload, should routeline:claim:9:2 still take priority over rainline:protect:9:7?",1,1,1,1
72,10,v15-conflict-10-072,1,Sova,"After reload, should hearthline:protect:10:0 still take priority over marketline:claim:10:3?",1,1,1,1
74,10,v15-conflict-10-074,0,Melo,"After reload, should marketline:protect:10:2 still take priority over orchardline:claim:10:5?",1,0,0,1
75,10,v15-conflict-10-075,1,Vonn,"After reload, should rainline:claim:10:6 still take priority over ledgerline:protect:10:3?",1,1,1,1
78,10,v15-conflict-10-078,0,Sova,"After reload, should hearthline:protect:10:6 still take priority over marketline:claim:10:1?",1,0,0,1
80,11,v15-conflict-11-080,1,Melo,"After reload, should marketline:protect:11:0 still take priority over orchardline:claim:11:3?",1,1,1,1
81,11,v15-conflict-11-081,1,Vonn,"After reload, should rainline:claim:11:4 still take priority over ledgerline:protect:11:1?",1,1,1,1
83,11,v15-conflict-11-083,1,Keth,"After reload, should routeline:claim:11:6 still take priority over rainline:protect:11:3?",1,1,1,1
86,11,v15-conflict-11-086,0,Melo,"After reload, should marketline:protect:11:6 still take priority over orchardline:claim:11:1?",1,0,0,1
87,11,v15-conflict-11-087,1,Vonn,"After reload, should rainline:claim:11:2 still take priority over ledgerline:protect:11:7?",1,0,0,1
89,12,v15-conflict-12-089,1,Keth,"After reload, should routeline:claim:12:4 still take priority over rainline:protect:12:1?",1,1,1,1
90,12,v15-conflict-12-090,0,Sova,"After reload, should hearthline:protect:12:2 still take priority over marketline:claim:12:5?",1,0,0,1
93,12,v15-conflict-12-093,1,Vonn,"After reload, should rainline:claim:12:0 still take priority over ledgerline:protect:12:5?",1,1,1,1
95,12,v15-conflict-12-095,1,Keth,"After reload, should routeline:claim:12:2 still take priority over rainline:protect:12:7?",1,1,1,1
96,13,v15-conflict-13-096,1,Sova,"After reload, should hearthline:protect:13:0 still take priority over marketline:claim:13:3?",1,1,1,1
99,13,v15-conflict-13-099,1,Vonn,"After reload, should rainline:claim:13:6 still take priority over ledgerline:protect:13:3?",1,1,1,1
101,13,v15-conflict-13-101,1,Keth,"After reload, should routeline:claim:13:0 still take priority over rainline:protect:13:5?",1,1,1,1
102,13,v15-conflict-13-102,0,Sova,"After reload, should hearthline:protect:13:6 still take priority over marketline:claim:13:1?",1,0,0,1
104,14,v15-conflict-14-104,1,Melo,"After reload, should marketline:protect:14:0 still take priority over orchardline:claim:14:3?",1,1,1,1
107,14,v15-conflict-14-107,1,Keth,"After reload, should routeline:claim:14:6 still take priority over rainline:protect:14:3?",1,1,1,1
108,14,v15-conflict-14-108,1,Sova,"After reload, should hearthline:protect:14:4 still take priority over marketline:claim:14:7?",1,1,1,1
110,14,v15-conflict-14-110,0,Melo,"After reload, should marketline:protect:14:6 still take priority over orchardline:claim:14:1?",1,0,0,1
111,14,v15-conflict-14-111,1,Vonn,"After reload, should rainline:claim:14:2 still take priority over ledgerline:protect:14:7?",1,1,1,1
