tick,day,ceremony_id,loop_id,witness_agents,ceremony_marker,spoken_formula,object_marker,ceremony_completed,ceremony_public,no_mystical_claim
0,1,v18-ceremony-d01-t00,v18-loop-001,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,0,0,1
1,1,v18-ceremony-d01-t01,v18-loop-001,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shared schedule knot; we can revisit without shame.,tally beads,0,0,1
2,1,v18-ceremony-d01-t02,v18-loop-001,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shorter turn; we can revisit without shame.,ink ledger,1,1,1
3,1,v18-ceremony-d01-t03,v18-loop-001,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shorter turn; we can revisit without shame.,sap hook,1,1,1
4,1,v18-ceremony-d01-t04,v18-loop-001,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark public witness; we can revisit without shame.,listening shell,0,0,1
5,1,v18-ceremony-d01-t05,v18-loop-001,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark quiet interval; we can revisit without shame.,ember bowl,1,1,1
6,1,v18-ceremony-d01-t06,v18-loop-002,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,1,1,1
7,1,v18-ceremony-d01-t07,v18-loop-002,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shared schedule knot; we can revisit without shame.,tally beads,1,1,1
8,1,v18-ceremony-d01-t08,v18-loop-002,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shorter turn; we can revisit without shame.,ink ledger,0,0,1
9,1,v18-ceremony-d01-t09,v18-loop-002,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shorter turn; we can revisit without shame.,sap hook,1,1,1
10,1,v18-ceremony-d01-t10,v18-loop-002,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark public witness; we can revisit without shame.,listening shell,1,1,1
11,1,v18-ceremony-d01-t11,v18-loop-002,Sova|Melo,reed knot,We keep no crowding while resting; we mark quiet interval; we can revisit without shame.,ember bowl,1,1,1
12,2,v18-ceremony-d02-t00,v18-loop-003,Melo|Ori,ember tap,We keep fair turns before tool access; we mark return marker; we can revisit without shame.,tally beads,0,0,1
13,2,v18-ceremony-d02-t01,v18-loop-003,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shared schedule knot; we can revisit without shame.,ink ledger,1,1,1
14,2,v18-ceremony-d02-t02,v18-loop-003,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shared schedule knot; we can revisit without shame.,sap hook,1,1,1
15,2,v18-ceremony-d02-t03,v18-loop-003,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark later help; we can revisit without shame.,listening shell,1,1,1
16,2,v18-ceremony-d02-t04,v18-loop-003,Sova|Melo,reed knot,We keep no crowding while resting; we mark public witness; we can revisit without shame.,ember bowl,1,1,1
17,2,v18-ceremony-d02-t05,v18-loop-003,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark quiet interval; we can revisit without shame.,path cord,1,1,1
18,2,v18-ceremony-d02-t06,v18-loop-004,Melo|Ori,ember tap,We keep fair turns before tool access; we mark return marker; we can revisit without shame.,tally beads,1,1,1
19,2,v18-ceremony-d02-t07,v18-loop-004,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shared schedule knot; we can revisit without shame.,ink ledger,1,1,1
20,2,v18-ceremony-d02-t08,v18-loop-004,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark shared schedule knot; we can revisit without shame.,sap hook,0,0,1
