tick_spec_id,tick_index,target_interval_ms,simulated_elapsed_ms,drift_ms,paused,save_due,replay_due
rt_001,1,250,249,-1,False,False,False
rt_002,2,250,505,6,False,False,False
rt_003,3,250,751,-4,False,False,False
rt_004,4,250,1004,3,False,False,False
rt_005,5,250,1247,-7,False,False,False
rt_006,6,250,1497,0,False,False,False
rt_007,7,250,1754,7,False,False,False
rt_008,8,250,2001,-3,False,False,False
rt_009,9,250,2255,4,False,False,False
rt_010,10,250,2499,-6,False,False,False
rt_011,11,250,2750,1,False,False,False
rt_012,12,250,3008,8,False,True,False
rt_013,13,250,3256,-2,False,False,False
rt_014,14,250,3511,5,False,False,False
rt_015,15,250,3756,-5,False,False,False
rt_016,16,250,4008,2,False,False,False
rt_017,17,250,4250,-8,False,False,False
rt_018,18,250,4499,-1,False,False,True
rt_019,19,250,4755,6,False,False,False
rt_020,20,250,5001,-4,False,False,False
rt_021,21,250,5254,3,False,False,False
rt_022,22,250,5497,-7,False,False,False
rt_023,23,250,5747,0,False,False,False
rt_024,24,250,6004,7,True,True,False
rt_025,25,250,6251,-3,False,False,False
rt_026,26,250,6505,4,False,False,False
rt_027,27,250,6749,-6,False,False,False
rt_028,28,250,7000,1,False,False,False
rt_029,29,250,7258,8,False,False,False
rt_030,30,250,7506,-2,False,False,False
rt_031,31,250,7761,5,False,False,False
rt_032,32,250,8006,-5,False,False,False
rt_033,33,250,8258,2,False,False,False
rt_034,34,250,8500,-8,False,False,False
rt_035,35,250,8749,-1,False,False,False
rt_036,36,250,9005,6,False,True,True
rt_037,37,250,9251,-4,False,False,False
rt_038,38,250,9504,3,False,False,False
rt_039,39,250,9747,-7,False,False,False
rt_040,40,250,9997,0,False,False,False
rt_041,41,250,10254,7,False,False,False
rt_042,42,250,10501,-3,False,False,False
rt_043,43,250,10755,4,False,False,False
rt_044,44,250,10999,-6,False,False,False
rt_045,45,250,11250,1,False,False,False
rt_046,46,250,11508,8,False,False,False
rt_047,47,250,11756,-2,False,False,False
rt_048,48,250,12011,5,True,True,False
rt_049,49,250,12256,-5,False,False,False
rt_050,50,250,12508,2,False,False,False
rt_051,51,250,12750,-8,False,False,False
rt_052,52,250,12999,-1,False,False,False
rt_053,53,250,13255,6,False,False,False
rt_054,54,250,13501,-4,False,False,True
rt_055,55,250,13754,3,False,False,False
rt_056,56,250,13997,-7,False,False,False
rt_057,57,250,14247,0,False,False,False
rt_058,58,250,14504,7,False,False,False
rt_059,59,250,14751,-3,False,False,False
rt_060,60,250,15005,4,False,True,False
rt_061,61,250,15249,-6,False,False,False
rt_062,62,250,15500,1,False,False,False
rt_063,63,250,15758,8,False,False,False
rt_064,64,250,16006,-2,False,False,False
rt_065,65,250,16261,5,False,False,False
rt_066,66,250,16506,-5,False,False,False
rt_067,67,250,16758,2,False,False,False
rt_068,68,250,17000,-8,False,False,False
rt_069,69,250,17249,-1,False,False,False
rt_070,70,250,17505,6,False,False,False
rt_071,71,250,17751,-4,False,False,False
rt_072,72,250,18004,3,False,True,True
