tick_id,day,season,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_route
0,1,spring_rain,riverbend_roofward,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
1,1,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
2,1,spring_rain,archive_signal,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
3,1,spring_rain,signal_orchard,blocked route sign,guild hammer stop,wet rope,cool damp,soaked,braced waiting,caravan-pulse,True
4,1,spring_rain,orchard_riverbend,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
5,1,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
6,1,spring_rain,riverbend_roofward,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
7,1,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
8,1,spring_rain,archive_signal,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
9,1,spring_rain,signal_orchard,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
10,1,spring_rain,orchard_riverbend,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
11,1,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
12,1,spring_rain,riverbend_roofward,blocked route sign,guild hammer stop,wet rope,cool damp,soaked,braced waiting,flower-node,True
13,1,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
14,2,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
15,2,spring_rain,signal_orchard,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
16,2,spring_rain,orchard_riverbend,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
17,2,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
18,2,spring_rain,riverbend_roofward,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
19,2,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
20,2,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
21,2,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
22,2,spring_rain,orchard_riverbend,blocked route sign,guild hammer stop,wet rope,cool damp,soaked,braced waiting,flower-node,True
23,2,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
24,2,spring_rain,riverbend_roofward,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
25,2,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
26,2,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
27,2,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
28,3,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
29,3,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
30,3,spring_rain,riverbend_roofward,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
31,3,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
32,3,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
33,3,spring_rain,signal_orchard,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
34,3,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
35,3,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
36,3,spring_rain,riverbend_roofward,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
37,3,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
38,3,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
39,3,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
40,3,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
41,3,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
42,4,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
43,4,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
44,4,spring_rain,archive_signal,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
45,4,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
46,4,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
47,4,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
48,4,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
49,4,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
50,4,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
51,4,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
52,4,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
53,4,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
54,4,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
55,4,spring_rain,roofward_archive,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
56,5,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
57,5,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
58,5,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
59,5,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
60,5,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
61,5,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
62,5,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
63,5,spring_rain,signal_orchard,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
64,5,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
65,5,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
66,5,spring_rain,riverbend_roofward,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
67,5,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
68,5,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
69,5,spring_rain,signal_orchard,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
70,6,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
71,6,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
72,6,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
73,6,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
74,6,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
75,6,spring_rain,signal_orchard,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
76,6,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
