seed,mutation_id,parent_practice_id,hint_id,interpretation_id,local_name,origin_household,status,adoption_count,maintenance_cost,risk_flags,not_predeclared_unlock,wrong_interpretation_still_useful
36217,36217-AHM-001-1,36217-EPG-001,36217-AHD-001,36217-AHI-001-1,storm-thread avoidance around smoke-bound/quiet-doubt safety limit practice,house_1,taboo,0,2,failed ancestor,True,False
36217,36217-AHM-001-3,36217-EPG-001,36217-AHD-001,36217-AHI-001-3,quiet sign waiting around smoke-bound/quiet-doubt safety limit practice,house_3,ritualized,1,3,failed ancestor,True,False
36217,36217-AHM-002-2,36217-EPG-002,36217-AHD-002,36217-AHI-002-2,dry keeping habit around smoke-bound/quiet-doubt schedule conflict practice,house_2,practical,1,2,ordinary upkeep,True,True
36217,36217-AHM-002-3,36217-EPG-002,36217-AHD-002,36217-AHI-002-3,storm-thread avoidance around smoke-bound/quiet-doubt schedule conflict practice,house_3,taboo,0,2,failed ancestor,True,False
36231,36231-AHM-003-2,36231-EPG-003,36231-AHD-003,36231-AHI-003-2,dry keeping habit around missing-repeat/quiet-doubt safety limit practice,house_0,practical,1,2,ordinary upkeep,True,True
36231,36231-AHM-003-3,36231-EPG-003,36231-AHD-003,36231-AHI-003-3,storm-thread avoidance around missing-repeat/quiet-doubt safety limit practice,house_1,taboo,0,2,failed ancestor,True,False
36231,36231-AHM-004-2,36231-EPG-004,36231-AHD-004,36231-AHI-004-2,quiet sign waiting around missing-repeat/quiet-doubt schedule conflict practice,house_0,ritualized,1,3,failed ancestor,True,False
36247,36247-AHM-005-1,36247-EPG-005,36247-AHD-005,36247-AHI-005-1,quiet sign waiting around grain pull/water-hush safety limit practice,house_3,ritualized,1,3,failed ancestor,True,False
36247,36247-AHM-005-3,36247-EPG-005,36247-AHD-005,36247-AHI-005-3,dry keeping habit around grain pull/water-hush safety limit practice,house_1,practical,1,2,ordinary upkeep,True,True
36247,36247-AHM-006-1,36247-EPG-006,36247-AHD-006,36247-AHI-006-1,storm-thread avoidance around grain pull/water-hush schedule conflict practice,house_3,taboo,0,2,failed ancestor,True,False
36247,36247-AHM-006-3,36247-EPG-006,36247-AHD-006,36247-AHI-006-3,quiet sign waiting around grain pull/water-hush schedule conflict practice,house_1,ritualized,1,3,failed ancestor,True,False
36263,36263-AHM-007-2,36263-EPG-007,36263-AHD-007,36263-AHI-007-2,quiet sign waiting around quiet sting/quiet-doubt safety limit practice,house_0,ritualized,1,3,failed ancestor,True,False
36263,36263-AHM-008-1,36263-EPG-008,36263-AHD-008,36263-AHI-008-1,dry keeping habit around quiet sting/quiet-doubt schedule conflict practice,house_3,practical,1,2,ordinary upkeep,True,True
36263,36263-AHM-008-2,36263-EPG-008,36263-AHD-008,36263-AHI-008-2,storm-thread avoidance around quiet sting/quiet-doubt schedule conflict practice,house_0,taboo,0,2,failed ancestor,True,False
36281,36281-AHM-009-2,36281-EPG-009,36281-AHD-009,36281-AHI-009-2,quiet sign waiting around edge-shame/quiet-doubt safety limit practice,house_2,ritualized,1,3,failed ancestor,True,False
