tick_id,day,route_id,action,textarea_id,snapshot_id,snapshot_hash,exported_json_bytes,pasted_json_valid,imported_branch,imported_animation_state,import_result_visible,localstorage_restored
1,1,roofward_archive,paste_import_snapshot,snapshot-paste-box,imported:roofward_archive:d1:t1,v34-648626,0,True,glass stair,stepped,snapshot imported into local state,True
4,1,orchard_riverbend,export_snapshot,snapshot-paste-box,snapshot:orchard_riverbend:d1:t4,v34-565117,156,True,fen track,idle,snapshot copied to export box,True
7,1,roofward_archive,export_snapshot,snapshot-paste-box,snapshot:roofward_archive:d1:t7,v34-648978,159,True,glass stair,stepped,snapshot copied to export box,True
10,1,orchard_riverbend,paste_import_snapshot,snapshot-paste-box,imported:orchard_riverbend:d1:t10,v34-565117,0,True,fen track,idle,snapshot imported into local state,True
13,2,roofward_archive,paste_import_snapshot,snapshot-paste-box,imported:roofward_archive:d2:t1,v34-649155,0,True,glass stair,stepped,snapshot imported into local state,True
16,2,orchard_riverbend,export_snapshot,snapshot-paste-box,snapshot:orchard_riverbend:d2:t4,v34-565288,156,True,fen track,idle,snapshot copied to export box,True
19,2,roofward_archive,export_snapshot,snapshot-paste-box,snapshot:roofward_archive:d2:t7,v34-649330,159,True,glass stair,stepped,snapshot copied to export box,True
22,2,orchard_riverbend,paste_import_snapshot,snapshot-paste-box,imported:orchard_riverbend:d2:t10,v34-565288,0,True,fen track,idle,snapshot imported into local state,True
25,3,roofward_archive,paste_import_snapshot,snapshot-paste-box,imported:roofward_archive:d3:t1,v34-649330,0,True,glass stair,stepped,snapshot imported into local state,True
28,3,orchard_riverbend,export_snapshot,snapshot-paste-box,snapshot:orchard_riverbend:d3:t4,v34-565459,156,True,fen track,idle,snapshot copied to export box,True
31,3,roofward_archive,export_snapshot,snapshot-paste-box,snapshot:roofward_archive:d3:t7,v34-649505,159,True,glass stair,stepped,snapshot copied to export box,True
34,3,orchard_riverbend,paste_import_snapshot,snapshot-paste-box,imported:orchard_riverbend:d3:t10,v34-565459,0,True,fen track,idle,snapshot imported into local state,True
37,4,roofward_archive,paste_import_snapshot,snapshot-paste-box,imported:roofward_archive:d4:t1,v34-649505,0,True,glass stair,stepped,snapshot imported into local state,True
40,4,orchard_riverbend,export_snapshot,snapshot-paste-box,snapshot:orchard_riverbend:d4:t4,v34-565630,156,True,fen track,idle,snapshot copied to export box,True
43,4,roofward_archive,export_snapshot,snapshot-paste-box,snapshot:roofward_archive:d4:t7,v34-649680,159,True,glass stair,stepped,snapshot copied to export box,True
46,4,orchard_riverbend,paste_import_snapshot,snapshot-paste-box,imported:orchard_riverbend:d4:t10,v34-565630,0,True,fen track,idle,snapshot imported into local state,True
49,5,roofward_archive,paste_import_snapshot,snapshot-paste-box,imported:roofward_archive:d5:t1,v34-649680,0,True,glass stair,stepped,snapshot imported into local state,True
52,5,orchard_riverbend,export_snapshot,snapshot-paste-box,snapshot:orchard_riverbend:d5:t4,v34-565801,156,True,fen track,idle,snapshot copied to export box,True
55,5,roofward_archive,export_snapshot,snapshot-paste-box,snapshot:roofward_archive:d5:t7,v34-649855,159,True,glass stair,stepped,snapshot copied to export box,True
58,5,orchard_riverbend,paste_import_snapshot,snapshot-paste-box,snapshot:orchard_riverbend:d5:t4,v34-565801,0,False,fen track,idle,snapshot parse warning; previous state kept,False
61,6,roofward_archive,paste_import_snapshot,snapshot-paste-box,imported:roofward_archive:d6:t1,v34-649855,0,True,glass stair,stepped,snapshot imported into local state,True
64,6,orchard_riverbend,export_snapshot,snapshot-paste-box,snapshot:orchard_riverbend:d6:t4,v34-565801,156,True,fen track,idle,snapshot copied to export box,True
67,6,roofward_archive,export_snapshot,snapshot-paste-box,snapshot:roofward_archive:d6:t7,v34-650030,159,True,glass stair,stepped,snapshot copied to export box,True
70,6,orchard_riverbend,paste_import_snapshot,snapshot-paste-box,imported:orchard_riverbend:d6:t10,v34-565801,0,True,fen track,idle,snapshot imported into local state,True
73,7,roofward_archive,paste_import_snapshot,snapshot-paste-box,imported:roofward_archive:d7:t1,v34-650030,0,True,glass stair,stepped,snapshot imported into local state,True
76,7,orchard_riverbend,export_snapshot,snapshot-paste-box,snapshot:orchard_riverbend:d7:t4,v34-565972,156,True,fen track,idle,snapshot copied to export box,True
79,7,roofward_archive,export_snapshot,snapshot-paste-box,snapshot:roofward_archive:d7:t7,v34-650205,159,True,glass stair,stepped,snapshot copied to export box,True
82,7,orchard_riverbend,paste_import_snapshot,snapshot-paste-box,imported:orchard_riverbend:d7:t10,v34-565972,0,True,fen track,idle,snapshot imported into local state,True
85,8,archive_signal,paste_import_snapshot,snapshot-paste-box,imported:archive_signal:d8:t1,v34-651887,0,True,stone kiosk path,idle,snapshot imported into local state,True
88,8,central_repair_ring,export_snapshot,snapshot-paste-box,snapshot:central_repair_ring:d8:t4,v34-744347,168,True,inner repair yard,idle,snapshot copied to export box,True
91,8,archive_signal,export_snapshot,snapshot-paste-box,snapshot:archive_signal:d8:t7,v34-652063,159,True,stone kiosk path,idle,snapshot copied to export box,True
