tick,day,snapshot_id,scene_id,storage_key,stores_reaction_memory,stores_consequence_schedule,stores_request_queue,stores_access_gates,stores_inventory_owners,stores_replay_cursor,snapshot_integrity
0,1,v23-snapshot-0000,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
1,1,v23-snapshot-0001,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,0,1,1,1,0.666667
2,1,v23-snapshot-0002,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
3,1,v23-snapshot-0003,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
4,1,v23-snapshot-0004,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
5,1,v23-snapshot-0005,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,0,1,1,1,0.666667
6,1,v23-snapshot-0006,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
7,1,v23-snapshot-0007,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
8,1,v23-snapshot-0008,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
9,1,v23-snapshot-0009,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,0,1,0,1,1,1,0.666667
10,1,v23-snapshot-0010,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
11,1,v23-snapshot-0011,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,0,1,1,0.833333
12,1,v23-snapshot-0012,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
13,1,v23-snapshot-0013,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,0,1,1,1,0.666667
14,1,v23-snapshot-0014,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
15,1,v23-snapshot-0015,v23-scene-d01,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,0,1,0.833333
16,2,v23-snapshot-0016,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
17,2,v23-snapshot-0017,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,0,0.666667
18,2,v23-snapshot-0018,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
19,2,v23-snapshot-0019,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
20,2,v23-snapshot-0020,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
21,2,v23-snapshot-0021,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
22,2,v23-snapshot-0022,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
23,2,v23-snapshot-0023,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
24,2,v23-snapshot-0024,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
25,2,v23-snapshot-0025,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
26,2,v23-snapshot-0026,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
27,2,v23-snapshot-0027,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
28,2,v23-snapshot-0028,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
29,2,v23-snapshot-0029,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
30,2,v23-snapshot-0030,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
31,2,v23-snapshot-0031,v23-scene-d02,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
32,3,v23-snapshot-0032,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
33,3,v23-snapshot-0033,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
34,3,v23-snapshot-0034,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
35,3,v23-snapshot-0035,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
36,3,v23-snapshot-0036,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
37,3,v23-snapshot-0037,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
38,3,v23-snapshot-0038,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
39,3,v23-snapshot-0039,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
40,3,v23-snapshot-0040,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
41,3,v23-snapshot-0041,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
42,3,v23-snapshot-0042,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
43,3,v23-snapshot-0043,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
44,3,v23-snapshot-0044,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
45,3,v23-snapshot-0045,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,0,1,1,1,0.666667
46,3,v23-snapshot-0046,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
47,3,v23-snapshot-0047,v23-scene-d03,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
48,4,v23-snapshot-0048,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
49,4,v23-snapshot-0049,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
50,4,v23-snapshot-0050,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,0,1,1,1,1,1,0.833333
51,4,v23-snapshot-0051,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
52,4,v23-snapshot-0052,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
53,4,v23-snapshot-0053,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
54,4,v23-snapshot-0054,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,0,1,1,0.833333
