tick_id,day,route_id,branch_a,branch_b,active_branch_before,merge_attempted,merge_success,rollback_available,rollback_taken,active_branch_after,conflict_reason,merge_ui_visible
0,1,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,False,False,river ford,none,False
1,1,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
2,1,archive_signal,paper lane,stone kiosk path,paper lane,True,True,True,True,paper lane,none,True
3,1,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
4,1,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
5,1,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,True,True,inner repair yard,none,True
6,1,riverbend_roofward,river ford,orchard ridge detour,river ford,True,True,False,False,orchard ridge detour,none,True
7,1,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
8,1,archive_signal,paper lane,stone kiosk path,paper lane,False,False,False,False,paper lane,none,False
9,1,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
10,1,orchard_riverbend,fen track,market plank route,fen track,True,True,False,False,market plank route,none,True
11,1,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
12,1,riverbend_roofward,river ford,orchard ridge detour,orchard ridge detour,True,True,False,False,river ford,none,True
13,1,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
14,2,archive_signal,paper lane,stone kiosk path,paper lane,False,False,False,False,paper lane,none,False
15,2,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
16,2,orchard_riverbend,fen track,market plank route,market plank route,True,True,False,False,fen track,none,True
17,2,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
18,2,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,False,False,river ford,none,False
19,2,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
20,2,archive_signal,paper lane,stone kiosk path,paper lane,True,True,False,False,stone kiosk path,none,True
21,2,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
22,2,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
23,2,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
24,2,riverbend_roofward,river ford,orchard ridge detour,river ford,True,True,False,False,orchard ridge detour,none,True
25,2,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
26,2,archive_signal,paper lane,stone kiosk path,stone kiosk path,True,True,False,False,paper lane,none,True
27,2,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
28,3,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
29,3,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
30,3,riverbend_roofward,river ford,orchard ridge detour,orchard ridge detour,True,True,False,False,river ford,none,True
31,3,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
32,3,archive_signal,paper lane,stone kiosk path,paper lane,False,False,False,False,paper lane,none,False
33,3,signal_orchard,dusk road,river lantern loop,dusk road,False,False,True,True,dusk road,none,True
34,3,orchard_riverbend,fen track,market plank route,fen track,True,False,False,False,fen track,agent route priorities conflict,True
35,3,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
36,3,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,False,False,river ford,none,False
37,3,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
38,3,archive_signal,paper lane,stone kiosk path,paper lane,True,True,False,False,stone kiosk path,none,True
39,3,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
40,3,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
41,3,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
42,4,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,False,False,river ford,none,False
43,4,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
44,4,archive_signal,paper lane,stone kiosk path,stone kiosk path,True,True,False,False,paper lane,none,True
45,4,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
46,4,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
47,4,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
48,4,riverbend_roofward,river ford,orchard ridge detour,river ford,True,True,False,False,orchard ridge detour,none,True
49,4,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
50,4,archive_signal,paper lane,stone kiosk path,paper lane,False,False,False,False,paper lane,none,False
51,4,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
52,4,orchard_riverbend,fen track,market plank route,fen track,True,True,False,False,market plank route,none,True
53,4,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
54,4,riverbend_roofward,river ford,orchard ridge detour,orchard ridge detour,True,True,False,False,river ford,none,True
55,4,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
56,5,archive_signal,paper lane,stone kiosk path,paper lane,False,False,False,False,paper lane,none,False
57,5,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
58,5,orchard_riverbend,fen track,market plank route,market plank route,True,True,False,False,fen track,none,True
59,5,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
60,5,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,False,False,river ford,none,False
61,5,roofward_archive,glass stair,cool archive lane,glass stair,False,False,True,True,glass stair,none,True
62,5,archive_signal,paper lane,stone kiosk path,paper lane,True,True,False,False,stone kiosk path,none,True
63,5,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
64,5,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
65,5,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
66,5,riverbend_roofward,river ford,orchard ridge detour,river ford,True,True,False,False,orchard ridge detour,none,True
67,5,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
68,5,archive_signal,paper lane,stone kiosk path,stone kiosk path,True,False,False,False,stone kiosk path,agent route priorities conflict,True
69,5,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
70,6,central_repair_ring,inner repair yard,outer bell path,inner repair yard,False,False,False,False,inner repair yard,none,False
71,6,riverbend_roofward,river ford,orchard ridge detour,orchard ridge detour,True,True,False,False,river ford,none,True
72,6,roofward_archive,glass stair,cool archive lane,glass stair,True,True,False,False,cool archive lane,none,True
73,6,archive_signal,paper lane,stone kiosk path,stone kiosk path,True,True,True,True,paper lane,none,True
74,6,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
75,6,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
76,6,central_repair_ring,inner repair yard,outer bell path,inner repair yard,True,True,False,False,outer bell path,none,True
77,6,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,False,False,river ford,none,False
78,6,roofward_archive,glass stair,cool archive lane,cool archive lane,True,True,False,False,glass stair,none,True
79,6,archive_signal,paper lane,stone kiosk path,paper lane,False,False,True,True,paper lane,none,False
80,6,signal_orchard,dusk road,river lantern loop,dusk road,True,True,False,False,river lantern loop,none,True
81,6,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
82,6,central_repair_ring,inner repair yard,outer bell path,outer bell path,False,False,False,False,outer bell path,none,False
83,6,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,False,False,river ford,none,False
84,7,roofward_archive,glass stair,cool archive lane,glass stair,False,False,False,False,glass stair,none,False
85,7,archive_signal,paper lane,stone kiosk path,paper lane,False,False,False,False,paper lane,none,False
86,7,signal_orchard,dusk road,river lantern loop,river lantern loop,True,True,False,False,dusk road,none,True
87,7,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
88,7,central_repair_ring,inner repair yard,outer bell path,outer bell path,True,True,False,False,inner repair yard,none,True
89,7,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,False,False,river ford,none,False
90,7,roofward_archive,glass stair,cool archive lane,glass stair,True,True,False,False,cool archive lane,none,True
91,7,archive_signal,paper lane,stone kiosk path,paper lane,False,False,False,False,paper lane,none,False
92,7,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
93,7,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
94,7,central_repair_ring,inner repair yard,outer bell path,inner repair yard,True,True,False,False,outer bell path,none,True
95,7,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,False,False,river ford,none,False
96,7,roofward_archive,glass stair,cool archive lane,cool archive lane,True,True,False,False,glass stair,none,True
97,7,archive_signal,paper lane,stone kiosk path,paper lane,False,False,False,False,paper lane,none,False
98,8,signal_orchard,dusk road,river lantern loop,dusk road,False,False,False,False,dusk road,none,False
99,8,orchard_riverbend,fen track,market plank route,fen track,False,False,False,False,fen track,none,False
100,8,central_repair_ring,inner repair yard,outer bell path,outer bell path,True,True,False,False,inner repair yard,none,True
101,8,riverbend_roofward,river ford,orchard ridge detour,river ford,False,False,True,True,river ford,none,False
