seed,row_id,row_type,source_practice_id,source_concern_id,source_proposal_id,hidden_law_exposed_to_resident,avatar_direct_install
36217,36217-AHD-001,hint_event,36217-EPG-001,VBC-001,VBP-001,False,False
36217,36217-AHB-001-1,divergence_branch,36217-EPG-001,VBC-001,VBP-001,False,False
36217,36217-AHB-001-2,divergence_branch,36217-EPG-001,VBC-001,VBP-001,False,False
36217,36217-AHB-001-3,divergence_branch,36217-EPG-001,VBC-001,VBP-001,False,False
36217,36217-AHD-002,hint_event,36217-EPG-002,VBC-002,VBP-002,False,False
36217,36217-AHB-002-1,divergence_branch,36217-EPG-002,VBC-002,VBP-002,False,False
36217,36217-AHB-002-2,divergence_branch,36217-EPG-002,VBC-002,VBP-002,False,False
36217,36217-AHB-002-3,divergence_branch,36217-EPG-002,VBC-002,VBP-002,False,False
36231,36231-AHD-003,hint_event,36231-EPG-003,VBC-003,VBP-003,False,False
36231,36231-AHB-003-1,divergence_branch,36231-EPG-003,VBC-003,VBP-003,False,False
36231,36231-AHB-003-2,divergence_branch,36231-EPG-003,VBC-003,VBP-003,False,False
36231,36231-AHB-003-3,divergence_branch,36231-EPG-003,VBC-003,VBP-003,False,False
36231,36231-AHD-004,hint_event,36231-EPG-004,VBC-004,VBP-004,False,False
36231,36231-AHB-004-1,divergence_branch,36231-EPG-004,VBC-004,VBP-004,False,False
36231,36231-AHB-004-2,divergence_branch,36231-EPG-004,VBC-004,VBP-004,False,False
36231,36231-AHB-004-3,divergence_branch,36231-EPG-004,VBC-004,VBP-004,False,False
36247,36247-AHD-005,hint_event,36247-EPG-005,VBC-005,VBP-005,False,False
36247,36247-AHB-005-1,divergence_branch,36247-EPG-005,VBC-005,VBP-005,False,False
36247,36247-AHB-005-2,divergence_branch,36247-EPG-005,VBC-005,VBP-005,False,False
36247,36247-AHB-005-3,divergence_branch,36247-EPG-005,VBC-005,VBP-005,False,False
36247,36247-AHD-006,hint_event,36247-EPG-006,VBC-006,VBP-006,False,False
36247,36247-AHB-006-1,divergence_branch,36247-EPG-006,VBC-006,VBP-006,False,False
36247,36247-AHB-006-2,divergence_branch,36247-EPG-006,VBC-006,VBP-006,False,False
36247,36247-AHB-006-3,divergence_branch,36247-EPG-006,VBC-006,VBP-006,False,False
36263,36263-AHD-007,hint_event,36263-EPG-007,VBC-007,VBP-007,False,False
36263,36263-AHB-007-1,divergence_branch,36263-EPG-007,VBC-007,VBP-007,False,False
36263,36263-AHB-007-2,divergence_branch,36263-EPG-007,VBC-007,VBP-007,False,False
36263,36263-AHB-007-3,divergence_branch,36263-EPG-007,VBC-007,VBP-007,False,False
36263,36263-AHD-008,hint_event,36263-EPG-008,VBC-008,VBP-008,False,False
36263,36263-AHB-008-1,divergence_branch,36263-EPG-008,VBC-008,VBP-008,False,False
