tick,day,arc_id,recalling_agent,remembered_arc,days_since_prior_compromise,remembered_terms,recall_weight,reused_in_new_counterproposal,not_private_workspace_leak
0,1,v17-arc-01,Keth,none,0,none,0.0,0,1
1,1,v17-arc-01,Melo,none,0,none,0.0,0,1
2,1,v17-arc-01,Nari,v17-arc-01,0,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.94,1,1
3,1,v17-arc-01,Ori,v17-arc-01,0,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.94,1,1
4,1,v17-arc-01,Vonn,v17-arc-01,0,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.975,0,1
5,1,v17-arc-01,Sova,v17-arc-01,0,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.94,1,1
6,1,v17-arc-01,Keth,v17-arc-01,0,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.94,1,1
7,1,v17-arc-01,Melo,v17-arc-01,0,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.94,1,1
8,1,v17-arc-01,Nari,v17-arc-01,0,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.975,1,1
9,1,v17-arc-01,Ori,v17-arc-01,0,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.94,1,1
10,2,v17-arc-01,Sova,v17-arc-01,1,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.915,1,1
11,2,v17-arc-01,Keth,v17-arc-01,1,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.915,1,1
