frame_id,day,tick,agent_id,current_focus,dominant_need,felt_state_label,active_relationship_memory,active_ownership_memory,current_intention,suppressed_action,previous_self_story_ref,new_self_story_line,privacy_boundary
priv_ari_1,1,20,ari,bronze spanner,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the west route safe.,Day 1: I remember how bronze spanner and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_ari_2,3,26,ari,bronze spanner,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the west route safe.,Day 3: I remember how bronze spanner and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_ari_3,5,32,ari,same-family borrowed object near west arch alcove,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the west route safe.,Day 5: I remember how bronze spanner and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_ari_4,8,38,ari,same-family borrowed object near west arch alcove,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the west route safe.,Day 8: I remember how bronze spanner and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_ari_5,13,44,ari,public shared object near west arch alcove,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,public shared object: shared,stay readable but keep boundary,treat one person as everyone,I keep the west route safe.,Day 13: I remember how bronze spanner and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_ari_6,21,50,ari,gifted variant near west arch alcove,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,gifted variant: accepted_mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the west route safe.,Day 21: I remember how bronze spanner and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_ari_7,34,56,ari,ritual lookalike near west arch alcove,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,ritual lookalike: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the west route safe.,Day 34: I remember how bronze spanner and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_ari_8,55,62,ari,irrelevant tool near west arch alcove,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,irrelevant tool: not_mine,stay readable but keep boundary,treat one person as everyone,I keep the west route safe.,Day 55: I remember how bronze spanner and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_fay_1,1,68,fay,seed bowl,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,The seed bowl is my promise.,Day 1: I remember how seed bowl and Niko shape my choices.,private_continuity_not_auto_dumped
priv_fay_2,3,74,fay,seed bowl,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,The seed bowl is my promise.,Day 3: I remember how seed bowl and Niko shape my choices.,private_continuity_not_auto_dumped
priv_fay_3,5,80,fay,same-family borrowed object near warm moss room,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,The seed bowl is my promise.,Day 5: I remember how seed bowl and Niko shape my choices.,private_continuity_not_auto_dumped
priv_fay_4,8,86,fay,same-family borrowed object near warm moss room,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,The seed bowl is my promise.,Day 8: I remember how seed bowl and Niko shape my choices.,private_continuity_not_auto_dumped
priv_fay_5,13,92,fay,public shared object near warm moss room,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,public shared object: shared,stay readable but keep boundary,treat one person as everyone,The seed bowl is my promise.,Day 13: I remember how seed bowl and Niko shape my choices.,private_continuity_not_auto_dumped
priv_fay_6,21,98,fay,gifted variant near warm moss room,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,gifted variant: accepted_mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,The seed bowl is my promise.,Day 21: I remember how seed bowl and Niko shape my choices.,private_continuity_not_auto_dumped
priv_fay_7,34,104,fay,ritual lookalike near warm moss room,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,ritual lookalike: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,The seed bowl is my promise.,Day 34: I remember how seed bowl and Niko shape my choices.,private_continuity_not_auto_dumped
priv_fay_8,55,110,fay,irrelevant tool near warm moss room,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,irrelevant tool: not_mine,stay readable but keep boundary,treat one person as everyone,The seed bowl is my promise.,Day 55: I remember how seed bowl and Niko shape my choices.,private_continuity_not_auto_dumped
priv_milo_1,1,116,milo,thread ledger,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the count fair.,Day 1: I remember how thread ledger and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_milo_2,3,122,milo,thread ledger,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the count fair.,Day 3: I remember how thread ledger and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_milo_3,5,128,milo,same-family borrowed object near north stall step,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the count fair.,Day 5: I remember how thread ledger and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_milo_4,8,134,milo,same-family borrowed object near north stall step,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the count fair.,Day 8: I remember how thread ledger and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_milo_5,13,140,milo,public shared object near north stall step,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,public shared object: shared,stay readable but keep boundary,treat one person as everyone,I keep the count fair.,Day 13: I remember how thread ledger and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_milo_6,21,146,milo,gifted variant near north stall step,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,gifted variant: accepted_mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the count fair.,Day 21: I remember how thread ledger and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_milo_7,34,152,milo,ritual lookalike near north stall step,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,ritual lookalike: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I keep the count fair.,Day 34: I remember how thread ledger and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_milo_8,55,158,milo,irrelevant tool near north stall step,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,irrelevant tool: not_mine,stay readable but keep boundary,treat one person as everyone,I keep the count fair.,Day 55: I remember how thread ledger and Gabriel shape my choices.,private_continuity_not_auto_dumped
priv_sera_1,1,164,sera,listening shell,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I say what I know and no more.,Day 1: I remember how listening shell and Fay shape my choices.,private_continuity_not_auto_dumped
priv_sera_2,3,170,sera,listening shell,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I say what I know and no more.,Day 3: I remember how listening shell and Fay shape my choices.,private_continuity_not_auto_dumped
priv_sera_3,5,176,sera,same-family borrowed object near quiet red stair,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I say what I know and no more.,Day 5: I remember how listening shell and Fay shape my choices.,private_continuity_not_auto_dumped
priv_sera_4,8,182,sera,same-family borrowed object near quiet red stair,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I say what I know and no more.,Day 8: I remember how listening shell and Fay shape my choices.,private_continuity_not_auto_dumped
priv_sera_5,13,188,sera,public shared object near quiet red stair,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,public shared object: shared,stay readable but keep boundary,treat one person as everyone,I say what I know and no more.,Day 13: I remember how listening shell and Fay shape my choices.,private_continuity_not_auto_dumped
priv_sera_6,21,194,sera,gifted variant near quiet red stair,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,gifted variant: accepted_mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I say what I know and no more.,Day 21: I remember how listening shell and Fay shape my choices.,private_continuity_not_auto_dumped
priv_sera_7,34,200,sera,ritual lookalike near quiet red stair,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,ritual lookalike: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I say what I know and no more.,Day 34: I remember how listening shell and Fay shape my choices.,private_continuity_not_auto_dumped
priv_sera_8,55,206,sera,irrelevant tool near quiet red stair,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,irrelevant tool: not_mine,stay readable but keep boundary,treat one person as everyone,I say what I know and no more.,Day 55: I remember how listening shell and Fay shape my choices.,private_continuity_not_auto_dumped
priv_niko_1,1,212,niko,left glove,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I learn by touching slowly.,Day 1: I remember how left glove and Ari shape my choices.,private_continuity_not_auto_dumped
priv_niko_2,3,218,niko,left glove,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,primary object: mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I learn by touching slowly.,Day 3: I remember how left glove and Ari shape my choices.,private_continuity_not_auto_dumped
priv_niko_3,5,224,niko,same-family borrowed object near wheelhouse loft,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I learn by touching slowly.,Day 5: I remember how left glove and Ari shape my choices.,private_continuity_not_auto_dumped
priv_niko_4,8,230,niko,same-family borrowed object near wheelhouse loft,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,same-family borrowed object: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I learn by touching slowly.,Day 8: I remember how left glove and Ari shape my choices.,private_continuity_not_auto_dumped
priv_niko_5,13,236,niko,public shared object near wheelhouse loft,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,public shared object: shared,stay readable but keep boundary,treat one person as everyone,I learn by touching slowly.,Day 13: I remember how left glove and Ari shape my choices.,private_continuity_not_auto_dumped
priv_niko_6,21,242,niko,gifted variant near wheelhouse loft,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,gifted variant: accepted_mine,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I learn by touching slowly.,Day 21: I remember how left glove and Ari shape my choices.,private_continuity_not_auto_dumped
priv_niko_7,34,248,niko,ritual lookalike near wheelhouse loft,protect agency without overclaiming ownership,guarded-continuing,trusted person becomes safer through repeated specific behavior,ritual lookalike: ask_first,"ask, refuse, or negotiate before object movement",grab object because it looks mine-like,I learn by touching slowly.,Day 34: I remember how left glove and Ari shape my choices.,private_continuity_not_auto_dumped
priv_niko_8,55,254,niko,irrelevant tool near wheelhouse loft,distance with repair path open,guarded-continuing,trusted person becomes safer through repeated specific behavior,irrelevant tool: not_mine,stay readable but keep boundary,treat one person as everyone,I learn by touching slowly.,Day 55: I remember how left glove and Ari shape my choices.,private_continuity_not_auto_dumped
