tick_id,day,route_id,hazard,forecast_before,proposed_forecast,forecast_after,edit_source,edit_accepted,revision,saved_to_local_state,public_archive_visible
0,1,riverbend_roofward,river flood,0.3407,0.3957,0.3407,avatar forecast slider,False,1,True,True
1,1,roofward_archive,heat surge,0.3748,0.4398,0.3748,stored seasonal drift,False,1,False,True
2,1,archive_signal,wind scatter,0.4089,0.4539,0.4089,stored seasonal drift,False,1,False,True
3,1,signal_orchard,dusk ice,0.4157,0.4707,0.4157,stored seasonal drift,False,1,False,True
4,1,orchard_riverbend,fen mud,0.433,0.408,0.433,stored seasonal drift,False,1,False,True
5,1,central_repair_ring,crowded repair yard,0.4671,0.5121,0.4671,stored seasonal drift,False,1,False,True
6,1,riverbend_roofward,river flood,0.335002,0.300002,0.335002,stored seasonal drift,False,1,False,True
7,1,roofward_archive,heat surge,0.393728,0.458728,0.393728,stored seasonal drift,False,1,False,True
8,1,archive_signal,wind scatter,0.418854,0.463854,0.463854,avatar forecast slider,True,2,True,True
9,1,signal_orchard,dusk ice,0.437302,0.492302,0.437302,stored seasonal drift,False,1,False,True
10,1,orchard_riverbend,fen mud,0.42068,0.39568,0.42068,stored seasonal drift,False,1,False,True
11,1,central_repair_ring,crowded repair yard,0.462606,0.417606,0.462606,stored seasonal drift,False,1,False,True
12,1,riverbend_roofward,river flood,0.384702,0.439702,0.384702,stored seasonal drift,False,1,False,True
13,1,roofward_archive,heat surge,0.386906,0.361906,0.386906,stored seasonal drift,False,1,False,True
14,1,archive_signal,wind scatter,0.459814,0.414814,0.459814,stored seasonal drift,False,2,False,True
15,1,signal_orchard,dusk ice,0.44958,0.50458,0.44958,stored seasonal drift,False,1,False,True
16,2,orchard_riverbend,fen mud,0.441585,0.506585,0.506585,avatar forecast slider,True,2,True,True
17,2,central_repair_ring,crowded repair yard,0.446141,0.401141,0.446141,stored seasonal drift,False,1,False,True
18,2,riverbend_roofward,river flood,0.398044,0.453044,0.398044,stored seasonal drift,False,1,False,True
19,2,roofward_archive,heat surge,0.429339,0.494339,0.429339,stored seasonal drift,False,1,False,True
20,2,archive_signal,wind scatter,0.44374,0.39874,0.44374,stored seasonal drift,False,2,False,True
21,2,signal_orchard,dusk ice,0.447539,0.412539,0.447539,stored seasonal drift,False,1,False,True
22,2,orchard_riverbend,fen mud,0.509163,0.574163,0.509163,stored seasonal drift,False,2,False,True
23,2,central_repair_ring,crowded repair yard,0.442481,0.397481,0.442481,stored seasonal drift,False,1,False,True
24,2,riverbend_roofward,river flood,0.403218,0.458218,0.458218,avatar forecast slider,True,2,True,True
25,2,roofward_archive,heat surge,0.442732,0.507732,0.442732,stored seasonal drift,False,1,False,True
26,2,archive_signal,wind scatter,0.423616,0.378616,0.423616,stored seasonal drift,False,2,False,True
27,2,signal_orchard,dusk ice,0.439484,0.404484,0.439484,stored seasonal drift,False,1,False,True
28,2,orchard_riverbend,fen mud,0.52188,0.58688,0.52188,stored seasonal drift,False,2,False,True
29,2,central_repair_ring,crowded repair yard,0.460334,0.505334,0.460334,stored seasonal drift,False,1,False,True
30,2,riverbend_roofward,river flood,0.448667,0.413667,0.448667,stored seasonal drift,False,2,False,True
31,2,roofward_archive,heat surge,0.44795,0.51295,0.44795,stored seasonal drift,False,1,False,True
32,3,archive_signal,wind scatter,0.43781,0.48281,0.48281,avatar forecast slider,True,3,True,True
33,3,signal_orchard,dusk ice,0.419956,0.384956,0.419956,stored seasonal drift,False,1,False,True
34,3,orchard_riverbend,fen mud,0.503417,0.478417,0.503417,stored seasonal drift,False,2,False,True
35,3,central_repair_ring,crowded repair yard,0.479887,0.524887,0.479887,stored seasonal drift,False,1,False,True
36,3,riverbend_roofward,river flood,0.427854,0.392854,0.427854,stored seasonal drift,False,2,False,True
37,3,roofward_archive,heat surge,0.439837,0.414837,0.439837,stored seasonal drift,False,1,False,True
38,3,archive_signal,wind scatter,0.482417,0.437417,0.482417,stored seasonal drift,False,3,False,True
39,3,signal_orchard,dusk ice,0.457762,0.512762,0.457762,stored seasonal drift,False,1,False,True
40,3,orchard_riverbend,fen mud,0.481239,0.456239,0.456239,avatar forecast slider,True,3,True,True
