episode_id,agent,request_allowed,sleep_respected,boundary_respected,refusal_needed,refusal_text,recovery_offer,welfare_guardrail
1,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
2,Fay,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
3,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
4,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
5,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
6,Fay,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
7,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
8,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
9,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
10,Fay,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
11,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
12,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
13,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
14,Fay,False,False,True,True,I need sleep before that. Ask after recovery.,sleep first,sleep_and_boundary_constraints_precede_avatar_request
15,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
16,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
17,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
18,Fay,False,False,True,True,I need sleep before that. Ask after recovery.,sleep first,sleep_and_boundary_constraints_precede_avatar_request
19,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
20,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
21,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
22,Fay,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
23,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
24,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
25,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
26,Fay,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
27,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
28,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
29,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
30,Fay,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
31,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
32,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
33,Ari,False,False,True,True,I need sleep before that. Ask after recovery.,sleep first,sleep_and_boundary_constraints_precede_avatar_request
34,Fay,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
35,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
36,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
37,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
38,Fay,False,False,True,True,I need sleep before that. Ask after recovery.,sleep first,sleep_and_boundary_constraints_precede_avatar_request
39,Milo,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
40,Sol,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
41,Ari,True,True,True,False,,ordinary cooperation,sleep_and_boundary_constraints_precede_avatar_request
