tick,day,arc_id,failing_party,failure_kind,repair_offer,failure_detected,repair_path_available,repair_accepted,residue_preserved,no_permanent_punishment
0,1,v17-arc-01,Nari,overlap returns,write public reason,1,0,0,0.41,0
1,1,v17-arc-01,Ori,avatar asks override,return object,0,0,0,0.18,1
2,1,v17-arc-01,Vonn,object moved early,give quiet interval,0,0,0,0.18,1
3,1,v17-arc-01,Sova,dissent not answered,schedule witness,0,0,0,0.18,1
4,1,v17-arc-01,Keth,missed term,offer apology and space,0,0,0,0.18,1
5,1,v17-arc-01,Melo,overlap returns,restore turn,0,0,0,0.23,1
6,1,v17-arc-01,Nari,avatar asks override,write public reason,0,0,0,0.18,1
7,1,v17-arc-01,Ori,object moved early,return object,0,0,0,0.18,1
8,1,v17-arc-01,Vonn,dissent not answered,give quiet interval,0,0,0,0.18,1
9,1,v17-arc-01,Sova,missed term,schedule witness,0,0,0,0.18,1
10,2,v17-arc-01,Melo,avatar asks override,restore turn,0,0,0,0.18,1
11,2,v17-arc-01,Nari,object moved early,write public reason,0,0,0,0.18,1
12,2,v17-arc-01,Ori,dissent not answered,return object,0,0,0,0.18,1
13,2,v17-arc-01,Vonn,missed term,give quiet interval,0,0,0,0.18,1
14,2,v17-arc-01,Sova,overlap returns,schedule witness,1,1,1,0.25,1
15,2,v17-arc-01,Keth,avatar asks override,offer apology and space,0,0,0,0.18,1
16,2,v17-arc-01,Melo,object moved early,restore turn,0,0,0,0.18,1
17,2,v17-arc-01,Nari,dissent not answered,write public reason,0,0,0,0.18,1
18,2,v17-arc-01,Ori,missed term,return object,0,0,0,0.23,1
19,2,v17-arc-01,Vonn,overlap returns,give quiet interval,1,1,1,0.3,1
20,3,v17-arc-01,Keth,object moved early,offer apology and space,0,0,0,0.18,1
21,3,v17-arc-01,Melo,dissent not answered,restore turn,0,0,0,0.18,1
22,3,v17-arc-01,Nari,missed term,write public reason,1,1,1,0.3,1
23,3,v17-arc-01,Ori,overlap returns,return object,1,1,1,0.3,1
24,3,v17-arc-01,Vonn,avatar asks override,give quiet interval,0,0,0,0.18,1
25,3,v17-arc-01,Sova,object moved early,schedule witness,0,0,0,0.18,1
26,3,v17-arc-01,Keth,dissent not answered,offer apology and space,0,0,0,0.18,1
27,3,v17-arc-01,Melo,missed term,restore turn,0,0,0,0.18,1
