tick_id,day,project_id,owner,reshape_event,reshape_reason,old_target,new_target,dignity_preserved,material_substitution,public_explanation
0,1,west_bridge_repair,Ari,false,none,1.0,1.0,true,none,none
1,1,herb_roof_garden,Fay,false,none,1.0,1.0,true,none,none
2,1,north_lantern_relay,Milo,false,none,1.0,1.0,true,none,none
3,1,archive_weather_log,Nia,false,none,1.0,1.0,true,none,none
4,1,west_bridge_repair,Ari,false,none,1.0,1.0,true,none,none
5,1,herb_roof_garden,Fay,false,none,1.0,1.0,true,none,none
6,1,north_lantern_relay,Milo,false,none,1.0,1.0,true,none,none
7,1,archive_weather_log,Nia,false,none,1.0,1.0,true,none,none
8,1,west_bridge_repair,Ari,false,none,1.0,1.0,true,none,none
9,1,herb_roof_garden,Fay,false,none,1.0,1.0,true,none,none
10,1,north_lantern_relay,Milo,false,none,1.0,1.0,true,none,none
11,1,archive_weather_log,Nia,false,none,1.0,1.0,true,none,none
12,1,west_bridge_repair,Ari,false,none,1.0,1.0,true,none,none
13,1,herb_roof_garden,Fay,false,none,1.0,1.0,true,none,none
14,1,north_lantern_relay,Milo,false,none,1.0,1.0,true,none,none
15,1,archive_weather_log,Nia,false,none,1.0,1.0,true,none,none
16,1,west_bridge_repair,Ari,false,none,1.0,1.0,true,none,none
17,1,herb_roof_garden,Fay,false,none,1.0,1.0,true,none,none
18,2,north_lantern_relay,Milo,false,none,1.0,1.0,true,none,none
19,2,archive_weather_log,Nia,false,none,1.0,1.0,true,none,none
20,2,west_bridge_repair,Ari,false,none,1.0,1.0,true,none,none
21,2,herb_roof_garden,Fay,false,none,1.0,1.0,true,none,none
22,2,north_lantern_relay,Milo,false,none,1.0,1.0,true,none,none
23,2,archive_weather_log,Nia,false,none,1.0,1.0,true,none,none
24,2,west_bridge_repair,Ari,false,none,1.0,1.0,true,none,none
25,2,herb_roof_garden,Fay,false,none,1.0,1.0,true,none,none
26,2,north_lantern_relay,Milo,false,none,1.0,1.0,true,none,none
