tick,day,replay_id,loop_id,includes_turn_sequence,includes_counteroffers,includes_body_world_expression,includes_ceremony,includes_later_recall,deterministic_order,replay_integrity_score
0,1,v18-replay-d01-t00,v18-loop-001,1,1,1,1,1,1,1.0
1,1,v18-replay-d01-t01,v18-loop-001,1,1,0,0,1,1,0.94
2,1,v18-replay-d01-t02,v18-loop-001,1,1,1,1,1,1,1.0
3,1,v18-replay-d01-t03,v18-loop-001,1,1,1,1,1,1,1.0
4,1,v18-replay-d01-t04,v18-loop-001,1,0,0,1,1,1,0.93
5,1,v18-replay-d01-t05,v18-loop-001,1,1,1,1,1,1,1.0
6,1,v18-replay-d01-t06,v18-loop-002,1,1,1,1,1,1,1.0
7,1,v18-replay-d01-t07,v18-loop-002,1,1,1,1,1,1,1.0
8,1,v18-replay-d01-t08,v18-loop-002,1,0,0,1,1,1,0.93
9,1,v18-replay-d01-t09,v18-loop-002,1,1,1,1,1,1,1.0
10,1,v18-replay-d01-t10,v18-loop-002,1,1,1,1,1,1,1.0
11,1,v18-replay-d01-t11,v18-loop-002,1,1,1,1,1,1,1.0
12,2,v18-replay-d02-t00,v18-loop-003,1,1,1,1,1,1,1.0
13,2,v18-replay-d02-t01,v18-loop-003,1,1,1,1,1,1,1.0
14,2,v18-replay-d02-t02,v18-loop-003,1,1,1,1,1,1,1.0
15,2,v18-replay-d02-t03,v18-loop-003,1,1,0,1,1,1,0.966667
16,2,v18-replay-d02-t04,v18-loop-003,1,1,1,1,1,1,1.0
17,2,v18-replay-d02-t05,v18-loop-003,1,1,1,1,1,1,1.0
18,2,v18-replay-d02-t06,v18-loop-004,1,1,1,1,1,1,1.0
19,2,v18-replay-d02-t07,v18-loop-004,1,1,1,1,1,1,1.0
20,2,v18-replay-d02-t08,v18-loop-004,1,0,1,1,1,1,0.963333
21,2,v18-replay-d02-t09,v18-loop-004,1,1,1,1,1,1,1.0
22,2,v18-replay-d02-t10,v18-loop-004,1,1,1,1,1,1,1.0
23,2,v18-replay-d02-t11,v18-loop-004,1,1,1,1,1,1,1.0
24,3,v18-replay-d03-t00,v18-loop-005,1,1,1,1,1,1,1.0
25,3,v18-replay-d03-t01,v18-loop-005,1,1,1,1,0,1,0.97
26,3,v18-replay-d03-t02,v18-loop-005,1,1,1,1,1,1,1.0
27,3,v18-replay-d03-t03,v18-loop-005,1,1,1,1,1,1,1.0
28,3,v18-replay-d03-t04,v18-loop-005,1,1,1,1,1,1,1.0
29,3,v18-replay-d03-t05,v18-loop-005,1,1,1,1,1,1,1.0
30,3,v18-replay-d03-t06,v18-loop-006,1,1,0,0,1,1,0.94
31,3,v18-replay-d03-t07,v18-loop-006,1,1,1,1,1,1,1.0
32,3,v18-replay-d03-t08,v18-loop-006,1,1,1,1,1,1,1.0
33,3,v18-replay-d03-t09,v18-loop-006,1,1,1,1,1,1,1.0
34,3,v18-replay-d03-t10,v18-loop-006,1,1,1,1,1,1,1.0
35,3,v18-replay-d03-t11,v18-loop-006,1,1,1,1,1,1,1.0
36,4,v18-replay-d04-t00,v18-loop-007,1,1,1,1,1,1,1.0
37,4,v18-replay-d04-t01,v18-loop-007,1,1,0,1,1,1,0.966667
38,4,v18-replay-d04-t02,v18-loop-007,1,1,1,1,1,1,1.0
39,4,v18-replay-d04-t03,v18-loop-007,1,1,1,1,1,1,1.0
40,4,v18-replay-d04-t04,v18-loop-007,1,1,1,1,1,1,1.0
41,4,v18-replay-d04-t05,v18-loop-007,1,1,1,1,1,1,1.0
42,4,v18-replay-d04-t06,v18-loop-008,1,1,1,1,1,1,1.0
43,4,v18-replay-d04-t07,v18-loop-008,1,1,1,1,1,1,1.0
44,4,v18-replay-d04-t08,v18-loop-008,1,1,0,1,0,1,0.936667
45,4,v18-replay-d04-t09,v18-loop-008,1,1,1,1,1,1,1.0
46,4,v18-replay-d04-t10,v18-loop-008,1,1,1,1,1,1,1.0
47,4,v18-replay-d04-t11,v18-loop-008,1,1,1,1,1,1,1.0
48,5,v18-replay-d05-t00,v18-loop-009,1,1,1,1,1,1,1.0
49,5,v18-replay-d05-t01,v18-loop-009,1,1,1,1,1,1,1.0
50,5,v18-replay-d05-t02,v18-loop-009,1,1,1,1,1,1,1.0
51,5,v18-replay-d05-t03,v18-loop-009,1,1,1,1,1,1,1.0
52,5,v18-replay-d05-t04,v18-loop-009,1,1,1,1,1,1,1.0
53,5,v18-replay-d05-t05,v18-loop-009,1,1,1,1,1,1,1.0
54,5,v18-replay-d05-t06,v18-loop-010,1,1,1,1,1,1,1.0
55,5,v18-replay-d05-t07,v18-loop-010,1,1,1,1,1,1,1.0
56,5,v18-replay-d05-t08,v18-loop-010,1,1,1,1,1,1,1.0
57,5,v18-replay-d05-t09,v18-loop-010,1,1,1,1,1,1,1.0
58,5,v18-replay-d05-t10,v18-loop-010,1,1,1,1,1,1,1.0
59,5,v18-replay-d05-t11,v18-loop-010,1,1,0,0,1,1,0.94
60,6,v18-replay-d06-t00,v18-loop-011,1,1,1,1,1,1,1.0
61,6,v18-replay-d06-t01,v18-loop-011,1,1,1,1,1,1,1.0
62,6,v18-replay-d06-t02,v18-loop-011,1,1,1,1,1,1,1.0
63,6,v18-replay-d06-t03,v18-loop-011,1,1,1,1,0,1,0.97
64,6,v18-replay-d06-t04,v18-loop-011,1,1,1,1,1,1,1.0
65,6,v18-replay-d06-t05,v18-loop-011,1,1,1,1,1,1,1.0
66,6,v18-replay-d06-t06,v18-loop-012,1,1,0,1,1,1,0.966667
67,6,v18-replay-d06-t07,v18-loop-012,1,1,1,1,1,1,1.0
68,6,v18-replay-d06-t08,v18-loop-012,1,1,1,1,1,1,1.0
69,6,v18-replay-d06-t09,v18-loop-012,1,1,1,1,1,1,1.0
70,6,v18-replay-d06-t10,v18-loop-012,1,1,1,1,1,1,1.0
71,6,v18-replay-d06-t11,v18-loop-012,1,1,1,1,1,1,1.0
72,7,v18-replay-d07-t00,v18-loop-013,1,1,1,1,1,1,1.0
73,7,v18-replay-d07-t01,v18-loop-013,1,1,0,1,1,1,0.966667
74,7,v18-replay-d07-t02,v18-loop-013,1,1,1,1,1,1,1.0
75,7,v18-replay-d07-t03,v18-loop-013,1,1,1,1,1,1,1.0
76,7,v18-replay-d07-t04,v18-loop-013,1,1,1,1,1,1,1.0
77,7,v18-replay-d07-t05,v18-loop-013,1,1,1,1,1,1,1.0
78,7,v18-replay-d07-t06,v18-loop-014,1,1,1,1,1,1,1.0
79,7,v18-replay-d07-t07,v18-loop-014,1,1,1,1,1,1,1.0
80,7,v18-replay-d07-t08,v18-loop-014,1,1,1,1,1,1,1.0
81,7,v18-replay-d07-t09,v18-loop-014,1,1,1,1,1,1,1.0
82,7,v18-replay-d07-t10,v18-loop-014,1,1,1,1,0,1,0.97
83,7,v18-replay-d07-t11,v18-loop-014,1,1,1,1,1,1,1.0
84,8,v18-replay-d08-t00,v18-loop-015,1,1,1,1,1,1,1.0
85,8,v18-replay-d08-t01,v18-loop-015,1,1,1,1,1,1,1.0
86,8,v18-replay-d08-t02,v18-loop-015,1,1,1,1,1,1,1.0
87,8,v18-replay-d08-t03,v18-loop-015,1,1,1,1,1,1,1.0
88,8,v18-replay-d08-t04,v18-loop-015,1,0,0,1,1,1,0.93
89,8,v18-replay-d08-t05,v18-loop-015,1,1,1,1,1,1,1.0
90,8,v18-replay-d08-t06,v18-loop-016,1,1,1,1,1,1,1.0
91,8,v18-replay-d08-t07,v18-loop-016,1,1,1,1,1,1,1.0
92,8,v18-replay-d08-t08,v18-loop-016,1,1,1,1,1,1,1.0
93,8,v18-replay-d08-t09,v18-loop-016,1,1,1,1,1,1,1.0
94,8,v18-replay-d08-t10,v18-loop-016,1,1,1,1,1,1,1.0
95,8,v18-replay-d08-t11,v18-loop-016,1,1,0,1,1,1,0.966667
96,9,v18-replay-d09-t00,v18-loop-017,1,1,1,1,1,1,1.0
97,9,v18-replay-d09-t01,v18-loop-017,1,1,1,1,1,1,1.0
98,9,v18-replay-d09-t02,v18-loop-017,1,1,1,1,1,1,1.0
99,9,v18-replay-d09-t03,v18-loop-017,1,1,1,1,1,1,1.0
100,9,v18-replay-d09-t04,v18-loop-017,1,1,1,1,1,1,1.0
101,9,v18-replay-d09-t05,v18-loop-017,1,1,1,1,0,1,0.97
102,9,v18-replay-d09-t06,v18-loop-018,1,1,0,1,1,1,0.966667
103,9,v18-replay-d09-t07,v18-loop-018,1,1,1,1,1,1,1.0
104,9,v18-replay-d09-t08,v18-loop-018,1,1,1,1,1,1,1.0
105,9,v18-replay-d09-t09,v18-loop-018,1,1,1,1,1,1,1.0
106,9,v18-replay-d09-t10,v18-loop-018,1,1,1,1,1,1,1.0
107,9,v18-replay-d09-t11,v18-loop-018,1,1,1,1,1,1,1.0
108,10,v18-replay-d10-t00,v18-loop-019,1,1,1,1,1,1,1.0
109,10,v18-replay-d10-t01,v18-loop-019,1,1,1,1,1,1,1.0
