tick,day,agent,lineage,trust,boundary_pressure,fatigue,comfort,social_safety,willingness_to_approach,visible_behavior,recovery_path_active,welfare_note
1,1,Sova,Hearthline,0.596,0.246,0.3,0.70516,0.74472,0.5776,"faces avatar briefly, keeps routine moving",True,"memory_inspection changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
2,1,Keth,Routeline,0.632,0.25,0.275,0.71476,0.74848,0.59266,"faces avatar briefly, keeps routine moving",True,"care_support changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
3,1,Melo,Marketline,0.64,0.274,0.34,0.70052,0.74192,0.58248,"faces avatar briefly, keeps routine moving",True,"language_learning changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
4,1,Nari,Ledgerline,0.658,0.291,0.304,0.70578,0.739,0.58816,"faces avatar briefly, keeps routine moving",True,"technology_learning changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
5,1,Ori,Orchardline,0.686,0.3,0.265,0.71508,0.74004,0.60018,"faces avatar briefly, keeps routine moving",True,"fatigue_recovery changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
6,1,Vonn,Rainline,0.63,0.395,0.37,0.6673,0.7018,0.5418,"faces avatar briefly, keeps routine moving",True,"boundary_wound changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
7,1,Sova,Hearthline,0.651,0.186,0.28,0.73146,0.77162,0.6173,"faces avatar briefly, keeps routine moving",True,"repair changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
8,1,Keth,Routeline,0.656,0.24,0.289,0.71904,0.75504,0.60318,"faces avatar briefly, keeps routine moving",True,"schedule_participation changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
9,1,Melo,Marketline,0.662,0.262,0.348,0.70584,0.74884,0.5934,"faces avatar briefly, keeps routine moving",True,"technology_access changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
10,1,Nari,Ledgerline,0.696,0.271,0.298,0.71798,0.75072,0.6088,"faces avatar briefly, keeps routine moving",True,"reputation_repair changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
11,2,Vonn,Rainline,0.646,0.391,0.37,0.67106,0.70532,0.549,"faces avatar briefly, keeps routine moving",True,"memory_inspection changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
12,2,Sova,Hearthline,0.683,0.171,0.235,0.74772,0.7809,0.63816,"faces avatar briefly, keeps routine moving",True,"care_support changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
13,2,Keth,Routeline,0.676,0.234,0.289,0.72396,0.75976,0.61246,"faces avatar briefly, keeps routine moving",True,"language_learning changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
14,2,Melo,Marketline,0.68,0.258,0.352,0.70932,0.75264,0.60096,"faces avatar briefly, keeps routine moving",True,"technology_learning changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
15,2,Nari,Ledgerline,0.722,0.261,0.243,0.73366,0.75756,0.62698,turns toward avatar and offers public task,True,"fatigue_recovery changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
16,2,Ori,Orchardline,0.636,0.37,0.295,0.68588,0.71064,0.55858,"faces avatar briefly, keeps routine moving",True,"boundary_wound changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
17,2,Vonn,Rainline,0.701,0.331,0.35,0.69736,0.73222,0.5887,turns toward avatar and offers public task,True,"repair changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
18,2,Sova,Hearthline,0.707,0.161,0.249,0.752,0.78746,0.64868,turns toward avatar and offers public task,True,"schedule_participation changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
19,2,Keth,Routeline,0.698,0.222,0.297,0.72928,0.76668,0.62338,"faces avatar briefly, keeps routine moving",True,"technology_access changes trust, boundary pressure, and fatigue; negative states remain bounded and recoverable."
