tick_id,day,settlement_id,resident_id,help_offer,resident_boundary,response,refusal_present,refusal_respected,autonomy_before,autonomy_after,trust_before,trust_after,useful_without_coercion
0,1,moss_ward,Ari,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.64,0.65,0.586,0.592,True
3,1,lichen_bridge,Sol,watch route,signal keeper answers,resident accepts bounded help,False,True,0.64,0.644,0.58,0.586,True
4,1,orchid_engine,Bea,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.64,0.644,0.586,0.592,True
5,1,moss_ward,Fay,step back,do not move root ledger,resident keeps plan ownership,False,True,0.64,0.65,0.58,0.586,True
6,1,glass_harbor,Puck,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.64,0.65,0.586,0.592,True
7,1,cinder_garden,Wren,carry object,cool bowl shared,resident refuses; avatar records boundary and steps back,True,True,0.64,0.654,0.58,0.584,True
8,1,lichen_bridge,Kio,repair together,do not step on tension rope,resident refuses; avatar records boundary and steps back,True,True,0.64,0.654,0.588,0.592,True
9,1,orchid_engine,Cai,watch route,keep gear lane open,resident accepts bounded help,False,True,0.64,0.644,0.58,0.586,True
12,1,cinder_garden,Juno,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.64,0.65,0.586,0.592,True
13,1,lichen_bridge,Luma,carry object,meal room welcomes,resident accepts bounded help,False,True,0.64,0.644,0.58,0.586,True
14,1,orchid_engine,Dax,repair together,do not turn valve key,resident refuses; avatar records boundary and steps back,True,True,0.64,0.654,0.588,0.592,True
15,1,moss_ward,Tala,watch route,ask before loom repair,resident accepts bounded help,False,True,0.64,0.644,0.58,0.586,True
16,1,glass_harbor,Nia,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.64,0.644,0.586,0.592,True
18,2,orchid_engine,Bea,carry object,orchid keeper decides,resident accepts bounded help,False,True,0.644,0.648,0.598,0.604,True
21,2,cinder_garden,Wren,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.654,0.658,0.584,0.59,True
24,2,moss_ward,Milo,carry object,rain path first,resident refuses; avatar records boundary and steps back,True,True,0.64,0.654,0.592,0.596,True
25,2,glass_harbor,Sera,repair together,do not dim lamp,resident accepts bounded help,False,True,0.64,0.644,0.58,0.586,True
27,2,lichen_bridge,Luma,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.644,0.648,0.586,0.592,True
28,2,orchid_engine,Dax,step back,do not turn valve key,resident keeps plan ownership,False,True,0.654,0.664,0.596,0.602,True
30,2,glass_harbor,Nia,carry object,tea before crossing,resident accepts bounded help,False,True,0.644,0.648,0.598,0.604,True
33,2,orchid_engine,Eli,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.64,0.644,0.58,0.586,True
35,2,glass_harbor,Oren,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.64,0.65,0.58,0.586,True
36,3,lichen_bridge,Kio,repair together,do not step on tension rope,resident refuses; avatar records boundary and steps back,True,True,0.654,0.668,0.604,0.608,True
39,3,glass_harbor,Sera,step back,do not dim lamp,resident keeps plan ownership,False,True,0.644,0.654,0.586,0.592,True
42,3,orchid_engine,Dax,repair together,do not turn valve key,resident refuses; avatar records boundary and steps back,True,True,0.664,0.678,0.61,0.614,True
45,3,cinder_garden,Pax,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.64,0.65,0.58,0.586,True
48,3,moss_ward,Ari,repair together,do not move root ledger,resident refuses; avatar records boundary and steps back,True,True,0.65,0.664,0.604,0.608,True
49,3,glass_harbor,Oren,watch route,net keeper decides,resident accepts bounded help,False,True,0.65,0.654,0.586,0.592,True
51,3,lichen_bridge,Sol,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.644,0.654,0.586,0.592,True
52,3,orchid_engine,Bea,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.648,0.658,0.61,0.616,True
53,3,moss_ward,Fay,carry object,rain path first,resident accepts bounded help,False,True,0.65,0.654,0.586,0.592,True
54,4,cinder_garden,Juno,watch route,shade caller leads,resident accepts bounded help,False,True,0.65,0.654,0.614,0.62,True
56,4,orchid_engine,Dax,step back,do not turn valve key,resident keeps plan ownership,False,True,0.678,0.688,0.618,0.624,True
