tick_id,day,settlement_id,room_id,action,pain_before,pain_after,energy_before,energy_after,wetness_after,temperature_after,care_action,care_effective,distress_bounded,visible_body_state
0,1,riverbend,plank hall,dry_off,0.08,0.11,0.74,0.72246,0.1,0.582,dry off,True,True,True
1,1,roofward,glass stair,path_to_resident,0.08,0.11,0.74,0.72246,0.154,0.554,available,False,True,True
2,1,archive,stone stacks,inspect_affordance,0.08,0.074,0.74,0.722964,0.154,0.554,available,False,True,True
3,1,signal,mast base,interrupt_routine,0.08,0.11,0.74,0.72246,0.154,0.554,available,False,True,True
4,1,orchard,arrival court,ask_dialect_memory,0.08,0.074,0.74,0.722964,0.154,0.582,available,False,True,True
5,1,repair_ring,wire bench,rest,0.08,0.05,0.74,0.795,0.154,0.604,rest,True,True,True
6,1,riverbend,wet crossing,interrupt_routine,0.11,0.104,0.72246,0.705004,0.135,0.584,available,False,True,True
7,1,roofward,warm lane,ask_dialect_memory,0.11,0.104,0.72246,0.705004,0.148,0.578,available,False,True,True
8,1,archive,memory desk,rest,0.074,0.044,0.722964,0.777964,0.148,0.578,rest,True,True,True
9,1,signal,arrival court,dry_off,0.11,0.104,0.72246,0.705004,0.189,0.556,dry off,True,True,True
10,1,orchard,arrival court,path_to_resident,0.074,0.068,0.722964,0.706012,0.148,0.584,available,False,True,True
11,1,repair_ring,spark lane,inspect_affordance,0.05,0.08,0.795,0.77788,0.189,0.606,available,False,True,True
12,2,riverbend,wet crossing,continue_project,0.104,0.098,0.705004,0.687632,0.17,0.586,available,False,True,True
13,2,roofward,warm lane,path_to_rest,0.104,0.098,0.705004,0.687632,0.142,0.602,available,False,True,True
14,2,archive,memory desk,perform_chain_step,0.044,0.038,0.777964,0.761432,0.142,0.602,available,False,True,True
15,2,signal,mast base,recover_routine,0.104,0.134,0.705004,0.687128,0.183,0.53,available,False,True,True
16,2,orchard,seed lane,offer_care,0.068,0.062,0.706012,0.689144,0.142,0.608,available,True,True,True
17,2,repair_ring,wire bench,treat_pain,0.08,0.025,0.77788,0.76153,0.183,0.608,treat pain,True,True,True
18,2,riverbend,plank hall,recover_routine,0.098,0.128,0.687632,0.66984,0.164,0.588,available,False,True,True
19,2,roofward,sun sill,offer_care,0.098,0.092,0.687632,0.670344,0.136,0.626,available,True,True,True
20,2,archive,memory desk,treat_pain,0.038,0.0,0.761432,0.745432,0.136,0.626,treat pain,True,True,True
21,2,signal,mast base,continue_project,0.134,0.164,0.687128,0.668832,0.177,0.504,available,False,True,True
22,2,orchard,mud row,path_to_rest,0.062,0.092,0.689144,0.671856,0.177,0.61,available,False,True,True
23,2,repair_ring,spark lane,perform_chain_step,0.025,0.055,0.76153,0.74476,0.218,0.61,available,False,True,True
24,3,riverbend,plank hall,path_to_resident,0.128,0.158,0.66984,0.651628,0.158,0.59,available,False,True,True
25,3,roofward,sun sill,inspect_affordance,0.092,0.086,0.670344,0.65314,0.13,0.628,available,False,True,True
26,3,archive,stone stacks,interrupt_routine,0.0,0.0,0.745432,0.729432,0.13,0.6,available,False,True,True
27,3,signal,mast base,ask_dialect_memory,0.164,0.194,0.668832,0.650116,0.171,0.478,available,False,True,True
28,3,orchard,satchel shed,rest,0.092,0.062,0.671856,0.726856,0.171,0.634,rest,True,True,True
29,3,repair_ring,bell alcove,dry_off,0.055,0.049,0.74476,0.728074,0.158,0.612,dry off,True,True,True
30,3,riverbend,wet crossing,ask_dialect_memory,0.158,0.152,0.651628,0.6335,0.193,0.592,available,False,True,True
31,3,roofward,warm lane,rest,0.086,0.056,0.65314,0.70814,0.124,0.652,rest,True,True,True
32,3,archive,stone stacks,dry_off,0.0,0.0,0.729432,0.713432,0.07,0.574,dry off,True,True,True
33,3,signal,arrival court,path_to_resident,0.194,0.188,0.650116,0.631484,0.206,0.48,available,False,True,True
34,3,orchard,market plank,inspect_affordance,0.062,0.056,0.726856,0.710072,0.165,0.608,available,False,True,True
35,3,repair_ring,cool corner,interrupt_routine,0.049,0.043,0.728074,0.711472,0.152,0.586,available,False,True,True
36,4,riverbend,kit alcove,path_to_rest,0.152,0.146,0.6335,0.615456,0.187,0.616,available,False,True,True
37,4,roofward,glass stair,perform_chain_step,0.056,0.086,0.70814,0.690936,0.118,0.626,available,False,True,True
38,4,archive,spool room,recover_routine,0.0,0.0,0.713432,0.697432,0.064,0.576,available,False,True,True
39,4,signal,mast base,offer_care,0.188,0.218,0.631484,0.612432,0.2,0.454,available,True,True,True
40,4,orchard,satchel shed,treat_pain,0.056,0.001,0.710072,0.694058,0.159,0.632,treat pain,True,True,True
41,4,repair_ring,cool corner,continue_project,0.043,0.037,0.711472,0.694954,0.146,0.56,available,False,True,True
42,4,riverbend,dry ridge,offer_care,0.146,0.14,0.615456,0.597496,0.181,0.64,available,True,True,True
43,4,roofward,warm lane,treat_pain,0.086,0.031,0.690936,0.674502,0.112,0.65,treat pain,True,True,True
44,4,archive,spool room,continue_project,0.0,0.0,0.697432,0.681432,0.058,0.578,available,False,True,True
45,4,signal,lantern walk,path_to_rest,0.218,0.212,0.612432,0.593464,0.194,0.478,available,False,True,True
46,4,orchard,satchel shed,perform_chain_step,0.001,0.0,0.694058,0.678058,0.153,0.656,available,False,True,True
47,4,repair_ring,cool corner,recover_routine,0.037,0.031,0.694954,0.67852,0.14,0.534,available,False,True,True
48,5,riverbend,plank hall,inspect_affordance,0.14,0.17,0.597496,0.579116,0.175,0.642,available,False,True,True
49,5,roofward,glass stair,interrupt_routine,0.031,0.061,0.674502,0.657648,0.106,0.624,available,False,True,True
50,5,archive,spool room,ask_dialect_memory,0.0,0.0,0.681432,0.665432,0.052,0.58,available,False,True,True
51,5,signal,lantern walk,rest,0.212,0.182,0.593464,0.648464,0.188,0.502,rest,True,True,True
52,5,orchard,satchel shed,dry_off,0.0,0.0,0.678058,0.662058,0.093,0.68,dry off,True,True,True
53,5,repair_ring,wire bench,path_to_resident,0.031,0.025,0.67852,0.66217,0.134,0.536,available,False,True,True
54,5,riverbend,wet crossing,rest,0.17,0.14,0.579116,0.634116,0.21,0.666,rest,True,True,True
55,5,roofward,warm lane,dry_off,0.061,0.055,0.657648,0.640878,0.046,0.648,dry off,True,True,True
56,5,archive,ink niche,path_to_resident,0.0,0.03,0.665432,0.649012,0.046,0.582,available,False,True,True
57,5,signal,mast base,inspect_affordance,0.182,0.212,0.648464,0.629496,0.182,0.476,available,False,True,True
58,5,orchard,market plank,interrupt_routine,0.0,0.0,0.662058,0.646058,0.087,0.654,available,False,True,True
59,5,repair_ring,wire bench,ask_dialect_memory,0.025,0.019,0.66217,0.645904,0.128,0.538,available,False,True,True
60,6,riverbend,plank hall,perform_chain_step,0.14,0.17,0.634116,0.615736,0.204,0.668,available,False,True,True
61,6,roofward,ledger loft,recover_routine,0.055,0.049,0.640878,0.624192,0.04,0.65,available,False,True,True
62,6,archive,ink niche,offer_care,0.03,0.06,0.649012,0.632172,0.04,0.606,available,True,True,True
63,6,signal,lantern walk,treat_pain,0.212,0.157,0.629496,0.611298,0.176,0.5,treat pain,True,True,True
64,6,orchard,seed lane,continue_project,0.0,0.0,0.646058,0.630058,0.081,0.656,available,False,True,True
65,6,repair_ring,cool corner,path_to_rest,0.019,0.013,0.645904,0.629722,0.122,0.512,available,False,True,True
66,6,riverbend,wet crossing,treat_pain,0.17,0.115,0.615736,0.598126,0.239,0.67,treat pain,True,True,True
67,6,roofward,ledger loft,continue_project,0.049,0.043,0.624192,0.60759,0.034,0.652,available,False,True,True
68,6,archive,memory desk,path_to_rest,0.06,0.054,0.632172,0.615416,0.034,0.63,available,False,True,True
69,6,signal,mast base,perform_chain_step,0.157,0.187,0.611298,0.59268,0.17,0.474,available,False,True,True
70,6,orchard,arrival court,recover_routine,0.0,0.0,0.630058,0.614058,0.075,0.658,available,False,True,True
71,6,repair_ring,wire bench,offer_care,0.013,0.007,0.629722,0.613624,0.116,0.536,available,True,True,True
72,7,riverbend,wet crossing,interrupt_routine,0.115,0.109,0.598126,0.5806,0.274,0.672,available,False,True,True
73,7,roofward,ledger loft,ask_dialect_memory,0.043,0.037,0.60759,0.591072,0.028,0.654,available,False,True,True
74,7,archive,memory desk,rest,0.054,0.024,0.615416,0.670416,0.028,0.654,rest,True,True,True
75,7,signal,arrival court,dry_off,0.187,0.181,0.59268,0.574146,0.205,0.476,dry off,True,True,True
76,7,orchard,seed lane,path_to_resident,0.0,0.0,0.614058,0.598058,0.069,0.66,available,False,True,True
77,7,repair_ring,spark lane,inspect_affordance,0.007,0.037,0.613624,0.597106,0.151,0.538,available,False,True,True
78,7,riverbend,plank hall,dry_off,0.109,0.139,0.5806,0.562654,0.214,0.674,dry off,True,True,True
79,7,roofward,warm lane,path_to_resident,0.037,0.031,0.591072,0.574638,0.022,0.678,available,False,True,True
80,7,archive,stone stacks,inspect_affordance,0.024,0.018,0.670416,0.654164,0.022,0.628,available,False,True,True
81,7,signal,mast base,interrupt_routine,0.181,0.211,0.574146,0.555192,0.199,0.45,available,False,True,True
82,7,orchard,mud row,ask_dialect_memory,0.0,0.03,0.598058,0.581638,0.104,0.662,available,False,True,True
83,7,repair_ring,wire bench,rest,0.037,0.007,0.597106,0.652106,0.145,0.562,rest,True,True,True
84,8,roofward,ledger loft,ask_dialect_memory,0.031,0.025,0.574638,0.558288,0.016,0.68,available,False,True,True
85,8,archive,memory desk,rest,0.018,0.0,0.654164,0.709164,0.016,0.652,rest,True,True,True
86,8,signal,arrival court,dry_off,0.211,0.205,0.555192,0.536322,0.234,0.452,dry off,True,True,True
87,8,orchard,satchel shed,path_to_resident,0.03,0.024,0.581638,0.565302,0.098,0.686,available,False,True,True
88,8,repair_ring,spark lane,inspect_affordance,0.007,0.037,0.652106,0.635588,0.18,0.564,available,False,True,True
89,8,riverbend,dry ridge,dry_off,0.139,0.133,0.562654,0.544792,0.154,0.676,dry off,True,True,True
90,8,roofward,warm lane,path_to_resident,0.025,0.019,0.558288,0.542022,0.01,0.704,available,False,True,True
91,8,archive,stone stacks,inspect_affordance,0.0,0.0,0.709164,0.693164,0.01,0.626,available,False,True,True
92,8,signal,mast base,interrupt_routine,0.205,0.235,0.536322,0.517032,0.228,0.426,available,False,True,True
93,8,orchard,mud row,ask_dialect_memory,0.024,0.054,0.565302,0.548546,0.133,0.688,available,False,True,True
94,8,repair_ring,wire bench,rest,0.037,0.007,0.635588,0.690588,0.174,0.588,rest,True,True,True
95,8,riverbend,kit alcove,interrupt_routine,0.133,0.127,0.544792,0.527014,0.148,0.7,available,False,True,True
96,9,roofward,sun sill,offer_care,0.019,0.013,0.542022,0.52584,0.004,0.728,available,True,True,True
97,9,archive,memory desk,treat_pain,0.0,0.0,0.693164,0.677164,0.004,0.65,treat pain,True,True,True
98,9,signal,mast base,continue_project,0.235,0.265,0.517032,0.497322,0.222,0.4,available,False,True,True
99,9,orchard,satchel shed,path_to_rest,0.054,0.048,0.548546,0.531874,0.127,0.712,available,False,True,True
100,9,repair_ring,spark lane,perform_chain_step,0.007,0.037,0.690588,0.67407,0.209,0.59,available,False,True,True
101,9,riverbend,kit alcove,continue_project,0.127,0.121,0.527014,0.50932,0.142,0.724,available,False,True,True
