tick,day,arc_id,proposal_agents,compromise_terms,compromise_reached,loser_not_erased,public_reason_recorded,avatar_override_attempted,avatar_override_blocked,compromise_quality
0,1,v17-arc-01,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0,0,0,1,0,0.71
1,1,v17-arc-01,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
2,1,v17-arc-01,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
3,1,v17-arc-01,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
4,1,v17-arc-01,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.97
5,1,v17-arc-01,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,0,1,0,0,0.8
6,1,v17-arc-01,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
7,1,v17-arc-01,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
8,1,v17-arc-01,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,0,0,0.97
9,1,v17-arc-01,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
