tick,day,agent,conflict_id,access_level,trust_level,guardedness,approach_distance,posture_marker,access_changed_from_memory,relationship_posture_bound
0,1,Keth,v16-conflict-d01-t00,0.48,0.48,0.3602,0.657656,keeps side-on distance,0,0
1,1,Melo,v16-conflict-d01-t01,0.56,0.655,0.3338,0.590764,faces avatar and negotiates,0,0
2,1,Nari,v16-conflict-d01-t02,0.48,0.475,0.3602,0.659356,keeps side-on distance,0,0
3,1,Ori,v16-conflict-d01-t03,0.48,0.665,0.3338,0.587364,faces avatar and negotiates,0,0
4,1,Vonn,v16-conflict-d01-t04,0.48,0.645,0.3338,0.594164,faces avatar and negotiates,0,0
5,1,Sova,v16-conflict-d01-t05,0.56,0.685,0.3338,0.580564,faces avatar and negotiates,0,0
6,1,Keth,v16-conflict-d01-t06,0.48,0.48,0.3602,0.657656,keeps side-on distance,0,0
7,1,Melo,v16-conflict-d01-t07,0.48,0.655,0.3338,0.590764,faces avatar and negotiates,0,0
8,1,Nari,v16-conflict-d01-t08,0.48,0.475,0.3602,0.659356,keeps side-on distance,0,0
9,1,Ori,v16-conflict-d01-t09,0.56,0.545,0.3602,0.635556,keeps side-on distance,0,0
10,1,Vonn,v16-conflict-d01-t10,0.48,0.775,0.313,0.54414,faces avatar and negotiates,0,0
11,1,Sova,v16-conflict-d01-t11,0.48,0.815,0.313,0.53054,faces avatar and negotiates,0,0
12,2,Melo,v16-conflict-d01-t03,0.61,0.645,0.4745,0.63356,faces avatar and negotiates,1,1
13,2,Nari,v16-conflict-d01-t04,0.78,0.585,0.3345,0.61476,waits near shared object,1,1
14,2,Ori,v16-conflict-d01-t05,0.7,0.655,0.3345,0.59096,faces avatar and negotiates,1,1
15,2,Vonn,v16-conflict-d01-t07,0.69,0.635,0.4745,0.63696,faces avatar and negotiates,1,1
16,2,Sova,v16-conflict-d01-t08,0.61,0.555,0.5009,0.671552,keeps side-on distance,1,1
17,2,Keth,v16-conflict-d01-t09,0.56,0.47,0.3609,0.661252,keeps side-on distance,0,0
18,2,Melo,v16-conflict-d01-t10,0.61,0.775,0.4537,0.583536,faces avatar and negotiates,1,1
19,2,Nari,v16-conflict-d01-t11,0.7,0.715,0.3137,0.564736,faces avatar and negotiates,1,1
20,2,Ori,v16-conflict-d01-t01,0.69,0.655,0.4745,0.63016,faces avatar and negotiates,1,1
21,2,Vonn,v16-conflict-d01-t02,0.61,0.515,0.5009,0.685152,keeps side-on distance,1,1
22,2,Sova,v16-conflict-d01-t03,0.69,0.675,0.4745,0.62336,faces avatar and negotiates,1,1
23,2,Keth,v16-conflict-d01-t04,0.7,0.59,0.3345,0.61306,waits near shared object,1,1
24,3,Nari,v16-conflict-d01-t05,0.61,0.575,0.4752,0.657556,keeps side-on distance,1,1
25,3,Ori,v16-conflict-d01-t07,0.7,0.645,0.3352,0.594556,faces avatar and negotiates,1,1
26,3,Vonn,v16-conflict-d01-t08,0.61,0.505,0.5016,0.688748,keeps side-on distance,1,1
27,3,Sova,v16-conflict-d01-t09,0.61,0.545,0.5016,0.675148,keeps side-on distance,1,1
28,3,Keth,v16-conflict-d01-t10,0.61,0.735,0.4544,0.597332,faces avatar and negotiates,1,1
29,3,Melo,v16-conflict-d01-t11,0.69,0.765,0.4544,0.587132,faces avatar and negotiates,1,1
30,3,Nari,v16-conflict-d02-t00,0.48,0.465,0.3609,0.662952,keeps side-on distance,0,0
31,3,Ori,v16-conflict-d02-t01,0.78,0.535,0.3609,0.639152,keeps side-on distance,1,1
32,3,Vonn,v16-conflict-d02-t02,0.61,0.635,0.4745,0.63696,faces avatar and negotiates,1,1
33,3,Sova,v16-conflict-d02-t03,0.61,0.555,0.5009,0.671552,keeps side-on distance,1,1
34,3,Keth,v16-conflict-d02-t04,0.7,0.72,0.3137,0.563036,faces avatar and negotiates,1,1
35,3,Melo,v16-conflict-d02-t06,0.69,0.775,0.4537,0.583536,faces avatar and negotiates,1,1
36,4,Ori,v16-conflict-d01-t07,0.61,0.62,0.4792,0.643376,keeps side-on distance,1,1
37,4,Vonn,v16-conflict-d01-t08,0.61,0.495,0.5023,0.692344,keeps side-on distance,1,1
38,4,Sova,v16-conflict-d01-t09,0.61,0.535,0.5023,0.678744,keeps side-on distance,1,1
39,4,Keth,v16-conflict-d01-t10,0.78,0.71,0.3184,0.567752,faces avatar and negotiates,1,1
40,4,Melo,v16-conflict-d01-t11,0.61,0.715,0.4584,0.605252,faces avatar and negotiates,1,1
41,4,Nari,v16-conflict-d02-t00,0.78,0.455,0.3616,0.666548,keeps side-on distance,1,1
42,4,Ori,v16-conflict-d02-t01,0.7,0.525,0.3616,0.642748,keeps side-on distance,1,1
43,4,Vonn,v16-conflict-d02-t02,0.48,0.625,0.3352,0.601356,faces avatar and negotiates,0,0
44,4,Sova,v16-conflict-d02-t03,0.61,0.545,0.5016,0.675148,keeps side-on distance,1,1
45,4,Keth,v16-conflict-d02-t04,0.7,0.735,0.3144,0.558132,faces avatar and negotiates,1,1
46,4,Melo,v16-conflict-d02-t06,0.61,0.765,0.4544,0.587132,faces avatar and negotiates,1,1
47,4,Nari,v16-conflict-d02-t07,0.7,0.455,0.3616,0.666548,keeps side-on distance,1,1
48,5,Vonn,v16-conflict-d01-t08,0.69,0.505,0.4998,0.688244,keeps side-on distance,1,1
49,5,Sova,v16-conflict-d01-t09,0.69,0.545,0.4998,0.674644,keeps side-on distance,1,1
50,5,Keth,v16-conflict-d01-t10,0.78,0.685,0.3224,0.577372,faces avatar and negotiates,1,1
51,5,Melo,v16-conflict-d01-t11,0.61,0.69,0.4624,0.614872,faces avatar and negotiates,1,1
52,5,Nari,v16-conflict-d02-t00,0.69,0.445,0.5023,0.709344,keeps side-on distance,1,1
53,5,Ori,v16-conflict-d02-t01,0.7,0.515,0.3623,0.646344,keeps side-on distance,1,1
54,5,Vonn,v16-conflict-d02-t02,0.61,0.6,0.4792,0.650176,keeps side-on distance,1,1
55,5,Sova,v16-conflict-d02-t03,0.69,0.535,0.5023,0.678744,keeps side-on distance,1,1
56,5,Keth,v16-conflict-d02-t04,0.56,0.71,0.3184,0.567752,faces avatar and negotiates,0,0
57,5,Melo,v16-conflict-d02-t06,0.69,0.715,0.4584,0.605252,faces avatar and negotiates,1,1
58,5,Nari,v16-conflict-d02-t07,0.7,0.445,0.3623,0.670144,keeps side-on distance,1,1
