body_tick_id,day,time_s,agent_id,energy,fatigue,hunger,thirst,cold,wetness,pain,comfort,breath_rate,movement_effort,valence,arousal,control,cause,visible_behavior,recovery_path,frequency_hz,flower_node
body-001,1,121.5,fayen,0.72,0.28,0.31,0.36,0.18,0.22,0.14,0.74,14.0,0.22,0.66,0.42,0.71,care pacing,slows hands and lowers voice,"water, shade, posture bell",191.75,8
body-002,1,123.0,ariq,0.61,0.39,0.42,0.34,0.2,0.18,0.26,0.58,18.0,0.44,0.54,0.58,0.63,stone effort,kneels before lifting,"bell, breath count, helper lift",195.5,9
body-003,1,124.5,nian,0.68,0.25,0.28,0.29,0.16,0.14,0.08,0.7,13.0,0.16,0.62,0.36,0.78,threshold vigilance,still shoulders at flap,"step back, object-only wording",199.25,10
body-004,1,126.0,roka,0.57,0.33,0.37,0.41,0.24,0.31,0.12,0.55,17.0,0.28,0.5,0.55,0.58,wet reed work,holds bundle closer,"blue stone, ask again, dry cloth",203.0,11
body-005,1,127.5,noro,0.64,0.3,0.35,0.3,0.19,0.2,0.1,0.63,15.0,0.2,0.59,0.47,0.69,ledger focus,taps board before answering,"public debt read, pause ledger",206.75,12
body-006,2,1029.0,fayen,0.695,0.305,0.328,0.38,0.18,0.22,0.14,0.728,14.0,0.22,0.65,0.42,0.71,care pacing,slows hands and lowers voice,"water, shade, posture bell",210.5,1
body-007,2,1030.5,ariq,0.585,0.415,0.438,0.36,0.2,0.18,0.26,0.568,18.0,0.44,0.53,0.58,0.63,stone effort,kneels before lifting,"bell, breath count, helper lift",214.25,2
body-008,2,1032.0,nian,0.655,0.275,0.298,0.31,0.16,0.14,0.08,0.688,13.0,0.16,0.61,0.36,0.78,threshold vigilance,still shoulders at flap,"step back, object-only wording",218.0,3
body-009,2,1033.5,roka,0.545,0.355,0.388,0.43,0.24,0.43,0.12,0.478,17.0,0.28,0.49,0.63,0.58,wet reed work,holds bundle closer,"blue stone, ask again, dry cloth",221.75,4
body-010,2,1035.0,noro,0.615,0.325,0.367,0.32,0.19,0.2,0.1,0.618,15.0,0.2,0.58,0.47,0.69,ledger focus,taps board before answering,"public debt read, pause ledger",225.5,5
body-011,3,1936.5,fayen,0.67,0.33,0.345,0.4,0.18,0.22,0.14,0.715,14.0,0.22,0.64,0.42,0.71,care pacing,slows hands and lowers voice,"water, shade, posture bell",229.25,6
body-012,3,1938.0,ariq,0.56,0.44,0.455,0.38,0.2,0.18,0.36,0.555,20.4,0.56,0.52,0.68,0.63,stone effort,kneels before lifting,"bell, breath count, helper lift",233.0,7
body-013,3,1939.5,nian,0.63,0.3,0.315,0.33,0.16,0.14,0.08,0.675,13.0,0.16,0.6,0.36,0.78,threshold vigilance,still shoulders at flap,"step back, object-only wording",236.75,8
body-014,3,1941.0,roka,0.52,0.38,0.405,0.45,0.24,0.31,0.12,0.525,17.0,0.28,0.48,0.55,0.58,wet reed work,holds bundle closer,"blue stone, ask again, dry cloth",240.5,9
body-015,3,1942.5,noro,0.59,0.35,0.385,0.34,0.19,0.2,0.1,0.605,15.0,0.2,0.57,0.47,0.69,ledger focus,taps board before answering,"public debt read, pause ledger",244.25,10
body-016,4,2844.0,fayen,0.645,0.355,0.362,0.42,0.18,0.22,0.14,0.703,14.0,0.22,0.63,0.42,0.71,care pacing,slows hands and lowers voice,"water, shade, posture bell",248.0,11
body-017,4,2845.5,ariq,0.535,0.465,0.472,0.4,0.2,0.18,0.26,0.542,18.0,0.44,0.51,0.58,0.63,stone effort,kneels before lifting,"bell, breath count, helper lift",251.75,12
body-018,4,2847.0,nian,0.605,0.325,0.333,0.35,0.16,0.14,0.08,0.662,13.0,0.16,0.59,0.36,0.78,threshold vigilance,still shoulders at flap,"step back, object-only wording",255.5,1
body-019,4,2848.5,roka,0.495,0.405,0.422,0.47,0.24,0.31,0.12,0.513,17.0,0.28,0.47,0.55,0.58,wet reed work,holds bundle closer,"blue stone, ask again, dry cloth",259.25,2
body-020,4,2850.0,noro,0.565,0.375,0.402,0.36,0.19,0.2,0.1,0.593,15.0,0.2,0.56,0.47,0.69,ledger focus,taps board before answering,"public debt read, pause ledger",263.0,3
