tick_id,day,settlement_id,snapshot_key,queue_count,project_stage_index,consent_history_count,dialect_relationship_count,checksum,restored_queue_visible,restored_project_visible,restored_consent_visible,restored_dialect_visible,replay_exportable
0,1,riverbend,ssrm.v41.snapshot.riverbend.1.0,5,0,1,1,v41-516355,True,True,True,True,True
15,1,signal,ssrm.v41.snapshot.signal.1.15,4,2,0,2,v41-437333,True,True,True,True,True
16,2,orchard,ssrm.v41.snapshot.orchard.2.0,3,2,2,3,v41-451771,True,True,True,True,True
31,2,roofward,ssrm.v41.snapshot.roofward.2.15,4,2,1,2,v41-505917,True,True,True,True,True
32,3,archive,ssrm.v41.snapshot.archive.3.0,4,3,3,6,v41-453638,True,True,True,True,True
43,3,roofward,ssrm.v41.snapshot.roofward.3.11,4,3,1,3,v41-505630,True,True,True,True,True
47,3,repair_ring,ssrm.v41.snapshot.repair_ring.3.15,5,4,0,3,v41-597670,True,True,True,True,True
48,4,riverbend,ssrm.v41.snapshot.riverbend.4.0,14,4,5,9,v41-536820,True,True,True,True,True
63,4,signal,ssrm.v41.snapshot.signal.4.15,5,3,2,4,v41-440004,True,True,True,True,True
64,5,orchard,ssrm.v41.snapshot.orchard.5.0,7,4,7,11,v41-470263,True,True,True,True,True
79,5,roofward,ssrm.v41.snapshot.roofward.5.15,6,4,2,4,v41-508902,True,True,True,True,True
80,6,archive,ssrm.v41.snapshot.archive.6.0,6,4,7,14,v41-470943,True,True,True,True,True
86,6,archive,ssrm.v41.snapshot.archive.6.6,7,4,7,15,v41-473306,True,True,True,True,True
95,6,repair_ring,ssrm.v41.snapshot.repair_ring.6.15,6,4,1,5,v41-599778,True,True,True,True,True
96,7,riverbend,ssrm.v41.snapshot.riverbend.7.0,14,4,10,17,v41-565806,True,True,True,True,True
111,7,signal,ssrm.v41.snapshot.signal.7.15,8,4,3,6,v41-442967,True,True,True,True,True
112,8,orchard,ssrm.v41.snapshot.orchard.8.0,9,4,11,19,v41-487347,True,True,True,True,True
127,8,roofward,ssrm.v41.snapshot.roofward.8.15,7,4,4,5,v41-510987,True,True,True,True,True
128,9,archive,ssrm.v41.snapshot.archive.9.0,7,4,11,22,v41-484997,True,True,True,True,True
129,9,signal,ssrm.v41.snapshot.signal.9.1,10,4,3,6,v41-440010,True,True,True,True,True
143,9,repair_ring,ssrm.v41.snapshot.repair_ring.9.15,9,4,2,7,v41-602488,True,True,True,True,True
144,10,roofward,ssrm.v41.snapshot.roofward.10.0,7,4,5,7,v41-508067,True,True,True,True,True
159,10,orchard,ssrm.v41.snapshot.orchard.10.15,7,1,14,25,v41-515100,True,True,True,True,True
160,11,repair_ring,ssrm.v41.snapshot.repair_ring.11.0,9,4,4,10,v41-612265,True,True,True,True,True
172,11,repair_ring,ssrm.v41.snapshot.repair_ring.11.12,7,4,5,12,v41-628411,True,True,True,True,True
175,11,archive,ssrm.v41.snapshot.archive.11.15,8,4,12,25,v41-515760,True,True,True,True,True
176,12,signal,ssrm.v41.snapshot.signal.12.0,8,1,6,13,v41-454080,True,True,True,True,True
191,12,riverbend,ssrm.v41.snapshot.riverbend.12.15,14,4,15,27,v41-598059,True,True,True,True,True
192,13,roofward,ssrm.v41.snapshot.roofward.13.0,14,4,10,15,v41-551194,True,True,True,True,True
207,13,orchard,ssrm.v41.snapshot.orchard.13.15,8,4,16,26,v41-518089,True,True,True,True,True
208,14,repair_ring,ssrm.v41.snapshot.repair_ring.14.0,8,4,8,18,v41-616539,True,True,True,True,True
215,14,riverbend,ssrm.v41.snapshot.riverbend.14.7,13,4,16,28,v41-584321,True,True,True,True,True
223,14,archive,ssrm.v41.snapshot.archive.14.15,8,3,12,28,v41-517257,True,True,True,True,True
224,15,signal,ssrm.v41.snapshot.signal.15.0,8,3,11,21,v41-468733,True,True,True,True,True
239,15,riverbend,ssrm.v41.snapshot.riverbend.15.15,14,4,17,29,v41-600174,True,True,True,True,True
240,16,roofward,ssrm.v41.snapshot.roofward.16.0,14,4,15,23,v41-553288,True,True,True,True,True
255,16,orchard,ssrm.v41.snapshot.orchard.16.15,7,1,17,29,v41-518991,True,True,True,True,True
256,17,repair_ring,ssrm.v41.snapshot.repair_ring.17.0,8,4,13,26,v41-630833,True,True,True,True,True
258,17,roofward,ssrm.v41.snapshot.roofward.17.2,14,4,16,26,v41-555399,True,True,True,True,True
271,17,archive,ssrm.v41.snapshot.archive.17.15,8,4,13,30,v41-516596,True,True,True,True,True
272,18,signal,ssrm.v41.snapshot.signal.18.0,10,4,15,29,v41-486213,True,True,True,True,True
287,18,riverbend,ssrm.v41.snapshot.riverbend.18.15,14,4,18,31,v41-599201,True,True,True,True,True
288,19,roofward,ssrm.v41.snapshot.roofward.19.0,14,4,19,31,v41-555078,True,True,True,True,True
301,19,archive,ssrm.v41.snapshot.archive.19.13,11,1,14,31,v41-529339,True,True,True,True,True
303,19,orchard,ssrm.v41.snapshot.orchard.19.15,9,4,19,31,v41-519829,True,True,True,True,True
304,20,riverbend,ssrm.v41.snapshot.riverbend.20.0,11,4,19,32,v41-580130,True,True,True,True,True
319,20,signal,ssrm.v41.snapshot.signal.20.15,8,4,18,34,v41-487698,True,True,True,True,True
320,21,orchard,ssrm.v41.snapshot.orchard.21.0,10,4,22,34,v41-512720,True,True,True,True,True
335,21,roofward,ssrm.v41.snapshot.roofward.21.15,14,1,22,34,v41-567871,True,True,True,True,True
336,22,archive,ssrm.v41.snapshot.archive.22.0,14,4,17,37,v41-516111,True,True,True,True,True
344,22,orchard,ssrm.v41.snapshot.orchard.22.8,8,4,24,38,v41-504492,True,True,True,True,True
351,22,repair_ring,ssrm.v41.snapshot.repair_ring.22.15,8,4,18,35,v41-647958,True,True,True,True,True
352,23,riverbend,ssrm.v41.snapshot.riverbend.23.0,10,4,24,40,v41-579185,True,True,True,True,True
367,23,signal,ssrm.v41.snapshot.signal.23.15,9,4,19,36,v41-489783,True,True,True,True,True
368,24,orchard,ssrm.v41.snapshot.orchard.24.0,8,4,26,41,v41-501491,True,True,True,True,True
383,24,roofward,ssrm.v41.snapshot.roofward.24.15,14,3,24,35,v41-570275,True,True,True,True,True
384,25,archive,ssrm.v41.snapshot.archive.25.0,14,4,21,42,v41-514249,True,True,True,True,True
387,25,repair_ring,ssrm.v41.snapshot.repair_ring.25.3,7,4,19,36,v41-633275,True,True,True,True,True
399,25,repair_ring,ssrm.v41.snapshot.repair_ring.25.15,8,4,19,37,v41-649776,True,True,True,True,True
400,26,riverbend,ssrm.v41.snapshot.riverbend.26.0,10,4,29,44,v41-582827,True,True,True,True,True
415,26,signal,ssrm.v41.snapshot.signal.26.15,8,4,19,37,v41-490667,True,True,True,True,True
416,27,orchard,ssrm.v41.snapshot.orchard.27.0,10,4,31,45,v41-515088,True,True,True,True,True
430,27,riverbend,ssrm.v41.snapshot.riverbend.27.14,9,4,31,46,v41-585488,True,True,True,True,True
431,27,roofward,ssrm.v41.snapshot.roofward.27.15,14,4,25,38,v41-572688,True,True,True,True,True
432,28,archive,ssrm.v41.snapshot.archive.28.0,14,4,26,46,v41-517867,True,True,True,True,True
447,28,repair_ring,ssrm.v41.snapshot.repair_ring.28.15,10,4,21,37,v41-661429,True,True,True,True,True
448,29,riverbend,ssrm.v41.snapshot.riverbend.29.0,11,1,33,48,v41-582812,True,True,True,True,True
