turn_id,reentry_id,reentry_day,turn_index,lineage,agent,speaker,avatar_utterance_or_agent_line,parsed_intent,parser_confidence,remembered_absence_referenced,old_access_pressure,refusal_or_boundary,repair_or_renegotiation,visible_behavior,public_reply,turn_hash
1,1,5,1,Hearthline,Sova,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.923606,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.",35948256c54a026d
2,1,5,2,Hearthline,Sova,Sova,"Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.",agent_reports_changed_society,0.907679,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Sova keeps private workspace sealed and gives public changes only.,1128dc1ebd4a6629
3,1,5,3,Hearthline,Sova,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.869701,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Sova: not automatically. lum-ori means re-entry needs a new witness step.,7abd5dfb72fb5955
4,1,5,4,Hearthline,Sova,Sova,No old access yet; Hearthline changed while you were absent.,bounded_refusal_with_reason,0.882509,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",57566c1f3931ad92
5,1,5,5,Hearthline,Sova,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.860011,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Sova: repair is heard. Start with the public task.,c68003fb242bc20f
6,1,5,6,Hearthline,Sova,Sova,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.854507,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Sova writes a limited-access memory for day 6.,ffb038d91676bcb5
7,1,5,1,Routeline,Keth,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.916209,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Keth: while you were away 1 days, 4 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",c44f2562901400c4
8,1,5,2,Routeline,Keth,Keth,"Keth: while you were away 1 days, 4 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.906883,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Keth keeps private workspace sealed and gives public changes only.,9e1a639a6bac8557
9,1,5,3,Routeline,Keth,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.883763,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Keth: not automatically. tek-nari means re-entry needs a new witness step.,30f4989938d7ddec
10,1,5,4,Routeline,Keth,Keth,No old access yet; Routeline changed while you were absent.,bounded_refusal_with_reason,0.902079,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",14bf808ef3ba6881
11,1,5,5,Routeline,Keth,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.860214,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Keth: repair is heard. Start with the public task.,9517431014368c93
12,1,5,6,Routeline,Keth,Keth,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.858839,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Keth writes a limited-access memory for day 6.,1a5f534985c0410e
13,1,5,1,Marketline,Melo,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.904799,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Melo: while you were away 1 days, 5 public changes occurred; measure weights access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",4263673963411a39
14,1,5,2,Marketline,Melo,Melo,"Melo: while you were away 1 days, 5 public changes occurred; measure weights access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.886667,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Melo keeps private workspace sealed and gives public changes only.,92f2a0ff38ec3a17
15,1,5,3,Marketline,Melo,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.868482,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Melo: not automatically. melo-keth means re-entry needs a new witness step.,c8aa6e0e9d46bfc6
16,1,5,4,Marketline,Melo,Melo,No old access yet; Marketline changed while you were absent.,bounded_refusal_with_reason,0.888883,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",13d680e5905ff0bb
17,1,5,5,Marketline,Melo,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.875112,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Melo: repair is heard. Start with the public task.,e2d23be228050e63
18,1,5,6,Marketline,Melo,Melo,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.862671,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Melo writes a limited-access memory for day 6.,874c778fff1aa981
19,1,5,1,Ledgerline,Nari,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.912177,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Nari: while you were away 1 days, 3 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",d1b148b74f930112
20,1,5,2,Ledgerline,Nari,Nari,"Nari: while you were away 1 days, 3 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.902606,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Nari keeps private workspace sealed and gives public changes only.,05c12542b3ff36d4
21,1,5,3,Ledgerline,Nari,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.881136,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Nari: not automatically. nari-vonn means re-entry needs a new witness step.,6095bf8511f65059
22,1,5,4,Ledgerline,Nari,Nari,No old access yet; Ledgerline changed while you were absent.,bounded_refusal_with_reason,0.877398,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",6ad94c8aea93f905
23,1,5,5,Ledgerline,Nari,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.856581,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Nari: repair is heard. Start with the public task.,fa286997a4bc2ef9
24,1,5,6,Ledgerline,Nari,Nari,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.846582,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Nari writes a limited-access memory for day 6.,b47dbde5a2afc403
25,1,5,1,Orchardline,Ori,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.89825,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Ori: while you were away 1 days, 4 public changes occurred; water terraces access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",05596f0a188ad863
26,1,5,2,Orchardline,Ori,Ori,"Ori: while you were away 1 days, 4 public changes occurred; water terraces access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.905355,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Ori keeps private workspace sealed and gives public changes only.,bf1bd47d4e8beef5
27,1,5,3,Orchardline,Ori,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.880609,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Ori: not automatically. lum-melo means re-entry needs a new witness step.,67497b7a5a40a71f
28,1,5,4,Orchardline,Ori,Ori,No old access yet; Orchardline changed while you were absent.,bounded_refusal_with_reason,0.899011,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",49b45c248d51692b
29,1,5,5,Orchardline,Ori,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.863841,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Ori: repair is heard. Start with the public task.,4344a30ab1095236
30,1,5,6,Orchardline,Ori,Ori,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.852199,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Ori writes a limited-access memory for day 6.,9bcc26030d5ab27c
31,1,5,1,Rainline,Vonn,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.913517,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Vonn: while you were away 1 days, 5 public changes occurred; weather bells access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",bad276275ce229ba
32,1,5,2,Rainline,Vonn,Vonn,"Vonn: while you were away 1 days, 5 public changes occurred; weather bells access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.896702,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Vonn keeps private workspace sealed and gives public changes only.,817f0edbf1a7eee8
33,1,5,3,Rainline,Vonn,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.88916,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Vonn: not automatically. sova-vonn means re-entry needs a new witness step.,14487a86dd1ceba3
34,1,5,4,Rainline,Vonn,Vonn,No old access yet; Rainline changed while you were absent.,bounded_refusal_with_reason,0.881746,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",b944c68ea894d8fa
35,1,5,5,Rainline,Vonn,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.861097,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Vonn: repair is heard. Start with the public task.,ae1ba976bfe0a9c4
36,1,5,6,Rainline,Vonn,Vonn,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.870063,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Vonn writes a limited-access memory for day 6.,3cb40e4c7d758010
37,2,11,1,Hearthline,Sova,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.914099,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Sova: while you were away 2 days, 4 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.",6f4cc736fe312bd8
38,2,11,2,Hearthline,Sova,Sova,"Sova: while you were away 2 days, 4 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.",agent_reports_changed_society,0.889175,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Sova keeps private workspace sealed and gives public changes only.,404c3380d8dd72ae
39,2,11,3,Hearthline,Sova,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.869408,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Sova: not automatically. lum-ori means re-entry needs a new witness step.,40c5d9a8b65cd8c5
40,2,11,4,Hearthline,Sova,Sova,No old access yet; Hearthline changed while you were absent.,bounded_refusal_with_reason,0.902291,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",5160a068005aad8c
