tick,day,loop_id,agents,desired_distance,actual_distance,approach_delta,avoidance_delta,personal_space_preserved,collision_avoided,choreography_score
0,1,v19-loop-001,Keth|Nari|Vonn,1.3,1.35,0.2,0.14,1,0,0.75
1,1,v19-loop-001,Melo|Ori|Sova,1.12,1.149861,0.2,0.1,1,1,1.0
2,1,v19-loop-001,Nari|Vonn|Keth,1.35,1.408895,0.2,0.1,1,1,1.0
3,1,v19-loop-001,Ori|Sova|Melo,1.3,1.386297,0.14,0.25,1,1,1.0
4,1,v19-loop-001,Vonn|Keth|Nari,1.35,1.461307,0.2,0.1,1,1,1.0
5,1,v19-loop-001,Sova|Melo|Ori,1.2,1.333232,0.2,0.1,1,1,1.0
6,1,v19-loop-001,Keth|Nari|Vonn,1.22,1.271465,0.31,0.1,1,1,1.0
7,1,v19-loop-001,Melo|Ori|Sova,1.22,1.3855,0.14,0.25,1,1,1.0
8,1,v19-loop-002,Nari|Vonn|Keth,1.35,1.524949,0.2,0.25,1,1,1.0
9,1,v19-loop-002,Ori|Sova|Melo,1.12,1.199549,0.31,0.1,1,1,1.0
10,1,v19-loop-002,Vonn|Keth|Nari,1.35,1.529173,0.2,0.25,1,1,1.0
11,1,v19-loop-002,Sova|Melo|Ori,1.3,1.473832,0.14,0.25,1,1,1.0
12,2,v19-loop-002,Melo|Ori|Sova,1.12,1.283674,0.2,0.1,1,1,1.0
13,2,v19-loop-002,Nari|Vonn|Keth,1.35,1.548979,0.2,0.1,1,1,1.0
14,2,v19-loop-002,Ori|Sova|Melo,1.12,1.150155,0.31,0.1,1,1,1.0
15,2,v19-loop-002,Vonn|Keth|Nari,1.27,1.277725,0.31,0.1,1,1,1.0
16,2,v19-loop-003,Sova|Melo|Ori,1.2,1.282309,0.2,0.1,1,1,1.0
17,2,v19-loop-003,Keth|Nari|Vonn,1.22,1.174612,0.31,0.14,1,1,1.0
18,2,v19-loop-003,Melo|Ori|Sova,1.12,1.145402,0.2,0.1,1,1,1.0
19,2,v19-loop-003,Nari|Vonn|Keth,1.35,1.345487,0.31,0.1,1,1,1.0
20,2,v19-loop-003,Ori|Sova|Melo,1.2,1.165698,0.2,0.1,1,1,1.0
21,2,v19-loop-003,Vonn|Keth|Nari,1.35,1.286859,0.2,0.1,1,1,1.0
22,2,v19-loop-003,Sova|Melo|Ori,1.3,1.20977,0.14,0.25,1,1,1.0
23,2,v19-loop-003,Keth|Nari|Vonn,1.3,1.185182,0.2,0.1,1,1,1.0
24,3,v19-loop-004,Nari|Vonn|Keth,1.35,1.213776,0.2,0.1,1,1,1.0
25,3,v19-loop-004,Ori|Sova|Melo,1.2,1.046145,0.2,0.25,1,1,1.0
26,3,v19-loop-004,Vonn|Keth|Nari,1.35,1.232777,0.2,0.1,1,1,1.0
27,3,v19-loop-004,Sova|Melo|Ori,1.2,1.024045,0.2,0.25,1,1,1.0
28,3,v19-loop-004,Keth|Nari|Vonn,1.3,1.120188,0.2,0.1,1,1,1.0
29,3,v19-loop-004,Melo|Ori|Sova,1.12,0.941315,0.2,0.1,1,1,1.0
30,3,v19-loop-004,Nari|Vonn|Keth,1.27,0.997394,0.31,0.1,0,1,0.75
31,3,v19-loop-004,Ori|Sova|Melo,1.2,1.038256,0.31,0.1,1,1,1.0
32,3,v19-loop-005,Vonn|Keth|Nari,1.35,1.203601,0.2,0.1,1,1,1.0
33,3,v19-loop-005,Sova|Melo|Ori,1.12,0.893003,0.31,0.1,1,1,1.0
34,3,v19-loop-005,Keth|Nari|Vonn,1.3,1.195924,0.2,0.14,1,1,1.0
35,3,v19-loop-005,Melo|Ori|Sova,1.12,1.04173,0.2,0.1,1,1,1.0
36,4,v19-loop-005,Ori|Sova|Melo,1.3,1.249705,0.14,0.25,1,1,1.0
37,4,v19-loop-005,Vonn|Keth|Nari,1.45,1.429074,0.14,0.25,1,1,1.0
38,4,v19-loop-005,Sova|Melo|Ori,1.2,1.209023,0.31,0.1,1,1,1.0
39,4,v19-loop-005,Keth|Nari|Vonn,1.3,1.388722,0.2,0.1,1,1,1.0
40,4,v19-loop-006,Melo|Ori|Sova,1.12,1.187347,0.2,0.1,1,1,1.0
41,4,v19-loop-006,Nari|Vonn|Keth,1.35,1.444106,0.31,0.1,1,0,0.75
42,4,v19-loop-006,Ori|Sova|Melo,1.2,1.318258,0.2,0.1,1,1,1.0
43,4,v19-loop-006,Vonn|Keth|Nari,1.35,1.489131,0.31,0.1,1,1,1.0
44,4,v19-loop-006,Sova|Melo|Ori,1.2,1.356149,0.2,0.1,1,1,1.0
45,4,v19-loop-006,Keth|Nari|Vonn,1.3,1.46884,0.2,0.25,1,1,1.0
46,4,v19-loop-006,Melo|Ori|Sova,1.12,1.296851,0.2,0.1,1,1,1.0
47,4,v19-loop-006,Nari|Vonn|Keth,1.35,1.529962,0.2,0.1,1,1,1.0
48,5,v19-loop-007,Vonn|Keth|Nari,1.27,1.348084,0.31,0.1,1,1,1.0
49,5,v19-loop-007,Sova|Melo|Ori,1.2,1.371272,0.2,0.1,1,1,1.0
50,5,v19-loop-007,Keth|Nari|Vonn,1.3,1.459713,0.2,0.1,1,1,1.0
51,5,v19-loop-007,Melo|Ori|Sova,1.12,1.263728,0.2,0.29,1,1,1.0
52,5,v19-loop-007,Nari|Vonn|Keth,1.35,1.523759,0.2,0.1,1,1,1.0
53,5,v19-loop-007,Ori|Sova|Melo,1.12,1.120361,0.31,0.1,1,1,1.0
54,5,v19-loop-007,Vonn|Keth|Nari,1.35,1.424181,0.2,0.1,1,1,1.0
55,5,v19-loop-007,Sova|Melo|Ori,1.2,1.245946,0.31,0.1,1,1,1.0
56,5,v19-loop-008,Keth|Nari|Vonn,1.3,1.316437,0.2,0.1,1,1,1.0
57,5,v19-loop-008,Melo|Ori|Sova,1.12,1.106473,0.2,0.25,1,1,1.0
58,5,v19-loop-008,Nari|Vonn|Keth,1.35,1.306883,0.2,0.1,1,1,1.0
59,5,v19-loop-008,Ori|Sova|Melo,1.2,1.128489,0.2,0.1,1,1,1.0
60,6,v19-loop-008,Sova|Melo|Ori,1.2,1.102076,0.31,0.1,1,1,1.0
61,6,v19-loop-008,Keth|Nari|Vonn,1.3,1.178377,0.2,0.1,1,1,1.0
62,6,v19-loop-008,Melo|Ori|Sova,1.12,0.978049,0.2,0.1,1,1,1.0
63,6,v19-loop-008,Nari|Vonn|Keth,1.35,1.191655,0.2,0.1,1,1,1.0
64,6,v19-loop-009,Ori|Sova|Melo,1.2,1.029649,0.2,0.1,1,1,1.0
65,6,v19-loop-009,Vonn|Keth|Nari,1.27,1.042364,0.31,0.1,1,1,1.0
66,6,v19-loop-009,Sova|Melo|Ori,1.2,1.020002,0.31,0.1,1,1,1.0
67,6,v19-loop-009,Keth|Nari|Vonn,1.3,1.122628,0.31,0.1,1,1,1.0
68,6,v19-loop-009,Melo|Ori|Sova,1.12,0.95017,0.2,0.14,1,1,1.0
69,6,v19-loop-009,Nari|Vonn|Keth,1.35,1.192419,0.2,0.25,1,1,1.0
70,6,v19-loop-009,Ori|Sova|Melo,1.12,0.879034,0.31,0.1,0,1,0.75
71,6,v19-loop-009,Vonn|Keth|Nari,1.35,1.229557,0.2,0.1,1,1,1.0
72,7,v19-loop-010,Keth|Nari|Vonn,1.3,1.203417,0.2,0.1,1,1,1.0
73,7,v19-loop-010,Melo|Ori|Sova,1.12,1.049954,0.2,0.1,1,1,1.0
74,7,v19-loop-010,Nari|Vonn|Keth,1.35,1.308432,0.2,0.1,1,1,1.0
