generation,year,settlement_id,deep_time_timeline_panel,culture_ledger_panel,language_ledger_panel,technology_ledger_panel,settlement_memory_panel,avatar_entry_gate_panel,visible_boundary_notice,save_restore_key,replay_key
1,30,riverbend,True,True,True,True,True,True,True,ssrm.v37.deep_time.riverbend,ssrm.v37.replay.g001.riverbend
1,30,roofward,True,True,True,True,True,True,True,ssrm.v37.deep_time.roofward,ssrm.v37.replay.g001.roofward
1,30,archive,True,True,True,True,True,True,True,ssrm.v37.deep_time.archive,ssrm.v37.replay.g001.archive
1,30,signal,True,True,True,True,True,True,True,ssrm.v37.deep_time.signal,ssrm.v37.replay.g001.signal
1,30,orchard,True,True,True,True,True,True,True,ssrm.v37.deep_time.orchard,ssrm.v37.replay.g001.orchard
1,30,repair_ring,True,True,True,True,True,True,True,ssrm.v37.deep_time.repair_ring,ssrm.v37.replay.g001.repair_ring
2,60,riverbend,True,True,True,True,True,True,True,ssrm.v37.deep_time.riverbend,ssrm.v37.replay.g002.riverbend
2,60,roofward,True,True,True,True,True,True,True,ssrm.v37.deep_time.roofward,ssrm.v37.replay.g002.roofward
2,60,archive,True,True,True,True,True,True,True,ssrm.v37.deep_time.archive,ssrm.v37.replay.g002.archive
2,60,signal,True,True,True,True,True,True,True,ssrm.v37.deep_time.signal,ssrm.v37.replay.g002.signal
2,60,orchard,True,True,True,True,True,True,True,ssrm.v37.deep_time.orchard,ssrm.v37.replay.g002.orchard
2,60,repair_ring,True,True,True,True,True,True,True,ssrm.v37.deep_time.repair_ring,ssrm.v37.replay.g002.repair_ring
3,90,riverbend,True,True,True,True,True,True,True,ssrm.v37.deep_time.riverbend,ssrm.v37.replay.g003.riverbend
3,90,roofward,True,True,True,True,True,True,True,ssrm.v37.deep_time.roofward,ssrm.v37.replay.g003.roofward
3,90,archive,True,True,True,True,True,True,True,ssrm.v37.deep_time.archive,ssrm.v37.replay.g003.archive
3,90,signal,True,True,True,True,True,True,True,ssrm.v37.deep_time.signal,ssrm.v37.replay.g003.signal
3,90,orchard,True,True,True,True,True,True,True,ssrm.v37.deep_time.orchard,ssrm.v37.replay.g003.orchard
3,90,repair_ring,True,True,True,True,True,True,True,ssrm.v37.deep_time.repair_ring,ssrm.v37.replay.g003.repair_ring
4,120,riverbend,True,True,True,True,True,True,True,ssrm.v37.deep_time.riverbend,ssrm.v37.replay.g004.riverbend
